en	twi
The co-tenants described Mr Gorman as a very friendly and cordial person. Thus, were surprised by the incident.	Danhanfoɔ no kyerɛɛ mu sɛ na Owura Gorman yɛ obi a n'anim te na ɔpɛ nipa. Enti asɛm yei nnipa bebree nwanwa.
When I’m out and let myself go hungry, I tend to make poor food choices.	Sɛ mipue na mema ɔkɔm de me a, nea me nsa bɛka biara na meredi, sɛ ɛnyɛ aduan pa mpo a, midi.
For example, a dispute that starts with “You’re always late!” may not be about the need for punctuality but about one partner feeling that he or she has been treated inconsiderately.	Sɛ nhwɛso no, sɛ ɛyɛ asɛm, “Woka akyi daa!” na ɛkɔfa bae a, ebia na ɛnyɛ bere so di ne asɛm no, na mmom awarefo no biako te nka sɛ wɔne no anni no yiye
This represents an increase of about 4 percent, and brings Ghana’s total public debt as of the end of March 2021 to GHS 304.6 billion.	Yei kyerɛ sɛ, ɛka no akɔ anim ɔha mu nkyɛmu (4%), na ɛde Ghana ka no nyinaa akɔduru GHS 304.6 billion wɔ Ɔbɛnem 2021 awieɛ.
Avoid misleading maxims.	Mfa nsɛm akɛse akɛse nhyɛ wo ba no tirim.
Maintain a sense of humor. Take your mate’s concerns seriously, but learn to laugh at your own blunders.	Fa nsɛm no bi yɛ aseresɛm. Bu nneɛma a ɛhaw wo hokafo no aniberesɛm, nanso sua sɛnea wode mfomso a wudi no bɛyɛ aseresɛm.
he added: “The foreigners have taken over our market that is why GUTA is complaining, they have taken over all across the country but as it is now, Kasoa is the strongest area for these foreigners.	Amamfrafoɔ no agye y'adwa abɔ so nti na GUTA renwiinwii no, wagye ɔman no mu nyinaa abɔ so nanso seisei ara deɛ, Kasoa paa ara ne baabi amamfrafoɔ wɔ paa
The Rastafarian students, Tyrone IrasMarhguy and Oheneba Kwaku Nkrabea dragged the Achimota School Board of Governors, the Minister of Education, Ghana Education Service, and the Attorney General to court for refusing to enrol them.	Rastafoɔ adesuafoɔ yi, Tyrone Iras Marhguy ne Oheneba Kwaku Nkrabea twee Achimota Sukuu Board, Nwomasua Soafoɔ, Ghana Nwomasua Amdwumakuo(GES) ne Aban Lɔya Panin (Attorney General) kɔgyinaa kɔɔto sɛ wɔannye wɔn wɔ sukuu no mu.
“Globally, activities around mining in general are risky but the level of risk exposure doubles when the operation is underground. It is against this backdrop that the industry is heavily regulated in terms of occupational health and safety standards and best practices”, it said.	Wiase afanaa nyinaa mu no fagudeɛtu ankasa yɛ adwuma a ɛho yɛ siane nanso ɛsiane no yɛ mmɔho mmienu wɔ asaase ase. Yei nti, ɛwɔ sɛ adwuma no mu banbɔ ne apɔmuden akwankyerɛ no yɛ asɛnhia.
Your letter reached me only today, having been delayed by the heavy snow.	Ɛnnɛ nko ara na wo krataa no duu me nkyɛn, efisɛ sukyerɛmma a ano yɛ den no twentwɛnee me nan ase.
Young people are entering adulthood without the skills they need to succeed.	Mmabun renyinyin ayɛ mpanyimfo, nanso wonni ntetee papa biara a wɔde bɛbɔ bra ama asi wɔn yiye.
Asamoah decided to take matters into his own hands.	Nekoh yɛɛ n'adwene sɛ ɔno ankasa bedi nneɛma ho dwuma.
Aba always checks the caller ID before he answers the phone.	Aba hwehwɛ telefon no so dwumadi mu bere nyinaa ansa na wama ho mmuae.
Both of you could compromise.	Mo mmienu nyinaa, mobɛtumi agyaa nsɛm mu
As part of his visit, the High Commissioner and the MP shall pay a courtesy call on the Yaa-Naa, and also hold crunch meeting with the MP and other dignitaries, and visit the Yendi Water Project site.	Wɔ nsrahwɛ no mu no, Soafoɔ panin yi ne Yendi MP no bɛkɔ Yaa-Naa nan ase na ɔwie a ɔne MP no ahyia atitire akɔhwɛ Yendi Nsuo Dwumadiebea no
His explanation that a solution would take time didn't satisfy anyone.	Ne nkyerɛkyerɛmu a ɛne sɛ ebegye bere ansa na wɔatumi adi ɔhaw no ho dwuma no amma obiara annya abotɔyam.
Could you please tell me again how many times you've been here?	Mesrɛ wo, wubetumi asan aka mpɛn dodow a woakɔ ha akyerɛ me?
But he added that President Akufo-Addo immediately directed him to, as a matter of urgency, ensure the road is constructed.	Nanso amono mu hɔ ara Ɔmanpanin Akufo-Addo hyɛɛ no sɛ ɔmma no nyɛ n'asɛnhia sɛ ɔbɛyɛ kwan no.
The mother of two, whose surname is being withheld for professional reasons, enjoyed her job in the firm’s wealth-management division.	Ɛna bi a ɔwɔ mma baanu a esiane nnuruyɛfo adwene nti wɔmfa ne din nni dwuma nti, n'ani gyee n'adwuma no ho wɔ adefo ntam mpaapaemu a emu yɛ den no mu.
“From working with Commonwealth of Learning to support over 30,000 Ghanaians enroll in its Read2skill programme, supporting the Ministry of Education and the Ghana Education Service with a Learning Management System for Basic education and enhancing Digital Library with video tutorials, supported by UNICEF to deploy mobile library vans to transport books to homes of young people in the era of COVID-19, it is a mark of innovation and relentlessness on the part of the staff of GhLA to support the Ghanaian life- long learner”.	“Firi sɛ yɛne Commonwealth of Learning reyɛ adwuma abɔ mu aboa Gthanafoɔ a wɔboro mpem aduasa (30,000) bɛka wɔn dwumadie Read2skill mu, wɔresɔ Nwomasua Asoeɛ (MoE) ne Ghana Education Service asene de Learning Management System de ama Mfitiaseɛ Sukuu na yɛrebue yɛn Digital Library mu de fidio adekyerɛ afoa so, na UNICEF de ahyɛn a wɔde ayɛ mobile library de nwoma kɔ mmɔfra nkumaa afie mu wɔ COVID-19 berɛ yi mu, ɛyɛ ahyɛnso a ɛkyerɛ ahofama ne nhunumu sononko a GhLA adwumayɛfoɔ no de yɛɛ adwuma de refoa Ghanani a ɔresua adeɛ akɔ akyiri.”
The baby was rushed to hospital and chanced upon to be unharmed.	Wɔyɛɛ ntɛm de abofra no kɔɔ ayaresabea, na wohui sɛ ontumi nyɛ ho hwee.
The London Book Fair International Excellence Awards is organized by the London Book Fair in partnership with the Publishers Association (United Kingdom) to celebrate publishing achievements across seven categories.	London Book Fair International Awards dwumadiem yi London Book Fair ne Publishers Association (United Kingdom) na ɛka bɔɔ mu de nsɛmpɔ ahodoɔ nson kaee nkunimdie.
Do you hide from your spouse communications with someone of the opposite sex?​	Sɛ wo ne obi a ɔnyɛ wo hokafo rebɔ nkɔmmɔ wɔ sohyial media so a, ɛyɛ a wompɛ sɛ wo kunu anaa wo yere hu anaa?​
She used her hand to screen the sunlight from her eyes.	Ɔde ne nsa hwɛɛ owia hann fii n'ani so.
Learning to be humble will help your child both now and later in life​—for example, when seeking employment.	Seesei a wo ba da so ara yɛ abofra no, sɛ ohu sɛnea ɔbɛbrɛ ne ho ase a, onyin na ɔrepɛ adwuma a ɛrenyɛ den mma no.
If I forgive, I am minimizing the wrong.	Sɛ mede firi a, ɔrenhu bɔne a wayɛ.
A HORSE can gallop at a speed of up to 30 miles per hour (50 km/​h).	PƆNKƆ yɛ aboa a ɔtu mmirika paa. Ɔbɛtumi de dɔnhwerew baako atwa akwansin 30 (kilomita 50).
The Minister of State-designate for Finance, Mr. Charles Adu Boahen, who was also present at the signing ceremony, explained that the focus of Government, since the onset of COVID-19, has been to put in place the building blocks for an inclusive and sustainable economic recovery.	Ghana Sikasɛm Soafoɔ a yayi no foforɔ, Owura Charles Adu Boahen a na ɔno nso wɔ nkrata san nhyiamu no ase kyerɛɛ mu sɛ aban de asi n'ani so sɛ ɛfiri mmerɛ a COVID-19 ho nsɛm sɔreeɛ no ɔde nneɛma agugu akwan mu a ɛbɛboa ama yɛn sikasɛm apagya ne mu biom.
How do two people who have vowed to love each other get to the point where they refuse to talk for hours—or even days?	Dɛn na ɛma nnipa baanu a wɔaka ntam sɛ wɔbɛdodɔ wɔn ho no tumi yɛ aka bere tiaa bi—anaa nna pii?
This incident comes at a time when government has renewed the combat against all forms of illegal small-scale mining in the country.	Saa asɛm yi asi mmerɛ a aban de ahoɔden foforɔ reko tia galamsey wɔ ɔman yi mu.
…I invite you to see and appreciate that many of the problems that plague our country have something to do with the mal-functioning of the law.	Mereto nsa afrɛ mo abɛdi adanseɛ sɛ ɔhaw a abɔ yɛn yareɛ sɛ ɔman no mu bebree no ara firi mmara nnyɛ adwuma.
How much time do you spend cleaning your house?	Bere tenten ahe na wode siesie wo fie?
“There are many of them who are in such a hurry to assume office even while Parliament has not even considered their nomination.	“Bebree no ara reprepre wɔn ho sɛ ɔbɛhyɛ adwuma ase aberɛ a Mmarahyɛbɛdwafie mpo nnyee wɔn ntoo mu.
Ghana’s President, Nana Addo Dankwa Akufo-Addo, has expressed prochanced upon commiserations to the Federal Republic of Nigeria following the unfortunate passing of its Chief of Army Staff, Lt. Gen. Ibrahim Attahiru and several others.	Ghana manpanin, Nana Addo Dankwa Akufo-Addo agyam Nigeriafoɔ Asraafoɔ panin, Ibrahim Attahiru ne afoforɔ a wanya wɔn baabi kɔ.
So husbands are baffled when their solutions are not readily accepted.	Wei nti sɛ ɔbarima pɛ sɛ ɔboa ne yere ma wonya asɛm bi ano aduru na ɔbea no mpɛ a, na onhu nea ɔnyɛ.
The new prices affect all forms of transport including Inter-city (trotro), Intercity (long distance) and shared taxis	Ƹboɔ foforɔ no bɛka lɔɔre Kwan akɔneabadie nyinaa te sɛ trɔtrɔ-nkuropɔn mu deɛ ne akwan tenten so nso, na takisii nyinaa.
He then charged the police to hunt down the perpetrators and bring them to book.	Ɔkyerɛɛ apolisifoɔ sɛ wɔn nhwehwɛ abɔneyɛfoɔ yi na mmara ne wɔn ndi.
The complaint has also featured prominently lately in the the reports of external examiners.	Nsɔhwɛ ahwɛsofoɔ a ɛfiri abɔnten nso de soboɔ yi abɔ ahwɛsofoɔ yi.
It comes on the back of claims of the minister that government will be going hard on contractors in the coming weeks over shoddy jobs.	Yei reba aberɛ a soafoɔ no reseɛ sɛ aban bɛso gya agu akwanyɛfoɔ a wɔɔnyɛ akwan yie so nnawɔtwe a ɛreba no.
That may be the case if you handle most of your transactions by credit or debit card, Internet purchasing, and electronic banking.	Saa ara na Intanɛt so aguadi ne nea ɛkeka ho nso te.
Do not tune out or walk away, even if what you are hearing displeases you.	Sɛ w’ani nnye nea ɔreka no ho mpo a, nto w’adwene mu anaa ntwiw mfa no so.
Antwi peeked in the window and saw Abena and John kissing.	Antwi de n'ani kyerɛɛ mfɛnsere no mu, na ohuu Abena ne John a wɔafew wɔn ano.
It is no surprise, then, that the leading cause of divorce is disagreements about money.	Ɛnyɛ nwonwa sɛ sika ho akasakasa tumi de awaregu pii ba.
The President, Nana Addo Dankwa Akufo-Addo, on Wednesday, 26th May, 2021, cut the sod for the first phase of construction works to begin on the Law place of the Ghana Law School.	Ɔmanpanin Nana Addo Dankwa Akuffo-Addo de akuma abɔ fam sɛ adwuma nhyɛ aseɛ wɔ Ghana Mmara Sukuu foforɔ a yɛfrɛ no Law Village no.
The success of your future relationships will depend largly on your ability to communicate and negotiate, and there’s no better place to cultivate such skills than within your family.	Agorɔ bɛsɔ a efi anɔpa, kyerɛ sɛ, sɛ wubetumi ne afoforo atena kama daakye a, egyina sɛnea wo ne nkurɔfo te nnɛ no so. Kae sɛ, w’abusua paa na wobetumi atete wo na wɔasiesie wo ama daakye.
The German Development Cooperation in Ghana (GIZ) has partnered with the Ghana Chamber of Technology to heighten Ghana’s Digital Transformation Agenda.	Germany Development Coorporation a ɛwɔ Ghana (GIZ) ne Ghana Chamber of Technology aka wɔn ntoma abakyere mu de reboa ma Ghana Digital Transformation Dwumadie no atu apɔn.
“This kind gesture is mainly to show that Ghanaians from Africa are thinking of our Indian brothers and sisters and keeping their well being in our prayers,” he said.	“Saa akyɛdeɛ yi kyerɛ sɛ Ghanafoɔ a ɛfiri Abibirem redwen yɛn nua mmarima ne mmaa a ɛwɔ India ho san de wɔn mpaebɔ retae wɔn akyi”
He responds by calling her oversensitive.	Okunu no bua see no sɛ ne koma bɛn no dodo.
I was always honest with you, but you never tried to be honest with me.	Bere nyinaa na meka nokware kyerɛ wo, nanso woammɔ mmɔden sɛ wubedi nokware ama me da.
In time, if technology is controlling you, responding to your friends’ messages can seem like another chore on your to-do list.	Sɛ ɛlɛtrɔnik mfiri de wo yɛ akoa, na sɛ da biara wowɔ intanɛt so a, ebedu baabi no, message bebrebe a wunya no, ɛbɛyɛ den sɛ wubenya bere akenkan ne nyinaa.
The sea cucumber’s skin has three states—stiff, medium, and soft. To change between states, sea cucumbers link or unlink fibers in their skin. They do so by activating different stiffening or softening proteins.	Ɛpo mu ɔsa betumi ama ne were ayɛ denneennen, obetumi ama ayɛ twann, na obetumi nso ama ayɛ mmerɛmmerɛmmerɛw. Dɛn na ɛma otumi yɛ saa? Nhamahama bi wɔ ne were mu. Sɛ ɔkeka toatoa mu a, ɛwɔ sɛnea ne were no bɛyɛ, na sɛ ɔtetew ntam nso a, ɛwɔ sɛnea ɛbɛyɛ. Nanso, sɛ ɛbɛyɛ yiye a, gye sɛ opuw ahoɔdennuru bi gu ne were mu. Ahoɔdennuru no gu ahorow; ebi ma ne were yɛ den, na ebi nso ma ɛyɛ mmerɛw.
he added Parliament will directly engage them on the drafting of amendments to laws that affect their operations in order to ensure that their concerns are fully addressed.	Ɔkaa sɛ Mmarahyɛbɛdwa fie bɛkɔ so ne wɔn anya nkitahodie na wahyehyɛ mmara a ɛbɛboa wɔn dwumadie ahwɛ ahunu sɛ wɔn haw nyinaa ara anya mmuaeɛ
The Minerals Commission has begun investigations into the mining accident that occurred on Wednesday, May 26, 2021, at Denkyira Breman/Brofoyedu in the Upper Denkyira West District of the Central Region.	Fagudeɛ Asoeɛ ahyɛ nhwehwɛmu ase fa atoyerɛnkyɛm a ɛsii wɔ fagudeɛtubea a ɛwɔ Dɛnkyira Brɛman/Brɔfoyɛdu a ɛwɔ Dɛnkyira atifi mantam a ɛwɔ Mfanteman mu Wukuada da a ɛtɔ so afe mpem mmienu ne aduonu.
In the Eastern region, robbers mounted roadblock on Monday dawn and robbed passengers plying that route. A passenger was killed in the attack.	Wɔ Apueɛ Mantam mu no, akwammukafoɔ sisi akwan Dwoada ahemadakye bɔɔ akwantufoɔ a na wɔrefa kwan no so korɔno. Ɔbɔɔ kwantuni baako tuo wɔ korɔnobɔ no mu.
Many scientists have the reputation of being eccentric.	Nyansahufo pii agye din sɛ nnipa a wontumi nhu sɛnea wɔte ankasa.
The boxes vary in size from small to large.	Ɛsono nnaka no akɛse ne akɛse.
Why do your children want a phone? How do they use yours? What sites do they go to? What games do they play? How long do they use it? Test your children’s maturity and self-control before giving them a device.	Bisa wo ho sɛ, ‘Adɛn nti na me mma no pɛ sɛ wonya fon? Sɛ mede me fon ma wɔn a, dɛn na wɔde yɛ? Sɛ wɔkɔ intanɛt so a, ɛhe na ɛyɛ a wɔkɔ? Agorɔ bɛn na wodi anaa games bɛn na ɛyɛ a wɔbɔ wɔ so? Sɛ mede me fon ma wɔn a, bere bɛn na wɔsan de brɛ me?’ Ansa na wobɛtɔ ɛlɛtrɔnik afiri ama wo ba no, bisa wo ho sɛ, ‘Waso sɛ obekura saa afiri no? Otumi hyɛ ne ho so?
They burnt everything in the room including the Television set, DSTV decoder and our personal belongings,” Nana Asante Boadi Yeboah Secretary at the mining site told Starr News.	"Wɔhyee bibiara a ɛwɔ dan no mu kaa TV, DSTV afidie ne yɛn nneɛma nyinaa"" Nana Asante Boadi Yeboah a ɔyɛ twerɛtwerɛfoɔ ma fagudeɛtubea adwuma no kyerɛɛ Starr News."
“The Ministry of Health was handling it earlier, so we were expecting that it would be solved by now, but as it stands, there is a need for us to step in.	Ɔkaa sɛ “Na Apɔmuden Asoeɛ no redi ho dwuma nti na yɛrehwɛ anim sɛ bibiara bɛkɔ tɔɔtee nanso sɛnea ɛteɛ seisei ara no ɛho abɛhia sɛ yɛtu yɛn nan si mu.
However, some spouses allow misuse of technology to rob them of valuable time together, bring work into the home unnecessarily and create distrust and even disloyalty	Nanso awarefo bi wɔ hɔ a, wɔmfa ɛlɛtrɔnik mfiri nyɛ adwuma yiye. Wei nti ɛmma wonnya bere mma wɔn ho, wɔapɔn adwuma aba fie mpo no, na wɔda so ara reyɛ adwuma na ɛma ɛyɛ den sɛ wobegye wɔn ho adi, na etumi mpo ma baako fa ne yɔnko akyi
That irritates you even more.	Ɛno koraa na ɛbere wo kuru no.
I didn't look.	Manwhɛ
He further explained that Ghana’s roads would not have been in their current state if previous governments had tackled the road sector in a serious and robust manner like the way President Akufo-Addo’s administration is doing.	Ɔkyerɛɛ mu sɛ aban hodoɔ a atwa mu no yɛɛ akwan wɔ anibrɛ kwan so te sɛnea Ɔmanpanin Akufo-Addo aban reyɛ no a anka Ghana akwan ɛnte sɛnea ɛteeɛ yi.
Both Madam Akanji and Mr.Dadzie, made this known during the maiden edition of the ‘Huawei Day with Media’ which was held in Accra.	Maame Akanji ne Owura Dadzie baanu no daa yei adi berɛ a wɔreda “Huawei Day with Media” a ɛkɔɔ sp wɔ Nkran no.
Rather than verbally attack your partner, express your concerns from the standpoint of how you are affected.	Sɛ́ anka wobɛyeyaw wo hokafo no, ka sɛnea wote nka no ho asɛm.
You can wait in this room.	Wubetumi atwɛn wɔ dan yi mu.
The move, according to Star News sources at the Ministry of Lands and Natural Resources, is aimed at ensuring efficiency at the Commission.	“Nteeɛ a Star News anya afiri asoeɛ a ɛhwɛ nsaase ne abɔdeɛ mu fagudeɛ kyerɛ sɛ yiyi a wayiyi manfoɔ bɛhwɛ ama adwumayɛ akɔ so tɔɔtee”
We had less snow this winter than we had expected.	Ná sukyerɛmma ntaa ntɔ saa awɔw bere yi sɛnea na yɛhwɛ kwan no.
Aduana Stars beat Eleven Wonders courtesy a goal from Isaac Kwain.	Aduana Stars hyɛɛ Eleven Wonders aseda nka Isaac Kwain goolu a ɔhyɛeɛ.
“For example, you may have a very big water body like a lake that we cannot readily drain or even a marshy area that serves as a source or breeding site for mosquitoes,” he added.	“Mfatoho bi ne sɛ baabi a nsuo wɔ paa te sɛ tadeɛ anaa afrɔ mu sei no yɛntumi ntwe nsuo no nyinaa ngu firisɛ ntontom too nkosua gu hɔ”
He assured that neither himself nor the NDC will do anything against the collective interest of the nation.	Ɔhyɛɛ bɔ sɛ ɔne ne NDC amanyɔkuo no nnyɛ bibiara a ɛbɛkɔ atia ɔman no kankɔ.
I clean up my room every Sunday.	Kwasida biara misiesie me dan mu.
Sharing a typical example, Abena Buachiwaa took notice that she was recently overwhelmed with work and at the time her daughter was also not feeling well and had to make a choice between the two.	Berɛ a ɔrema nhwɛsoɔ titire bi no, Abena Boakyewaa daa no adi sɛ adwuma bebree bɛdaa no so wɔ berɛ a na ne ba abaayewa nso ho mfa no enti na akɔhia sɛ ɔfa mmienu no mu baako.
Siblings have been called “the best worst friends you’ll ever have.” You love them, and they love you​—but sometimes you just can’t seem to get along.	Ɛsẽ ne tɛkrɛma wɔ hɔ yi, wɔyɛ adwuma bom, nanso ɛtɔ da a, ɛsẽ tumi ka tɛkrɛma. Saa ara na wo ne wo nuanom te, wɔdɔ wo, wo nso wodɔ wɔn, nanso ɛtɔ da a, monsen so koraa.
“What is disturbing is that the excavators that have been taken from the mining sites are packed in towns, villages and by roadsides in clusters of 10 to 20, and there is a very high tendency that these excavators will find their way back to the galamsey sites during the night when our operations halt.”	“Nea ɛha adwene yie paa ara ne sɛ saa mfidie yi bɛyɛ du kɔpem aduonu sisi nkuraaseɛ ahodoɔ kwan ho bebree nti bibiara kyerɛ sɛ saa mfidie bɛfa kwan bi so asan akɔ galamsey beaɛ biom anadwo sɛ saa dwumadie yi ba nawieɛ a.”
One of the robbers manned the entrance, as the other took money after shooting thrice into the roof of the building.	Adwumayɛfoɔ no mu baako kaa sɛ, akorɔmfoɔ no mu baako de tuo gyinaa kwan no ano, berɛ a na nkaeɛ no regyegye nnipa a ɛwɔ mu no sika ne nneɛma berɛ a na wɔatoto atuo mmiɛnsa agu ɛdan no nkyɛnsee mu.
Not only can the octopus bend its tentacles in any direction but it can also stiffen different sections of its arms as needed.	Posena tumi dannan ne nsa sɛnea ɔpɛ biara, na saa ara nso na otumi yere ne nsa no fã bi mu ma emu yɛ den.
Try to understand and identify with the other person’s feelings.	Bɔ mmɔden sɛ wobɛte wɔn ase.
The young person with bloated self-esteem, unaware of her own deficiencies, is unlikely to do well in the job interview,	Mmabun a wɔyɛ dwae no, wonnye ntom sɛ ɛnyɛ biribiara na wobetumi ayɛ. Sɛ saafo no rekɔpɛ adwuma a, wɔntaa nnya.
We see this Bank (DBG) as one that will play a pivotal role in this”.	"Yɛhunu saa sikakorabea (DBG) yi sɛ ɛbɛdi dwuma soronko wɔ saa anamɔn yi mu."""
Thanks to texting, email, videoconferencing, and social media, two people can communicate easily, even when they live continents apart.	Ɛnnɛ, ɛlɛtrɔnik mfiri adaworoma nti, wubetumi afa text message, email, video call, ne sohyial media so ne obi foforo adi nkitaho, ɛmfa ho baabi a onipa no wɔ.
The move, according to Citi News sources at the Ministry of Lands and Natural Resources, is aimed at ensuring efficiency at the Commission.	“Nteeɛ a Citi News anya afiri asoeɛ a ɛhwɛ nsaase ne abɔdeɛ mu fagudeɛ kyerɛ sɛ yiyi a wayiyi manfoɔ bɛhwɛ ama adwumayɛ akɔ so tɔɔtee”
The chief of Yendi has visited the town of Buipe to development projects	Yendi panyin akɔ Buipe kurow no mu sɛ ɔrekɔyɛ adwuma
Some species climb up rough tree trunks, while others burrow into abrasive sand.	Ɔwɔ bi tumi foro dua a ɛho wewerɛwewerɛ na ebi nso tu bɔn wɔ anhwea mu.
But it turned out to be a robbery.	“Nanso ɛkɔdanee korɔnobɔ.
You do not need a lot of money to enjoy life.	Ɛnyɛ sika pii na ɛbɛma w’ani agye.
Many times young bullies treat other people . . . the way they see their parents, older brothers and sisters, or other family members treat others	Mpɛn pii no, mmabun a wosisi afoforo no, sɛnea wɔn awofo, wɔn nuanom mpanyimfo anaa wɔn abusuafo ne nkurɔfo di no, ɛno na wɔhwɛ sua
My friend needs to realize that a certain amount of sharing helps people bond together and helps others understand you better. It helps them to extend to you the friendship you need. I hope my friend eventually gets better and learns to overcome her fears about friendships.	Ɛsɛ sɛ m’adamfo no hu sɛ, sɛ wopɛ sɛ obi te w’ase na ɔfa wo adamfo a, ɛsɛ sɛ woka w’asɛm kyerɛ no, na ɔno nso ka ne de kyerɛ wo. Wei bɛma ayɛ mmerɛw ama mo sɛ mobɛfa adamfo. Mehwɛ kwan sɛ m’adamfo no bedwen nneɛma ho akɔ akyiri, na wahu sɛnea obedi adamfofa ho suro so.
From birth onward, a child’s life is a list of firsts​—the first steps taken, the first word was speakingn, the first day of school, to name just a few. Parents rejoice when their child reaches a milestone.	Sɛ wonya wo abofra pɛ ara a, na bere a edi kan a ɔyɛ nneɛma bi wɔ n’asetena mu no afi ase—emu bi ne, bere a edi kan a ɔnantew, bere a edi kan a ɔkasa, ne bere a edi kan a ɔkɔ sukuu. Sɛ abofra no fi ase yɛ nneɛma atitiriw yi a, n’awofo ani gye paa.
He thus described it as an “embarrassing stain” on the country’s judicial and electoral systems as well as a major source of worry to well-meaning Ghanaians.	Ɔkyerɛkyerɛɛ mu sɛ ɛyɛ animguaseɛ ma Ghanaman mmarahyɛ ne abatoɔ asoeɛ biom nso Ghana man mma.“
“Our hearts go out to all their families and may their souls rest in perfect peace”, Akufo-Addo tweeted.	Akufo-Addo kaa sɛ, “Yɛma mmusua no yaakɔ na Nyame mfa wɔn kra nsie yie”
Atsufui Koffie admitted the offence and she was convicted on her own plea but sentence was deferred to Thursday.	Ɔbaa no, Atsufui Koffie gyee ne mfomsoɔ too mu na wɔgyinaa ɔno ankasa ano asɛm so buaa no fɔ nanso wɔtuu n’asotwe no kɔɔ Yawoada.
Normally, we eat three times a day.	Ɛyaa yedidi mprɛnsa da koro.
Vice President Bawumia indicated that a new fiscal regime similar to the one prevailing in the oil sector would soon be introduced in the mining sector.	“Ɔmanpanin abɛdiakyire kyerɛɛ sɛ wɔde mmara ketee bi a wahyɛ ama fangoo nnwuma no bɛdi dwuma wɔ fagutudeɛ nnwuma mu.”
I accidentally threw an expensive knife into the trash.	Metow sekan bi a ne bo yɛ den guu nwura no mu a mansusuw ho.
Dating should have an honorable purpose—to help a young man and woman determine if they want to get married to each other.	Saa nantew no botae ne sɛ ɛbɛboa aberante ne ababaawa bi ama wɔahu sɛ wobetumi aware anaa.
Look up words you don't know in your dictionary.	Hwɛ nsɛmfua a wunnim wɔ nsɛm asekyerɛ nhoma mu.
The District Chief Executive (DCE) FOR Ada West, Adzoteye Lawyer Akrofi, has denied ownership of the ambulance that was seen in a video, which has been widely circulated on social media, being loaded with bags of cement.	Ada Atɔeɛ Mansini Krakye (DCE), Adzoteye Lawyer Akrofi, ada no adi sɛ, ɛnyɛ nokorɛ sɛ ambulance bi a ɛpuee fidio(mfoni) mu, na wɔde akɔ mmeaeɛ bebree, sɛ wɔde resoa suminti no yɛ mansini no dea.
“We were all in our room and we heard a loud noise ‘boom’. Some of us even thought it was a knockout.	"""Na obiara hyɛ ne dan mu na yɛtee dede kɛseɛ bi sɛ 'boom' Na yɛn mu bi nom dwene sɛ ɛyɛ 'knockout'"
Unrealistic expectations can make a person more prone to find fault and less inclined to forgive.	Akwanhwɛ a ɛrentumi mma mu betumi ama obi ahwehwɛ afoforo ho mfomso na ayɛ den ama no sɛ ɔde mfomso befiri.
Subsequently, GPRTU said they were in discussions with the government about the increase in transport fares but urged Ghanaians to expect a 10 to 15 per cent increase	Yeinom akyi no GPRTU kaa sɛ wɔne aban no redi anobaabaeɛ nsɛm wɔ ahyɛntuadeɛ boɔ ho nso wɔsrɛ Ghanafoɔ sɛ wɔnwhɛ ntomu a ɛfiri ɔha mu nkyemu du kosi nkyemu dunum (10-15%).
“It is also to ensure how to manage the anopheles mosquito in limiting the number of vectors.”	“Yei nso yɛ kwan a yɛde resi ntontom mmoawa no ano na atete wɔn dodoɔ so”
The rain and floods have wreaked chaos across the province in the last week. Major roads have been turned into rivers, with cars, debris and even people swept along by fast-moving currents.	Nsu ne nsuyiri no ama akwan akɛse a ɛwɔ ɔmantam no mu asɛe kɛse wɔ dapɛn a etwaam no mu. Wɔde kar, nneɛma a wɔsɛe no, ne nnipa mpo a wodi akɔneaba ntɛmntɛm no agu nsu mu.
On the other hand, you can change the direction of a heated discussion.	Nanso, biribi wɔ hɔ a wubetumi ayɛ de abrɛ akasakasa no ase.
The man and his wife helped each other.	Ɔbarima no ne ne yere boaa wɔn ho wɔn ho.
The group said the invasion of foreigners in retail business is collapsing their businesses.	Kuo no kaa sɛ amamfrafoɔ nnwuma a atu atese no regu wɔn nnwuma.
But praising children simply to make them feel good may cause them to develop a distorted view of themselves.	Nanso, sɛ wɔkamfo mmofra na ama wɔn tirim ayɛ wɔn dɛ kɛkɛ a, ɛbɛma wɔanya adwene a ɛmfata wɔ wɔn ho.
The Ghana Revenue Authority (GRA) has given some Oil Marketing Companies including Santol Energy the green light to continue their operations nationwide.	Ghana Revenue Authority (GRA) ama fango nnwumakuo bi te sɛ Santol Energy kwan sɛ wɔnhyɛ wɔn dwumadie ase.
Luxembourg, Austria, Switzerland, France, and the Netherlands have also been affected by the extreme rainfall but have not reported any fatalities.	Nsu a ɛtɔ denneennen no aka nnipa pii, Austria, Switzerland, France, ne Netherlands nso, nanso wɔmmɔɔ amanneɛ sɛ ahum bi asi.
We were attending to a customer when a fair tall man entered and held the customer.	“Na yɛne obi a ɔrebɛdi ne dwuma wɔ hɔ reyɛ adwuma na aberanteɛ tenten kɔkɔɔ bi bɔ wuraa hɔ bɛsɔɔ ne mu.
In another six months you will be able to speak German fluently.	Wɔ asram asia foforo mu no, wubetumi aka German kasa yiye.
