eng	xho
And to interview some prisoners under monitored and controlled conditions. Prison administration officials picked out three men they said were willing to be interviewed.	Kwaye enze udliwano-ndlebe namanye amabanjwa phantsi kweemeko ezibekwe esweni nezilawulwayo. Amagosa olawulo lwentolongo akhetha amadoda amathathu athi akulungele ukuba nodliwano-ndlebe.
Officials stipulated that the inmates shouldn't be identified by their full names and that their faces mustn't be shown, citing privacy reasons.	Amagosa amisela ukuba amabanjwa akufunekanga achazwe ngamagama awo apheleleyo kwaye ubuso bawo bungaboniswa, echaza izizathu zokufihlwa kwabo.
But prison officials didn't listen to the interviews or intervene to shut down media lines of questioning or inmates' answers.	Kodwa amagosa entolongo akazange amamele udliwano-ndlebe okanye angenelele ukuvala imigca yemithombo yeendaba yemibuzo okanye iimpendulo zamabanjwa.
The 15 inmates in crisp shirts and trousers stood solemnly for Morocco's national anthem and were handed certificates.	Amabanjwa ali-15 anxibe iihempe neebhulukhwe ema ngokundilisekileyo ephulaphule umhobe wesizwe waseMorocco kwaye anikwa iziqinisekiso.
Prison officials said the de-radicalization program consisted of three months of classes in prison on religion, law and economics, and that inmates also received training on how to start a business.	Amagosa entolongo athi inkqubo yotshintsho yayibandakanya iinyanga ezintathu zokufundiswa ngonqulo entolongweni, umthetho nezoqoqosho, kwaye amabanjwa nawo afumana uqeqesho ngendlela yokuqalisa ishishini.
These most recent graduates were the ninth batch since the program started in 2017.	Aba basanda kuphumelela bebeliqela lethoba ukusukela oko yaqala inkqubo ngo-2017.
Moulay Idriss Agoulmam, the director of social-cultural action and prisoner reintegration at Morocco's prison administration, said the program is entirely voluntary and works with inmates "to change their behavior and improve their life path."	UMoulay Idriss Agoulmam, umlawuli weSocial-Cultural Action and Prisoner Reintergration kwintolongo yaseMorocco, uthe le nkqubo yeyabo bafunayo kwaye isebenza namabanjwa "ukutshintsha indlela yokuziphatha kunye nokuphucula indlela yabo yokuphila."
It enables prisoners to form an awareness of the gravity of their mistakes, he said.	“Ivumela amabanjwa ukuba aqonde ubunzulu beempazamo zawo,” utshilo.
Graduating from the program doesn't make inmates automatically eligible for early release, but does increase their chances of getting a royal pardon or a reduced sentence.	Ukuthweswa isidanga kule nkqubo akuwenzi amabanjwa afanelekele ukukhululwa kwangoko, kodwa konyusa amathuba awo okufumana uxolelo lwasebukhosini okanye isigwebo esincitshisiweyo.
That's been the case for just over half the program's 222 graduates so far, the prison administration says.	Kube njalo ngaphezu kwesiqingatha sabafundi abaphumeleleyo abangama-222 ukuza kuthi ga ngoku, utshilo abaphathi bentolongo.
Since 2019, the training has also been offered to women convicted under Morocco's Anti-Terrorism Act.	Ukusukela ngo-2019, olu qeqesho lunikezelwe kwabasetyhini abagwetywe phantsi koMthetho waseMorocco ochasene nobunqolobi.
Ten women have graduated so far — all of them since released, including eight with pardons.	Abasetyhini abalishumi baye baphumelela ukuza kuthi ga ngoku - bonke ukusukela oko bakhululwe, kuquka nabasibhozo abaxolelweyo.
Called "Moussalaha," meaning "reconciliation" in Arabic, the program is offered to prisoners who have demonstrated a readiness to disavow extremism.	Ibizwa ngokuba yi-“Moussalaha,” elithetha “uxolelwaniso” ngesiArabhu, le nkqubo inikezelwa kumabanjwa abonakalise ukulungela ukuchasa iimbono ezibaxiweyo.
Mohsin said he left to fight in Syria in 2012.	UMohsin uthe wemka waya kulwa eSyria ngo-2012.
A school dropout as a teen, he said he "was virtually illiterate and couldn't discern good from bad." 	Njengowayeka isikolo ngethuba wayekwishumi elivisayo, wathi "wayengafundanga kwaye engakwazi ukwahlula okulungileyo kokubi." 
He said he was radicalized by people who showed him extremist videos "about the divine obligation to battle those who don't follow Islamic principles and to murder non-Muslims."	Wathi watshintshwa ngabantu ababembonisa iividiyo eziyingozi "malunga nembopheleleko yobuthixo yokulwa nabo bangayilandeliyo imigaqo yamaSilamsi kunye nokubulala abangengawo amaSilamsi."
In Syria, "I saw massacres, rapes, and thefts," he said. "I concluded after a time that the fight being conducted in the name of Islam had nothing to do with our religion."	ESyria, “ndibone ukubulawa kwabantu, ukudlwengulwa, nobusela,” watsho. “Emva kwexesha ndagqiba kwelokuba umlo owawuqhutywa egameni lamaSilamsi awunanto yakwenza nonqulo lwethu.
He escaped to Turkey in 2018 and was detained for a year there before being extradited to Morocco.	Wabalekela eTurkey ngo-2018 kwaye wavalelwa unyaka apho ngaphambi kokuba athunyelwe eMorocco.
He says he has now disavowed extremism.	Uthi ngoku uzichasile iimbono ezibaxiweyo.
That period of my life has passed, he said.	“Elo xesha lobomi bam lidlulile,” watsho.
Numerous Moroccans have traveled to Syria, Iraq and elsewhere to join extremist groups.	Uninzi lwabantu baseMorocco luye lwaya eSyria, eIraq nakwezinye iindawo ukuya kubayinxalenye namaqela aneembono ezibaxiweyo.
Morocco has also experienced multiple attacks itself. 	IMorocco ifumane uhlaselo oluphindaphindiweyo ngokwayo. 
Five suicide attacks in Casablanca in 2003 killed 33 people. In 2011, an explosion destroyed a cafe in Marrakech, killing 17 people, most of them foreign tourists.	Uhlaselo lohlobo lokuzibulala lwaseCasablanca ngowama-2003 lwabulala abantu abangama-33. Ngo-2011, ugqabhuko-dubulo lwatshabalalisa indawo yokusela ikofu eMarrakech, lwabulala abantu abayi-17, uninzi lwabo bengabakhenkethi bangaphandle.
Al Mustapaha Razrazi, a clinical psychologist and member of the program's scientific committee, said among 156 people who have been released after attending the courses, just one has been caught committing a crime again.	UAl Mustapaha Razrazi, ugqirha wezengqondo kunye nelungu leProgram's Scientific Committee, uthe phakathi kwabantu abayi-156 abathe bakhululwa emva kokuzimasa ezi zifundo, umnye nje uye wabanjwa esenza ulwaphulo-mthetho kwakhona.
That person was convicted of a non-terrorism-related offense, he said.	Loo mntu ugwetyelwe ityala elingento yokwenza nobunqolobi, watsho. 
As a combatant for the Islamic State group who left his native Morocco to join what he felt was a holy fight in Syria, Mohsin says he saw all the horrors of war.	Njengomlwi weqela le-Islamic State oshiye ilizwe lakhe laseMorocco ukuya kuba yinxalenye yento awayecinga ukuba ngumlo ongcwele eSyria, uMohsin uthi wabona yonke inkohlakalo yemfazwe.
A terrifying experience, he says.	Amava awoyikisayo, utsho njalo.
Now a prisoner, the 38-year-old claims he is no longer the fanatic he was then, enraged with a murderous hatred for non-Muslims.	Ngoku elibanjwa, elineminyaka engama-38 ubudala libanga ukuba akasenguye laa mntu wayenenzodelelo yempambano ngelo xesha, enomsindo wokubulala abantu abangengawo amaSilamsi.
Captured in Turkey and extradited to Morocco, he is serving a 10-year prison term on terrorism charges.	Ubanjelwe eTurkey waza wathunyelwa eMorocco, uthothoza iminyaka elishumi entolongweni ngezityholo zobunqolobi.
Now the former fighter has graduated with 14 other prisoners convicted of terror offenses from a Morocco de-radicalization program that might make them more eligible for an early release.	Ngoku lo wayesakuba ngumlwi uphumelele kunye namanye amabanjwa ali-14 agwetywe kulwaphulo-mthetho lwenkqubo yase-Morocco yotshintsho enokuthi ibenze bafaneleke ngakumbi ukukhululwa phambi kwexesha.
The Associated Press and other media were invited to observe their graduation ceremony Thursday in a prison in Sale near the Moroccan capital, Rabat.	I-Associated Press kunye namanye amajelo eendaba amenyiwe ukuba abukele umsitho wabo wokuphumelela ngoLwesine kwintolongo eseSale kufutshane nekomkhulu laseMorocco, iRabat.
And to interview some prisoners under monitored and controlled conditions. Prison administration officials picked out three men they said were willing to be interviewed.	Kwaye enze udliwano-ndlebe namanye amabanjwa phantsi kweemeko ezibekwe esweni nezilawulwayo. Amagosa olawulo lwentolongo akhetha amadoda amathathu athi akulungele ukuba nodliwano-ndlebe.
Officials stipulated that the inmates shouldn't be identified by their full names and that their faces mustn't be shown, citing privacy reasons.	Amagosa amisela ukuba amabanjwa akufunekanga achazwe ngamagama awo apheleleyo kwaye ubuso bawo bungaboniswa, echaza izizathu zokufihlwa kwabo.
But prison officials didn't listen to the interviews or intervene to shut down media lines of questioning or inmates' answers.	Kodwa amagosa entolongo akazange amamele udliwano-ndlebe okanye angenelele ukuvala imigca yemithombo yeendaba yemibuzo okanye iimpendulo zamabanjwa.
The 15 inmates in crisp shirts and trousers stood solemnly for Morocco's national anthem and were handed certificates.	Amabanjwa ali-15 anxibe iihempe neebhulukhwe ema ngokundilisekileyo ephulaphule umhobe wesizwe waseMorocco kwaye anikwa iziqinisekiso.
Prison officials said the de-radicalization program consisted of three months of classes in prison on religion, law and economics, and that inmates also received training on how to start a business.	Amagosa entolongo athi inkqubo yotshintsho yayibandakanya iinyanga ezintathu zokufundiswa ngonqulo entolongweni, umthetho nezoqoqosho, kwaye amabanjwa nawo afumana uqeqesho ngendlela yokuqalisa ishishini.
These most recent graduates were the ninth batch since the program started in 2017.	Aba basanda kuphumelela bebeyibhetshi yethoba ukusukela oko yaqala inkqubo ngo-2017.
Moulay Idriss Agoulmam, the director of social-cultural action and prisoner reintegration at Morocco's prison administration, said the program is entirely voluntary and works with inmates "to change their behavior and improve their life path."	UMoulay Idriss Agoulmam, umlawuli weSocial-Cultural Action and Prisoner Reintergration kwintolongo yaseMorocco, uthe le nkqubo yeyabo bafunayo kwaye isebenza namabanjwa "ukutshintsha indlela yokuziphatha kunye nokuphucula indlela yabo yokuphila."
It enables prisoners to form an awareness of the gravity of their mistakes, he said.	“Ivumela amabanjwa ukuba aqonde ubunzulu beempazamo zawo,” utshilo.
Graduating from the program doesn't make inmates automatically eligible for early release, but does increase their chances of getting a royal pardon or a reduced sentence.	Ukuthweswa isidanga kule nkqubo akuwenzi amabanjwa afanelekele ukukhululwa kwangoko, kodwa konyusa amathuba awo okufumana uxolelo lwasebukhosini okanye isigwebo esincitshisiweyo.
That's been the case for just over half the program's 222 graduates so far, the prison administration says.	Kube njalo ngaphezu kwesiqingatha sabafundi abaphumeleleyo abangama-222 ukuza kuthi ga ngoku, utshilo abaphathi bentolongo.
Since 2019, the training has also been offered to women convicted under Morocco's Anti-Terrorism Act.	Ukusukela ngo-2019, olu qeqesho lunikezelwe kwabasetyhini abagwetywe phantsi koMthetho waseMorocco ochasene nobunqolobi.
Ten women have graduated so far — all of them since released, including eight with pardons.	Abasetyhini abalishumi baye baphumelela ukuza kuthi ga ngoku - bonke ukusukela oko bakhululwe, kuquka nabasibhozo abaxolelwe.
Called "Moussalaha," meaning "reconciliation" in Arabic, the program is offered to prisoners who have demonstrated a readiness to disavow extremism.	Ibizwa ngokuba yi-“Moussalaha,” elithetha “uxolelwaniso” ngesiArabhu, le nkqubo inikezelwa kumabanjwa abonakalise ukulungela ukuchasa iimbono ezibaxiweyo.
Mohsin said he left to fight in Syria in 2012.	UMohsin uthe wemka waya kulwa eSyria ngo-2012.
A school dropout as a teen, he said he "was virtually illiterate and couldn't discern good from bad." 	Njengowayeka isikolo ngethuba wayekwishumi elivisayo, wathi "wayengafundanga kwaye engakwazi ukwahlula okulungileyo kokubi." 
He said he was radicalized by people who showed him extremist videos "about the divine obligation to battle those who don't follow Islamic principles and to murder non-Muslims."	Wathi watshintshwa ngabantu ababembonisa iividiyo eziyingozi "malunga nembopheleleko yobuthixo yokulwa nabo bangayilandeliyo imigaqo yamaSilamsi kunye nokubulala abangengawo amaSilamsi."
In Syria, "I saw massacres, rapes, and thefts," he said. "I concluded after a time that the fight being conducted in the name of Islam had nothing to do with our religion."	ESyria, “ndibone ukubulawa kwabantu, ukudlwengulwa, nobusela,” watsho. “Emva kwexesha ndagqiba kwelokuba umlo owawuqhutywa egameni lamaSilamsi awunanto yakwenza nonqulo lwethu.
He escaped to Turkey in 2018 and was detained for a year there before being extradited to Morocco.	Wabalekela eTurkey ngo-2018 kwaye wavalelwa unyaka apho ngaphambi kokuba athunyelwe eMorocco.
He says he has now disavowed extremism.	Uthi ngoku uzichasile iimbono ezibaxiweyo.
That period of my life has passed, he said.	“Elo xesha lobomi bam lidlulile,” watsho.
Numerous Moroccans have traveled to Syria, Iraq and elsewhere to join extremist groups.	Uninzi lwabantu baseMorocco luye lwaya eSyria, eIraq nakwezinye iindawo ukuya kubayinxalenye namaqela aneembono ezibaxiweyo.
Morocco has also experienced multiple attacks itself. Five suicide	IMorocco ifumane uhlaselo oluphindaphindiweyo ngokwayo. 
attacks in Casablanca in 2003 killed 33 people. In 2011, an explosion destroyed a cafe in Marrakech, killing 17 people, most of them foreign tourists.	Uhlaselo lohlobo lokuzibulala lwaseCasablanca ngowama-2003 lwabulala abantu abangama-33. Ngo-2011, ugqabhuko-dubulo lwatshabalalisa indawo yokusela ikofu eMarrakech, lwabulala abantu abayi-17, uninzi lwabo bengabakhenkethi bangaphandle.
Al Mustapaha Razrazi, a clinical psychologist and member of the program's scientific committee, said among 156 people who have been released after attending the courses, just one has been caught committing a crime again.	UAl Mustapaha Razrazi, ugqirha wezengqondo kunye nelungu leProgram's Scientific Committee, uthe phakathi kwabantu abayi-156 abathe bakhululwa emva kokuzimasa ezi zifundo, umnye nje uye wabanjwa esenza ulwaphulo-mthetho kwakhona.
That person was convicted of a non-terrorism-related offense, he said.	Loo mntu ugwetyelwe ityala elingento yokwenza nobunqolobi, watsho. 
	
Diversity, New Perspectives Are Applied to Middle East Coverage	Iyantlukwano, iimbono ezitsha ziyasetyenziswa kuMbindi Mpuma
Natalia Sancha has always adopted a collaborative approach to journalism.	U-Natalia Sancha ebesoloko esamkela indlela yokusebenzisana kubuntatheli.
When out on assignment, she speaks to others covering the same story about their perspectives.	Xa eyokwenza umsebenzi wakhe ngaphandle, uthetha nabanye abagubungela ibali elifanayo ngeembono zabo.
This partly stems from an interest in telling underreported stories, but as a female journalist in a male-dominated region, she says collaboration and supporting the women she works with have always been important.	Oku ngokuyinxenye kuvela kumdla wokubalisa amabali angabaliswayo ngokwaneleyo, kodwa njengentatheli yasethyini kwindawo elawulwa ngamadoda, uthi intsebenziswano kunye nokuxhasa amanina asebenza nawo ibisoloko ibalulekile.
I would talk to male and female journalists, and I always realized that women had a similar perspective, because we had similar experiences while covering the story, the 42-year-old journalist said.	“Bendikhe ndithethe neentatheli zamadoda nabasetyhini, kwaye bendisoloko ndiqaphela ukuba abasetyhini banembono efanayo, kuba nathi besinamava afanayo ngelixa sibhala eli bali,” yatsho intatheli eneminyaka engama-42 ubudala.
That collaborative approach came into play in 2020 when a publisher asked Sancha if she was interested in writing a book about Syria.	Le ndlela yokusebenzisana yaqala ukusebenza ngo-2020 xa umvakalisi wabuza uSancha ukuba unomdla wokubhala incwadi ngeSyria.
She countered with a better offer.	Wachasa enombono olungcono.
I told him that a collective narrative by women journalists about the broader region would have a different effect, she said.	“Ndimxelele ukuba ibali elidityanelweyo leentatheli zabasetyhini malunga nommandla obanzi lingaba nefuthe elahlukileyo,” utshilo.
I could have written the book myself, but it would not have the same sense.	Ngendiyibhale ngokwam le ncwadi, kodwa ayinakuba nengqiqo efanayo.
Originally from Andalusia in southern Spain, Sancha spent the past 14 years in the Middle East covering conflicts in Iraq, Syria and Yemen, and reporting from Egypt, Lebanon and Tunisia.	Onemvelaphi yaseAndalusia kumazantsi eSpain, uSancha uchithe iminyaka eli-14 edlulileyo kuMbindi Mpuma egubungela ungquzulwano eIraq, eSyria naseYemen, kwaye enika ingxelo eseEgypt, eLebhanon naseTunisia.
She has been working more recently with the European Union communications department, after leaving Beirut for health reasons following a mass explosion that rocked the city in 2020.	Usebenze kutsha nje nesebe lezonxibelelwano le-European Union, emva kokushiya i-Beirut ngenxa yezizathu zempilo kulandela ugqabhuko-dubulo olukhulu olwanyakamisa isixeko ngo-2020.
Women "have a different experience because we would go to places that our male colleagues were not used to.	Abasetyhini “banamava ahlukileyo kuba besisiya kwiindawo abangaziqhelanga oogxa bethu abangamadoda.
Not because we're smarter, but just because the majority of the region is still Arab, Muslim and gender-segregated," Sancha told VOA.	Hay ngenxa yokuba sihlakaniphile, kodwa ngenxa yokuba uninzi lwalo mmandla lusengama-Arabhu, amaSilamsi kunye nolwahlulo ngokwesini, "uSancha uxelele iVOA.
Having women reporters has an impact, she noted.	Ukuba neentatheli zabasetyhini kunempembelelo, waphawula.
If I put myself in the position of the reader, I would prefer to have a woman telling me the story because it is going to be about 100 percent of the population, which means you are going to have a more inclusive narrative on the conflict.	Ukuba ndizibeka kwindawo yomfundi, ndingathanda ukuba nomntu wasetyhini ondixelela ibali kuba liza kuba malunga ne-100 yepesenti yabemi, oku kuthetha ukuba uya kuba nengxelo ebandakanya ngakumbi kwingxabano. .
For her book, Sancha reached out to other women who cover the Middle East, to ensure diverse perspectives from foreign and local reporters.	Kwincwadi yakhe, u-Sancha wafikelela kwabanye abafazi abagubungela uMbindi Mpuma, ukuqinisekisa iimbono ezahlukeneyo ezivela kwiintatheli zangaphandle kunye nezasekhaya.
The result of the nearly two-year collaboration is Bullets for All, released in Spanish in April.	Isiphumo sentsebenziswano ephantse ibe yiminyaka emibini yiBullets for All, ekhutshwe ngeSpanish ngoAprili.
In the book, "we tell one story with different voices that represent all the women" from the region, Sancha said.	Kulencwadi, "sibalisa ibali elinye ngamazwi ahlukeneyo amele bonke abafazi" bendawo, utshilo uSancha.
Each offers a personal perspective on covering historic moments, including the collapse of autocratic governments, popular protest movements and war.	Nganye ibonelela ngembono yobuqu malunga nokugubungela amaxesha embali, kubandakanya ukuwa koorhulumente bolawulo-melo, intshukumo yoqhanqalazo edumileyo kunye nemfazwe.
It also examines the discrimination and harassment women face in the newsroom and on assignment.	Ikwavavanya ucalucalulo kunye nokuxhatshazwa kwabasetyhini abajongana nabo kwigumbi leendaba nakwizabelo.
	
Understanding language and culture goes a long way toward making progress in the region, says Maya Gebeily.	UMaya Gebeily uthi ukuqonda ulwimi nenkcubeko kunegalelo elikhulu ekwenzeni inkqubela kulo mmandla.
The Reuters bureau chief for Lebanon, Syria and Jordan is one of the contributors to the book.	Umphathi we-Reuters Bureau yeLebhanon, iSyria kunye neJordani ngomnye wabanegalelo kule ncwadi.
There's a lot to say and show from the perspective of women reporters who were also then influenced by the women that they met as they were doing their reporting, she said.	“Kuninzi okuthethwa nokuboniswa ngokwembono yeentathezli zasethyini nazo ezithi ziphenjelelwe ngamakhosikazi athe zadibana nawo ngethuba zisenza ingxelo,” utshilo.
Born in the U.S. to Lebanese parents, Gebeily started her journalism career in 2013 with a local news site in Beirut, Lebanon. She went on to cover the region for Agence France-Presse before joining Reuters.	Ozalelwe e-US kubazali baseLibanon, uGebeily waqala umsebenzi wakhe wobuntatheli ngo-2013 kwindawo yeendaba yasekhaya eBeirut, eLibanon. Uqhubekile nokugubungela ummandla we-Agence France-Presse ngaphambi kokujoyina iReuters.
Gebeily said her American and Lebanese background helped her understand the region better, which in turn has shaped her reporting.	UGebeily uthe imvelaphi yakhe yaseMelika kunye neLibanon yamnceda ukuba awuqonde ngcono ummandla, nto leyo eye yabumba ingxelo yakhe.
Knowing the local language is an important part of that.	Ukwazi ulwimi lwasekuhlaleni yinxalenye ebalulekileyo yoko.
When interviewing a minister or a displaced person or an activist, the most important element is getting their trust, she said.	“Xa unodliwano-ndlebe nomphathiswa okanye umntu oshiye ikhaya okanye itshantliziyo, eyona nto ibalulekileyo kukufumana ukuthenjwa ngabo,” utshilo.
If you're able to speak the language and make them feel comfortable from the beginning, it changes everything. 	Ukuba uyakwazi ukuthetha ulwimi kwaye ubenze bazive bekhululekile kwasekuqaleni, oko kutshintsha yonke into.
It grants you a very beautiful kind of access.	Ikunika uhlobo oluhle kakhulu lokufikelela. "
In addition to Iraq and Lebanon, Gebeily, 30, has also traveled to Syria to cover the war against the Islamic State (IS) militant group.	Ukongeza e-Iraq naseLebhanon, uGebeily, oneminyaka engama-30 ubudala, naye uye waya eSyria ukuze apapashe imfazwe echasene neqela le-Islamic State (IS).
Ive been very privileged to access some communities directly without having to work with a translator or a fixer, which also shapes the way that the stories come out, she said.	“Ndibe nenyhweba yokufikelela kwiindawo ezithile zoluntu ngokuthe ngqo ngaphandle kokuba ndisebenze nomguquleli okanye umlungisi, nto leyo ebumba indlela aphuma ngayo amabali,” utshilo.
Syrian-Kurdish journalist Khabat Abbas, who has covered the war in Syria, attests to the importance of that.	Intatheli yaseSyria-Kurdish uKhabat Abbas, obhale ngemfazwe yaseSyria, uyangqina ukubaluleka koko.
Its knowing the language and the culture that gives people a sense of comfort to open up to you, she told VOA from Qamishli, Syria.	Kukwazi ulwimi kunye nenkcubeko eyenza abantu bazive bekhululekile ukuba bathethe nawe, uxelele iVOA evela eQamishli, eSiriya.
That knowledge helped when Abbas, 34, was on assignment with Sancha in March 2021. They traveled to a Kurdish-run detention camp in northeast Syria ,	Olo lwazi lwanceda xa uAbbas, oneminyaka engama-34 ubudala, ngethuba esebenza ngaphandle noSancha ngoMatshi 2021. Baya kwinkampu yamaKurdish ababevalelwe kumntla-mpuma weSiriya,
And interviewed female jihadists affiliated with IS, for a story in El Pais.	Babe nodliwano-ndlebe nama-jihadists abhinqileyo anxulumene ne-IS, ngebali e-El Pais.
While in Qamishli [in northeast Syria], I ran into two British journalists, very good colleagues of mine, who were disappointed after Shamima Begum and other women at the came refused to talk to them,	“Ngethuba ndandiseQamishli [kumntla-mpuma weSyria], ndadibana neentatheli ezimbini zaseBritane, oogxa bam abalungileyo, ababedanile emva kukaShamima Begum nabanye namanye amanina enkampini ala ukuthetha nabo,
" Sancha said, referring to a young woman who left her home in Britain aged 15 to join IS.	”utshilo uSancha, ebhekisa kumfazi oselula owashiya ikhaya lakhe eBritane eneminyaka eli-15 ukuya kujoyina i-IS.
Their fixer was a man, so the jihadist women didnt talk to them because they are radical, and they dont talk to men. But then I was able to sit with Shamima and other women, who gave fantastic interviews from inside their tents, Sancha said.	Umlungisi wabo wayeyindoda, ngoko ke abafazi be-jihadist abazange bathethe nabo ngenxa yokuba abathethi namadoda. Kodwa ke ndakwazi ukuhlala noShamima kunye nabanye abafazi, abanikela udliwano-ndlebe oluhle ngaphakathi kweentente zabo,  Watsho uSancha.
Abbas had a role in getting to talk to those women, she added.	U-Abbas wayenefuthe ekufumaneni ukuthetha nabo bafazi, wongeze watsho.
Unlike Sancha and Gebeily, Abbas grew up in the marginalized Kurdish region of Syria, where until the war began in 2011, journalism effectively didnt exist.	Ngokungafaniyo noSancha kunye noGebeily, u-Abbas wakhulela kwingingqi yaseKurdish yaseSyria, apho kwada kwaqala imfazwe ngo-2011, ubuntatheli babungekho.
Ordinary people in our region were used to seeing women pick up arms and fight, but they werent used to seeing a woman hold a camera on the streets and on front lines, Abbas said.	“Abantu abaqhelekileyo kwingingqi yethu bebeqhele ukubona abantu basetyhini bethatha izixhobo kwaye besilwa, kodwa bebengaqhelanga ukubona umntu obhinqileyo ebambe ikhamera ezitratweni  nangaphambili,” utshilo u-Abbas.
It took a lot of sacrificing for me to convince my family and society that Im as good, if not better, as my male colleagues.	Kwathatha ukuzincama okukhulu ukuze ndiqinisekise usapho lwam kunye noluntu ukuba ndilungile, ukuba andingcono, njengabalingane bam abangamadoda.
Journalism appealed to her because the story of the Middle East has often been told by male journalists, both local and foreign.	Ubuntatheli bamtsala umdla kuba ibali loMbindi Mpuma belisoloko libaliswa ziintatheli ezingamadoda, alapha ekhaya nakwamanye amazwe.
The narrative hasnt changed because of that, but if local and international women journalists get a real chance to tell the story of the Middle East, 	Ibali alitshintshanga ngenxa yoko, kodwa ukuba iintatheli zasekhaya kunye nezamazwe ngamazwe zabasetyhini bafumana ithuba lokwenyani lokubalisa ibali loMbindi Mpuma, 
that narrative could change, which would affect the way others see this region," Abbas said.	ibali lingatshintsha, elinokuthi lichaphazele indlela abanye abawubona ngayo lo mmandla,”utshilo uAbbas.
Sancha also believes women in journalism have an impact on the way issues are viewed in the region, including post-traumatic stress disorder and the effect it has on female health, and subjects such as violence and alcohol.	U-Sancha naye ukholelwa ukuba abafazi kwi-journalism banempembelelo kwindlela imiba ejongwa ngayo kwingingqi, kubandakanywa uxinzelelo emva kokuphazamiseka kunye nomphumo onalo kwimpilo yabasetyhini, kunye nezifundo ezifana nobundlobongela kunye notywala.
We talk about all these issues that men normally would not speak about, she said.	“Sithetha ngayo yonke le miba amadoda ebengafuni kuthetha ngayo,” utshilo.
	
Iran's Guards Commander Says Israel Creating Conditions for Own Destruction	Umphathi wabalindi base-Iran uthi i-Israel izenzela iimeko zokuzitshabalalisa
Israel's actions are creating conditions for its own destruction, Irans Revolutionary Guards commander on Friday told a Jerusalem Day rally at which the countrys new domestically-made Kheibar Buster missile was displayed.	Izenzo ze-Israel zidala iimeko zokuzitshabalalisa, umphathi we Revolutionary Guards wase-Iran ngoLwesihlanu uxelele indibano yeJerusalem Day apho kwaboniswa khona imijukujelwa ye-Kheibar Buster eyenziwe ekhaya.
State television said millions of Iranians joined rallies marking Quds Day, the Arabic name for Jerusalem, in state-organized marches across the country.	Umabonwakude welizwe uthe izigidi zabantu base-Irani bazibandakanya kwiindibano zokuphawula iQuds Day, igama lesiArabhu leJerusalem, kwimingcelele eququzelelwe ngurhulumente kwilizwe liphela.
It showed the Israeli flag being set on fire and groups of people around the country shouting choreographed "Death to America, Death to Israel" slogans.	Ibonise iflegi yase-Israel itshiswa kwaye amaqela abantu kwilizwe lonke bekhwaza "Ukufa eMelika, Ukufa ku-Israel" izilogeni.
Supreme leader Ayatollah Ali Khamenei said in a televised speech that anti-Israeli protests and attacks showed that Palestinians rejected compromises by Arab authorities with Israel.	Inkokeli ephakamileyo u-Ayatollah Ali Khamenei uthe kwintetho kamabonakude ukuba uqhanqalazo oluchasene ne-Israeli kunye nohlaselo lubonise ukuba abantu basePalestine bayala ukuthotyelwa ngabasemagunyeni baseArabhu kunye noSirayeli.
Opposition to Israel is a touchstone of belief for Iran, which backs Palestinian and Lebanese Islamist militant groups opposed to peace with Israel, which Tehran does not recognize.	Ukuchaswa kwe-Israel ngumlinganiselo wokukholelwa kwi-Iran, exhasa amaqela e-Palestine kunye neLibanon yamaSilamsi achasene noxolo kunye ne-Israel, uTehran angawaniki ngqwalaselo.
What has happened in Palestine in recent years annuls all plans for compromise with the Zionist enemy (Israel) because no plan for Palestine can be implemented in the absence or contrary to the opinions of its owners, the Palestinians, Khamenei said, speaking in Arabic and addressing Palestinians and other Arabs.	Into eyenzekileyo ePalestine kule minyaka idlulileyo itshitshisa zonke izicwangciso zokulalanisa notshaba lwaseZionist (Israeli) kuba akukho sicwangciso sePalestine esinokuthi siphunyezwe xa ingekho okanye ngokuchaseneyo nezimvo zabanini bayo, amaPalestine, utshilo uKhamenei. IsiArabhu kunye nokuthetha nabantu basePalestina kunye namanye ama-Arabhu.
Thus, Khamenei said, all previous peace agreements -- such as the 1993 Oslo Accords, the two-state solution to resolve the Israeli-Palestinian conflict, 	Ngoko, uKhamenei uthe, zonke izivumelwano zoxolo zangaphambili-ezinje nge-1993 Oslo Accords, isisombululo samazwe amabini ukusombulula impixano yase-Israel-Palestina, 
And former U.S. President Donald Trump's plan dubbed the Deal of the Century "are null and void".	Kwaye isicwangciso sowayesakuba nguMongameli waseMelika uDonald Trump esibizwa ngokuba yiDeal of the Century "ayinamsebenzi kwaye asinto".
President Ebrahim Raisi, Irans military commanders and senior officials also attended the rallies in which people were allowed to march through the streets, the first time since the outbreak of the coronavirus pandemic two years ago.	Umongameli u-Ebrahim Raisi, abalawuli basemkhosini base-Iran kunye namagosa aphezulu baye bazimasa iindibano apho abantu babevunyelwa ukuba baqhankqalaze ezitratweni, okokuqala okoko kwaqhambuka isifo esihlasele uzwelonke i-coronavirus kwiminyaka emibini edlulileyo.
Iran's Jerusalem Day rallies are held annually in support of Palestinians, who want East Jerusalem as the capital of a future state in territories captured by	Imikhosi yase-Iran yeJerusalem Day ibanjwa minyaka le ukuxhasa abantu basePalestina, abafuna i-East Jerusalem ibe likomkhulu lelizwe elizayo kwiindawo ezithinjiweyo.
