fr	fon
Faut-il craindre le pire ?	985- É ɖó ná ɖi xɛsi ɖɔ hǎ ɖò kàn ná nylá wɛ ?
Docteur Lamidhi SALAMI, le Directeur National de la Santé Publique, invité de l’émission 90 MN pour convaincre a tenté ce matin d’apporter diverses clarifications.	"""986- Dotóo gán Lamidhi SALAMI‚ gǎn ée kpacɛ dó lanmɛ ná nɔ ganjí tòví bǐ kpáa tɔn wú ɔ́‚ è ylɔ́ wá nǔwíwá """"90MN pour convaincre"""" jí bɛ́ gbà jɛ̌ nǔ tɛnmɛ tɛnmɛ mɛ̀."""
Il a mis également l’accent sur la nécessité d’observer les mesures de prévention préconiser par le gouvernement.	987- È tɛɖɛ̌ walɔ ɖagbe ɖó bó nyì alɔ nú azɔnkwín ɔ́ ée acɛkpìkpà ɔ́ sɔ́ ɖòtè lɛ́ɛ sín nyìnyì jí.
Le chef de l’Etat, Patrice Talon reçoit ce 21 janvier 2021, les vœux des corps constitués de la République et du corps diplomatique accrédité au Bénin.	988- Tògán Patrice TALƆN yí afɔ sɔ ɖo tè tɔ tò ɔ́ tɔn lɛ́ɛ kpódó tò gudo tɔn ée ɖò Benɛ é kpán lɛ́ɛ tɔn sín jǒnɔ ɖò azǎn 21ɔ́ aluunsùn xwè 2021ɔ́ tɔn gbè bɔ ye wá dó xwè gbè níí.
Suivez ici les temps forts de la cérémonie qui verra le président de la République répondre chaque aux messages de vœux des institutions, des diplomates et des hommes en uniforme.Adonis Bohoun Adonis Bohoun A la Une, Infos Une, Politique 0 Comment corps constitués Patrice Talon voeux 2021	989- Mí ɖótó hwenu syɛnsyɛn è mɛ̀ tògán Patrice TALƆN ɖò gbè yí nú xwè gbè dó nú mɛ azɔxwé lɛ́ɛ‚ gbeyiɖɔ tò gudo nù lɛ́ɛ tɔn kpódó sɔ́ja lɛ́ɛ tɔn kpán wɛ é. Adonis Bohoun Adonis Bohoun Xó tají lɛ́ɛ‚ tòxó ɖiɖɔ ‚ xó ɖěbǔ ɖè ǎ ‚ afɔ sɔ ɖo tè tɔ lɛ́ɛ‚ Patrice TALƆN ‚ xwè gbè dídó xwè 2021ɔ́ tɔn.
Le trafic au niveau du carrefour Vèdoko à Cotonou va devenir fluide avec la construction prochaine d’un passage supérieur.	990- Ali kplé hɔn kàn tɛn Vɛdokɔ́ tɔn ée ɖò Kutɔnu ɔ́ ná fuɖa hwenu è è gbá anǎ ɖaxó è jí mɔto lɛ́ɛ ná gbɔn lé.
Le contrat pour la réalisation de l’ouvrage a été signé entre le Bénin et le Japon, partenaire financier du projet.	991- Alɔ dó wěmá mɛ bó ná wà azɔ̌ nɛ́ ɔ́ tîin ɖò Benɛ kpódó Japon kpán tɛntin ‚ eye mɛ è dó akwɛ tutomɛ nɛ́ mɛ̀ é.
C’est une enveloppe de 18 milliards de francs que le Japon met à la disposition du Bénin pour la réalisation du passage supérieur de Vêdoko à Cotonou.	992- Liva 18 wɛ Japon sɔ ɖòtè nú Benɛ ɖò ali Vɛdokɔ́ tɔn gbígbá nɛ́ lí nù.
Le ministre des Affaires étrangères et l’ambassadeur du Japon près le Bénin ont paraphé les documents officialisant le don.	993- Gǎn-hɔn-yì-tɔ́ ée nɔ kpénúkún dó xó è kàn tò è ɖò tò gudo lɛ́ɛ wú ɔ́ kpódó afɔ sɔ ɖo tè tɔ Japon ée ɖò Benɛ é kpán wɛ dalɔ wěmá nǔníná tɔn nɛ́ ɔ́ mɛ̀.
Leurs évaluations auront lieu du 7 au 11 septembre.	1802- È ná bló tɛnkpɔn yetɔn bɛsín azǎn 7ɔ́ wá yì jɛ azǎn 11ɔ́ zoosùn tɔn gbè.
Les lycées et collèges quant à eux rouvrent toutes leurs classes.	1803- Azɔmɛ xwé linsinmɛ tɔn lɛ́ɛ ná hùn xɔ yetɔn lɛ́ɛ bǐ.
Le projet de construction de l’académie de tennis au Bénin est relancé.	1804- Tutomɛ è nyí azɔmɛ xwé tennis tɔn ɔ́‚ è ko hùn nǔ sín nù ɖò Benɛ.
Daniel Chausse, président de l’Association des fédérations francophones de tennis a exposé au chef de l’Etat, les derniers détails du projet ce 21 janvier 2021.Faire du Bénin une terre de tennis d’une part, créer des champions et développer ce sport pour l’ensemble des populations d’autre part.	1805- Daniel Chausse‚ nukɔntɔ gbɛta kplékplé ée nɔ kpénúkún dó tennis xixo wú ɖò tò è nɔ dó zojagě gbè lɛ́ɛ tɔn ɔ́‚ wá gbà jɛ̌ tutomɛ tennis tɔn mɛ̀ nú tògán ɔ́ ɖò azǎn 21ɔ́ aluunsùn xwè 2021ɔ́ tɔn gbè. Benɛ tò ná nyí ayǐ è jí è nɔ xò tennis ɖè é bɔ lɔn yì jǐ lɔn fɔn kàn kpáxwé nɛ́ ɔ́ ná lɛ́ gbàkún ɖò Benɛ tò mɛ̀ nú nyɔna tòví lɛ́ɛ tɔn.
Tels sont les buts visés par la construction de l’académie.	1806- Linlin è azɔmɛ xwé tennis tɔn nɛ́ ɔ́ xwédó ɔ́ nɛ́.
La fonction est loin d’être honorifique au regard de la consistance des avantages y afférents (une villa de “très haut standing”, une allocation d’environ 500 000 dollars US…).	1009- Ényí è kpɔ́n lè ée ɖò gǎn ɔ́ nyínyí mɛ̀ ɔ́‚ azɔ̌ ɔ́ nyí gbɛ ɖù zɔ́ ɖěbǔ ǎ (xɔ klewun ɖé ‚ sùnzán fó kwɛ  ná nyí dollars US 500 000 mɔ̌).
Mais Pierre Nkurunziza n’occupera pas finalement ce poste.	1010- Amɔ̌ Pierre Nkurunziza sɔ lɛ́ wá nɔ tɛn nɛ́ mɛ̀ ǎ.
Les candidats aux différents examens de fin d’année et concours auront moins de difficultés pour consulter leur résultats.	2- Ye mɛ è xwè tɛ́nkpɔ́n xwè fínfó lɛ́ɛ kpódó ye mɛ è xwè agbahwlɛ́nhwlɛ́n lɛ́ɛ kpán ɔ́‚ kɛ́n yetɔn ná bɔ̀kùn.
Le gouvernement a lancé ce 24 juillet 2020, une plateforme numérique qui s’y consacre, e-résultats.Accessible à l’adresse  https://eresultats.bj/, c’est une plateforme qui condense les résultats des examens (Cep, Bepc, Bac), des concours ainsi que les épreuves et leur corrigé-types.	3- Sin azǎn 24ɔ́ lyasùn xwè 2020ɔ́ tɔ̀n ɖokpóo wɛ̀ tògán-gbásá sɔ́ azɔ̌ wà ɖò mɔ̀kan jí gbásá nɛ́ ɖayǐ bɛ́ ná nɔ́ kpénúkún dó kɛ́nníná lɛ́ɛ wú. e-résultats wɛ̀ ye ylɔ́ ɛ́ ɖɔ̀ bɛ́ ɖò nǔjlɛ́mɔ̀ élɔ́ jí : https://eresultats.bj/
Les premiers résultats disponibles sur le site seront ceux du brevet d’études du premier cycle disponibles dès ce 2 août.	4- Kɛ́nníná nukɔntɔn ɔ́ ée ná ɖò mɔgbá ɔ́ jí wɛ́ ná nyí BEPC bɛsín azǎn 2ɔ́ avùvɔ̀sùn élɔ́ ɔ́ tɔ̀n.
Pour les autres examens, ils le seront également dès la délibération.	5- Kɛ́nníná ɖée kpò lɛ́ɛ ná wá jí bɛsín hwenu è ná lá yě dó é.
Pour y arriver, il suffira de se rendre sur le site, choisir l’examen ou le concours concerné.	6- Bó ná dó kpɔ́n kɛ́nníná ɖé ɔ́‚ è vɛ̌ kó yì mɔgbà ɔ́ jí kpowun bó sɔ́ tɛ́nkpɔ́n alǒ agbahwlɛ́nhwlɛ́n ée kàn mɛ é.
Ensuite, fournir les informations nécessaires du candidat (numéro de table ou d’inscription, nom prénoms, centre de composition ,etc.).	7- Énɛ́ gudo ɔ́‚ è ní ná mɛɖée dó gesi nú agbahwɛ́ntɔ́ ɔ́ tɔ̀n lɛ́ɛ (tɛ́nkpɔ́n tɔn alǒ agbahwlɛ́nhwlɛ́n tɔn  sín wěkwín‚ hɛ̌nnu nyíkɔ́ tɔn kpódó nyǐkɔ́ tɔn kpɛ́ví ɔ́ kpán‚ fí è nɔ̀ bó yì tɛ́nkpɔ́n ɔ́ é‚...).
Deux options s’offrent alors aux internautes.	8- Nǔ bà lí we wɛ̀ hunkɛ́ nú mɛ wá mɔkàn ɔ́ jí lɛ́ɛ.
La première est la consultation dès la disponibilité.	9- Nukɔntɔn ɔ́ wɛ́ nyí kɛ́nníná lɛ́ɛ kpínkpɔ́n ényí kɛ́n ko wá mɔgbà ɔ́ jí é.
Il faudra dans ce cas payer 50 francs pour le Cep, le Bepc 75 francs et le Bac 100 francs.	10- Fí élɔ́ ɔ́ è ná sú kpɔnwun ɖokpó nú CEP‚ kpɔnwun atɔ̀n nú BEPC bó ná sú kpɔnwun ɛ́nɛ́ nú BAC
La seconde option est de recevoir ses résultats par mail.	11- Nǔ ba lí wegɔ́ɔ wɛ́ nyí kɛ́nníná yíyí gbɔn gbaví mɔkàn tɔ̀n mɛ̀.
A ce niveau il ne faudra débourser 100 francs pour le Cep, 125 pour le Bepc et 150 pour le Bac.	12- Fí élɔ́ è ná sú kpɔnwun ɛ́nɛ́ nú CEP‚ kpɔnwun atɔ́ɔn nú BEPC‚ kpɔnwun ayizɛ́n nú BAC.
Les moyens de paiement sont entre autre les transactions par carte bancaire, les paiements mobiles.	13- Akwɛ́súsú hɛ́n ɔ́ é ná gbɔn wěmá kpéwún kpéwún akwɛ́sɛ́xwètɛ̀n tɔ̀n ée ɖò mɛ sí é jí alǒ é ná gbɔn akwɛ́sú gbɔn alǒkan-má-ɖó-síké mɛ tɔ̀n jí.
Après confirmation du paiement, vous recevez vos résultats et en cas de succès, vous obtiendrez un badge à partager sur les réseaux sociaux.	14- É sú akwɛ́ gudo ɔ́‚ kɛ́n ɔ́ ná wá ényí mɛ ɔ́ dín ɔ́‚ wěmá ɖé má wá bɔ̀ é hɛ́n ɔ́ è ná má gbɔn xóɖɔ́gbájí lɛ́ɛ jí
Ces mesures barrières suspendent aussi les transfèrements administratifs.	492- Alɔ nyí nú azɔnkwín Kovidi-19 ɔ́ gbɛ́ ɖɔ̀ è má sɔ́ bà mɛ kpɔ́n ɖò azɔmɛ ɖě ó.
Les détenus sont priés de respecter les règles d’hygiène imposées telles que le lavage des mains et la distance de 1 mètre entre deux personnes.	493- È ɖò gantɔ́ lɛ́ɛ dà wɛ̀ nú ye ní wà wǔfífɛ́ nú bó nɔ́ klɔ alɔ lóbó ká nɔ́ nɔ̀ zɔ nú yeɖee lɛ́ɛ nǔjlɛkpo ɖokpó.
A leur retour, ils seront soumis à des opération de désinfections  avant leur intégration dans leur cellule Pour accueillir les nouveaux détenus, des dortoirs spéciaux ont été aménagés.	494- Ɖò kɔlɛ́wá yetɔn hwenu ɔ́‚ è nɔ́ fɛ́ wutu nú yě có bɔ̀ ye nɔ́ byɔ́ gàn kpá yetɔn lɛ́ɛ mɛ̀. Bó ná dó yí gantɔ́ ɖevo lɛ́ɛ‚ è nɔ́ sɔ́ xɔ̀ yetɔn lɛ́ɛ dó vo nú yě.
Ils resteront pendant 14 jour avant de rejoindre les autres.	495- Ye ná nɔ̀ xɔ̀ è ɖò vo nɛ́ ɔ́ mɛ̀ nú azǎn woɛnɛ có bó ná byɔ́ mɛɖelɛ́ɛ mɛ̀.
Après la phase pilote du volet Assurance maladie du projet assurance pour le renforcement du capital humain (ARCH) dans sept communes, le gouvernement lance sa généralisation dans d’autres communes.	496- Ée è dó tutomɛ è nyí alɔ dó mɛ ɖò lanmɛ ná nɔ̀ ganjí lí xò ée è ylɔ́ ɖɔ̀ (ARCH) ɔ́ tɔ̀ kpɔ́n ɖò tokpɔnla tɛnwe mɛ̀ gudo ɔ́‚ acɛkpìkpà ɔ́ ná lɛ́ gbɛkan dé nù ɖò tokpɔnla ɖevo lɛ́ɛ mɛ̀.
A Cotonou, ce 19 janvier 2021, il a été procédé à la remise de cartes nationale d’identité (CNI) biométriques à de nouveaux bénéficiaires.La phase pilote avait démarré en juillet 2019 dans les communes d’Abomey-Calavi, Sô-Ava, Dassa-Zoumè, Glazoué, Djougou, Copargo et Ouaké.	497- Ɖò kútɔ́nú‚ ɖò azǎn 19ɔ́ aluunsùn xwè 2021ɔ́ tɔn gbè ɔ́‚ è má mɛdógesiwéma yaɖé yaɖé ɔ́  nú mɛ ée bló yɔyɔ din lɛ́ɛ é. É ko dó tɔ̀ kpɔ́n sín lyasùn xwè 2019ɔ́ mɛ̀ ɖò tokpɔnla Agbomɛ Kánɖòfí‚ Só-Ava‚ Dasa-Zunmɛ‚ Glazwe‚ Jugu ‚ Kopaago kpódó Uake tɔn kpán mɛ̀.
Il a impacté 105 000 personnes.	498- Gbɛtɔ́ 105 000 wɛ̀ bló mɛdógesiwéma nɛ́ ɔ́.
Au regard des acquis recensés durant cette phase, le gouvernement a décidé de l’étendre à d’autres bénéficiaires.	499- È kpɔ́n nǔ è mɛdógesiwéma nɛ́ zɔ́n bɔ̀ è ɖó ɖò akpáxwé nukɔntɔn mɛ̀ lɛ́ɛ ɔ́‚ acɛkpìkpà ɔ́ sɔ́ gbetakɛ́n ɖɔ̀ è ná vlɔ́n kàn yì mɛ ɖevo lɛ́ɛ jí.
Avec cet élargissement 180 000 nouveaux bénéficiaires seront désormais couverts par l’assurance maladie.	500- Ɖò kàn vlɔ́n nú nǔ lí xò énɛ́ ɔ́‚ gbɛtɔ́ 180 000 ɖevo lɛ́ɛ wɛ́ ná ɖù lè alɔ dó mɛ ɖò lanmɛ ná nɔ̀ ganjí ɔ́ lí xò.
A Cotonou, ce sont 21 800 qui recevront leur carte nationale d’identité biométrique pour bénéficier des soins gratuitement pendant trois ans.	501- Ɖò Kútɔ́nú ɔ́‚ gbɛtɔ́ 21800 wɛ́ ná yí mɛdógesiwéma yɔyɔ yetɔn bɔ̀ è ná tɔ́jú yě vɔ̌nu ɖò lanmɛ ná nɔ̀ ganjí sín ali nù nú xwè atɔn.
“La phase pilote du volet assurance maladie du projet Arch (…) nous a permis de tirer de riches enseignements pour réussir l’assurance maladie et pour la couverture sanitaire universelle au profit de nos populations” , a justifié Véronique Tognifodé Mewanou, ministre des Affaires sociales et de la microfinance.	"""502- """" Akpáxwé alɔ dó mɛ ɖò tutomɛ è nyí lanmɛ ná nɔ̀ ganjí (Arch) lí xò dó tɔ̀ kpɔ́n tɔn è è bló é ɔ́ dalɔ mǐ ɖó dò bà nú nǔ ɖò mɛ sí tají ɖé lɛ́ɛ ée ná zɔ́n bɔ̀ nǔ è kàn lanmɛ ná nɔ̀ ganjí tòví lɛ́ɛ tɔn ɔ́‚ mì ná kpéwú bó ná bló é""""‚ Véronique Tɔ́nyífɔɖé Mɛwǎnǔ‚ gǎn-hɔn-yì-tɔ́ ée nɔ́ kpénúkún dó alɔ dó tòví lɛ́ɛ kpódó akwɛ́ nya nú yě kpán ɔ́ wɛ́ gbà jɛ̌ nú nɛ́ mɛ̀."""
Conclue pour une durée de cinq ans, avec tacite reconduction, l’accord de coopération va bénéficier aux peuples béninois et congolais ainsi qu’à l’économie des deux pays, soutient-on de la partie béninoise.	941- Akɔ è ye jɛ nɛ́ ɔ́ ná xɔ xwè atɔ́ɔn‚ bɔ è ná lɛ́ vɔ́ yaɖé yaɖé tɔn jɛ hwɛhwɛ‚ nǔ wà dó kpɔ́ ée ɖò Benɛ tò ɔ́ kpódó Congo tò ɔ́ Kpán tɛntin nɛ́ ná zɔn bɔ ahwɛ zínkán tò we lɛ́ɛ tɔn ná lí dǒ‚ lě akpáxwé Benɛ tɔn ɔ́ ɖɔ gbɔn é nɛ́.
“Quand on sait l’importance du secteur de l’enseignement supérieur et de la recherche scientifique dans l’acquisition du savoir,  clé de voûte du développement de tout pays, l’on ne peut que se réjouir légitimement du pas qui vient d’être posé dans le bon sens pour un avenir prospère”, a expliqué Eléonore Yayi Ladékan, ministre béninoise de l’enseignement supérieur et de la recherche scientifique.	"""942- """" Ényí è tuun tɛn ɖaxó è mɛ wɛ kplɔ́n yì jǐ alà vɔ ɔ́ ɖè ɖò nǔtuuntuun‚ ée nyí cavi tò yí nukɔn tɔn ɔ́‚ xomɛ hùnhùn jɛn ná nyí mɛ tɔn ɖó sɔ yí ɖagbe ée ná hɔ́n dó tò mìtɔn jí é wú """" Élénonore Yayi Ladékan‚ gǎn-hɔn-yì-tɔ́ Benɛ tɔn ée nɔ kpénúkún dó dò bà nú nǔ Kpódó nǔ xwiti xwiti kpán wú é ɔ́‚ wɛ tín nǔ nɛ́ mɛ̀."""
Il faut dire que la signature de cet accord de coopération a été précédée par celle d’un protocole de partenariat paraphé par le directeur de l’Institut géographique national du Bénin et celui du Centre de recherches géographiques et de productions cartographiques du Congo.	943- È ní flín ɖɔ có tò we nɛ́ lɛ́ɛ ná tó jɛ akɔ ɔ́‚ gǎn ée kpacɛ dó azɔxwé Benɛ tò tɔn ée nɔ xwlé ɖiɖe tò ɔ́ tɔn ɔ́ kpódó azɔwatɛn Congo tɔn ée ée nɔ xwlé ɖiɖe tò nɛ́ ɔ́ tɔn ɔ́ kpán ko dalɔ wěmá ɖó akɔjijɛ lí nú hwɛ̌.
A ce sujet, le ministre béninois du cadre de vie a salué la mise en marche d’une coopération sud-sud souhaité.	944- Ɖò ali nɛ́ nù ɔ́‚ gǎn-hɔn-yì-tɔ́ ée nɔ kpénúkún dó ayǐ è jí gbɛtɔ́ lɛ́ɛ ɖè ɔ́ wú ɔ́‚ dó kú dó nǔ wà dó kpɔ́ è ɖò tò we ée ɖò tofɔligbé nɛ́ lɛ́ɛ tɛntin é tamɛ.
“Je voudrais que ce genre de coopérations se multiplient”, a laissé entendre José Didier Tonato.	"""945- """"Un bà ɖɔ nǔ wà dó kpɔ́ mɔ̌wun ní gbàkún"""" ‚ José Didier Tonato wɛ ɖɔ mɔ̌."""
Il y a bien eu une phase protocolaire ce jeudi soir au Novotel avec de brefs discours.	"""946- Akpáxwé akɔjijɛ ɔ́ tɔn sín nǔwíwá lɛ́ɛ tîin ɖò nyɔnúzángbè gbadanu élɔ́ ɖò """"Novotel""""."""
Dans l’ordre, le directeur des hôtels Novotel Orisha et Ibis de Cotonou, Stéphane Jamin, pour présenter le projet, le conseiller artistique du Nov’Art, Charly d’Almeida pour son témoignage et son mot à l’endroit de ses jeunes collègues créateurs puis le ministre de la Culture pour lancer officiellement le projet.	"""947- Ɖě jɛ ɖě gudo ɔ́‚ gbɛɖutɛn """"Novotel Orisha"""" kpódó """"Ibis"""" tɔn kpán sín gǎn ɔ́‚ Stéphane Jamin‚ xwlé tutomɛ ɔ́‚ weɖexamɛtɔ́ ɖò tamɛ gbà bó ɖè nǔ tɔ́n lí nù """"Nov'Art"""" tɔn ɔ́‚ Charly d'Almeida lɔ́ɔ wá ɖè kúnnú tɔn bó dà jɔwunjɔja etɔn ɖɔhun ée ɖò ali ɖokpó ɔ́ jí xɛ́ɛ lɛ́ɛ dó azɔ̌ nɛ́ wú ‚ bɔ gǎn-hɔn-yì-tɔ́ ée nɔ kpénúkún dó nuywɛ dódó tò ɔ́ tɔn wú ɔ́ wá hùn nǔ sín tutomɛ ɔ́ nù."""
Mais cette cérémonie reste bien anecdotique car les invités à la soirée de gala ont dû constater que l’évènement en lui-même se laissait déjà découvrir une fois dans les locaux de l’hôtel.	948- Amɔ̌ nǔ hún sín nǔ nù sín nǔwíwá nɛ́ ɔ́‚ è bló bɛ jɛxa lě è ɖó acɔ́ nú gbɛɖutɛn ɔ́ gbɔn é.
Les halls, les couloirs, le bar, le jardin, tout dans l’hôtel reflétait bien le concept du Nov’Art : faire du Novotel une galerie d’art au profit des jeunes créateurs béninois.	"""949- Xɔ gbásá ɔ́‚ ali è gbò xɔ lɛ́ɛ tɛntin é ‚ ahannutɛn ɔ́‚ jikpá ɔ́‚ fí è ko ɖo gbɛɖutɛn ɔ́ bǐ wɛ ɖè  """"Nov'Art"""" ɔ́ xlɛ : è ní bló bónú Novotel ɔ́ ní nyí tamɛ gbà bó ɖè nǔ tɔ́n gbásá nú jɔwunjɔja lɛ́ɛ."""
Pour cette première exposition du Nov’Art qui va durer trois mois, soit jusqu’à début février 2021, le parrain du projet et premier artiste à exposer, Charly d’Almeida propose peinture et sculpture aux amoureux d’art qui n’ont pas boudé leur plaisir à admirer les œuvres attractives dans tous les coins du complexe.	"""950- Fɔwatɛ́ sín nǔ nukɔntɔn è """"Nov'Art"""" bló ɔ́ ná xɔ sùn atɔn ‚ è ná fó ɖò zofínkplɔsùn xwè 2021ɔ́ tɔn ɔ́ sín bibɛ ‚ jɛɖutɔ́ tutomɛ ɔ́ tɔn kpódó Charly d'Almeida kpán ɖè nǔ tɛnmɛ tɛnmɛ xlɛ wǎnyínanɔ tamɛ gbà bó ɖè nǔ tɔ́n tɔn lɛ́ɛ ‚ bɔ jlo nɛ́ dɔn yě wá gbɛɖutɛn ɔ́."""
Les cinq partis recevront leur récépissé définitif “attestant qu’ils peuvent prendre part aux élections”, a déclaré le président de la CENA, Emmanuel Tiando face aux journalistes ce lundi soir.	"""951- """"Tòxó ɖɔ gbɛta atɔ́ɔn lɛ́ɛ ná yí wěmá è dó gesi ɖɔ ye xwè sɔmì sɔmì é""""‚ nukɔntɔ́ CENA tɔn ‚ Emmanuel Tiando wɛ tínmɛ xó nɛ́ mɛ̀ nú xó jlá zɔ wá tɔ́ ɖò tɛníígbè gbadanu."""
Quant aux partis FCDB, MOELE-Bénin et PER, leurs dossiers ont été rejetés par la CENA.	952- Tòxó ɖɔ gbɛta FCDB‚ MOELE-Bénin kpódó PER kpán ɔ́‚ CENA gbɛ́ wěmá yetɔn lɛ́ɛ.
Pour des motifs variés.	953- Ɖó nǔ tɛnmɛ tɛnmɛ wú.
Ils “portent essentiellement sur l’absence de pièces dans plusieurs dossiers de candidature et surtout l’absence de dossiers pour certains candidats”, a indiqué le président de la Commission électorale.	"""954- Ɖě wɛ nyí """"wěmá è byɔ́ lɛ́ɛ ná sɔgbe ɖò agbahwlɛntɔ́ gege sín wěmá alǒ agbahwlɛntɔ́ ɖě tlɛ ɖó wěmá lɔ́ɔ ǎ"""" ‚ gbɛta ée nɔ kpénúkún sɔmì sɔmì wú é sín gǎn wɛ tín nǔ nɛ́ mɛ̀."""
Les trois partis politiques concernés peuvent saisir la Cour suprême s’ils contestent les raisons du rejet de leurs dossiers.	955- Tòxó ɖɔ gbɛta webɔ webɔ nɔ tɔn è xó nɛ́ kàn lɛ́ɛ ɔ́‚ ényí wěmá yetɔn è è gbɛ̌ ɔ́ má jɛ yetɔn jí ǎ ɔ́‚ ye hɛn ɔ́ ye ná yí ylɔ́ hwɛ ɖò hwɛ gbásá dódó tò ɔ́ tɔn.
Le ministre d’Etat chargé du plan et du développement, Abdoulaye Bio Tchané a lancé ce 27 octobre 2020 à Cotonou, un e-colloque international sur la population et le développement.	956- Gǎn-hɔn-yì-tɔ́ ée nɔ kpénúkún dó tutomɛ Kpódó nukɔn yìyì tò ɔ́ tɔn kpán wú ɔ́‚ Abdoulaye Bio Tchané‚ hùn nǔ sín kplé gannyǐ gannyǐ è sɔ́ ɖòtè nú tòví lɛ́ɛ kpódó nukɔn yìyì tò ɔ́ tɔn kpán wú é nù ɖò azǎn 27ɔ́ kɔ́nyásùn xwè 2020ɔ́ tɔn gbè.
Cette rencontre tire son essence de la crise sanitaire et socio-économique liée au Covid 19.Durant trois jours , des acteurs du monde universitaire, des décideurs politiques et des partenaires financiers du Bénin vont mener des échanges de haut niveau pour élaborer une feuille de route sur les choix de politiques et de stratégies résilientes au choc sanitaire.	957- Linlin kplé nɛ́ tɔn tɔ́n sín ayi-má-jayǐ ée azɔnkwín Kovidi-19 ɔ́ dɔ́n wá ɖò lanmɛ ná nɔ ganjí lí nù Kpódó akwɛ zínzán kpán lí nù é mɛ̀. Azǎn atɔn wɛ nuywɛtɔ́ kplɔ́n yì jǐ alà vɔ lɛ́ɛ ‚ nukɔntɔ́ tòxó ɖɔ gbɛta tɔn lɛ́ɛ‚ kpódó alɔ dó mɛ tɔ́ ɖò akwɛ lí xò kpán tò ɔ́ tɔn lɛ́ɛ kpán sɔ́ ɖótè bó cyan xó ɖò yeɖee mɛ bá dó bà wlɛnwin è tò ná dó tɔnsin xélo xélo azɔnkwín kolonâ ɔ́ tɔn mɛ̀ é.
“Nous avons hautement apprécié l’ensemble des mesures que le gouvernement béninois a prises dans le cas de la lutte contre le coronavirus et nous nous sommes engagés à respecter toutes ces consignes”, a ajouté Jérôme Yôda.	"""590- """" Tutomɛ è acɛkpìkpà ɔ́ sɔ́ ɖòtè bó ná lifɛn gbò nú azɔnkwín kolonâ ɔ́‚ jɛ mìtɔn jí tawun bɔ̀ mì ká ɖò gbesisɔ mɛ̀ bó ná nyì sɛ́n lɛ́ɛ""""‚ Jérôme Yoda‚ wɛ́ lɛ́ ɖɔ̀ mɔ̌."""
Le ministère de la santé s’est réjoui de la promptitude de la réaction de l’institution dans son engagement aux côtés du gouvernement.	591- Gǎn-hɔn-yì-tɔ́ gbásá ée nɔ́ kpénúkún dó lanmɛ ná nɔ̀ ganjí wú ɔ́‚ hùn xòmɛ ɖó lě é yá wǔ bó jɛ azɔ̌ wà xá acɛkpìkpà ɔ́ wú ɔ́ é.
Pour le directeur de cabinet du ministre de la santé, le don de la Bsic vient à point nommé pour combler une partie des déficit que peut connaître le système sanitaire béninois.	592- Nú gǎn è xòkpóɖó nú gǎn-hɔn-yì-tɔ́ ée nɔ́ kpénúkún lanmɛ ná nɔ̀ ganjí wú é ɔ́‚ nǔníná Bsic tɔn ɔ́ wá bó ná sú dò è tutomɛ è ɖɔ̀ nǔ dó lanmɛ ná nɔ̀ ganjí wú ɖò Benɛ tò mɛ̀ ɖó é ɔ́ ɖě.
“Cet appui vient vraiment à point nommé pour combler les besoins qui s’imposent sur le terrain et pour pouvoir mieux faire face à cette pandémie qui impacte les systèmes sanitaires d’Afrique et de part le monde”, a déclaré Enangnon Pétas Akogbéto.	"""593- """"Alɔ dó mɛ nɛ́ ɔ́‚ nǔgbó ɔ́‚ wá bó ná sú dò è ɖayǐ è ɖě bó ká ná lɛ́ dalɔ mɛ bɔ̀ è fun ahwan xá azɔnkwín énɛ́ ée ɖò jɔngwǐn jɔngwǐn dó nú tutomɛ è ɖɔ̀nǔ dó lanmɛ ná nɔ̀ ganjí wú ɖò Aflika kpódó gbɛ ɔ́ bǐ mɛ kpán é"""" ‚ nǔ è Énanyɔ́ Pétas Akogbéto ɖɔ̀ é nɛ́."""
Il a également assuré que les équipements offerts par la Bsic seront utiles dans la prévention contre la propagation du virus.	594- É lɛ́ ná jiɖiɖe ɖɔ̀ alyannu è Bsic ná lɛ́ɛ ɔ́ ná dalɔ mɛ bɔ̀ è ná fun ahwan xá kolonâ ɔ́ ganjí.
La condition définie par la Has pour la validation de l’autotest est la suivante: ‘’Une sensibilité clinique, c’est-à-dire la capacité à détecter le virus chez une personne malade, supérieure ou égale à 80 % ; et une spécificité clinique, c’est-à-dire la probabilité qu’une personne au test positif soit effectivement porteuse du virus, supérieure ou égale à 99 %’’ .	"""2379- Cóbónú Has ná yígbè nú Autotest zínzán bó dó gbéjé azɔnkwín ɔ́ kpɔn ná ɔ́ : """"é ɖó ná ɖó abì‚ é hwe bǐ ɔ́ 80% ɖò zínzán bó dó gbéjé azɔnkwín ɔ́ lí xò ; ényí é ɖɔ azɔnkwín ɔ́ ɖò mɛɖé wú ɔ́‚ é ɖó ná nyí mɔ̌ kɛ́n 99%""""."""
Le médiateur de la République, Pascal Essou, ambitionne de rendre davantage visible par des actions concrètes, l’institution dont il a désormais la charge.	2380- Pascal Essou‚ ɖɛmɛnu tò ɔ́ tɔn ɔ́‚ ɖɔ mɛjí ‚ émí ná tɛnkpɔn káká bɔ è ná tuun azɔxwé ée nù wɛ émí kpacɛ dó ɔ́ gbɔn nǔwíwá émí tɔn lɛ́ɛ gblamɛ.
