fr	bbj
Une séance de chicha équivaut à 100 bâtons de cigarettes consommés en teneur en goudron.	nə̂nwə shisha ta' cʉ̌m ba hə́ dəŋ  gǔdron dəpaʼ ŋkhə
Des études de l’OMS montrent que la chicha contient 27 substances cancérigènes.	mfa' OMS dâ'tə gaə́ chicha hə́ 27  bínyə́ Kansɛ
La chicha est un dérivé des produits du tabac.	shǐsha bə́ ta'  bínyə́ dəpa'
Il est temps de l’intégrer dans le processus de contrôle du tabagisme.	tâm ku' nə̂ níŋ ya ntʉ́m nwə dəpa' dêlě
En dehors du sucre aromes acides de fruit la chicha contient 25% du tabac.	tə́ ně  shúka pú a zhwyə̂ damnyə lamnyə bə́ shɔ́k bə shishá ghə dəpaʼ 25%
Il a encore été question au cours de cette rencontre avec les médias de taxation.	pú kó nə́ cú'tə pú a ntwɔ̂'mcuŋ yə́ŋ  píŋ sɛ̂ nwə tâksi
En quoi cela pourra aider dans le contrôle de cet autre produit de consommation ?.	pə́ a kwítə m kə́ nə́ nə́ lê bʉɔ̌tsʉ̂ yəŋ ywə́?
Alors que dans notre pays on est encore à seulement 30%.	zhyə́ gaə́ pû bə́ da' nə́ 30 % ntʉ́m guŋ yɔ́kpə
Nous voulons que le Cameroun relève le taux des droits d’accise sur les produits du tabac.	pyə̌ wə́ cə́ŋ gaə̂ Kamelûm kwi' dəŋ ŋkâp nə́ potsə̂ dəpa'
Où en êtes- vous avec le plaidoyer pour l’adoption d’une loi nationale antitabac ?.	pǒ bə́ hǎ pwa hyámghɔ̀m nə̂ cwɔ' ta' mco'guŋ nə́ dəpa' ?
Nous pensons qu’il s’agit d’une question d’agenda politique.	pyə̌ kwɛ̌ gaə́ â bə́ nwə sɛ̂dzʉ̌ pɔlətik
Mais la société civile ne va pas plus vite que la musique.	da'gaə́ pɔmneŋ tə́ do'nyə́ gɔ shyə zhwopshyə pə́
Pourtant la consommation du tabac prend de l’ampleur dans notre société.	Tə́ nə́ fəŋ dəpaʼ pə́ dí láʼ gɔ́ á dzə ntʉ́m guŋ yɔ́kpə
Nous déplorons chaque jour les effets néfastes de ces produits.	Pyə̂ bə́ guŋ mtyə́ʼ awɛ́ dɔ́ â dəŋ cwəpuŋ yə â gə nə́ pɛnwə́ yá lə
On ne voit que la drogue dure qui a des effets psychosomatiques et sur le système nerveux.	pú jɔ́ da' dəpa' ŋkɔ̂ yə̌ á ŋghə tsə́ cwəpuŋ nə́ zhyə̂nwə mo áá
Mais le tabac est un tueur silencieux.	da'gaə́ ndə́pa' jwə́ mo mûywə́ mûywə́
C’est parfois à moyen ou long terme que les effets sont visibles.	Ǎ bə́ shə́mcwə mzhinyə yá nə́ fɛ̌tə́ ntə́m kə shwə́ teʼ lə̂
C’est pourquoi il ne faut pas laisser que les métastases s’installent.	ǎ bə́ nwə̂kə́lə́ á tə cə́ŋ gaə́ pú ták gaə́ cəŋnyə́ mfíŋ tə́m pə́
L’une des dispositions demandent que le pays internalise le contenu à travers des lois réglementations et mesures administratives.	taʼ nwə nyâptə ghə́ŋtə́ gaə̂ guŋ ghə̌ nwə bɔ́ɔ́ ji nwə dyə̂ cyə́ jʉm mcoʼ guŋ
Il faut une loi qui prenne en compte les dispositions relative à l’information la composition des produits du tabac etc.	ǎ cə́ŋ taʼ coʼ guŋ yə̌ á də̂ nwə nə́ mbinyə́ pǒtsə́ dəpaʼ áá
ǎ cə́ŋ taʼ mcoʼ guŋ yə̌ á də̂ nwə nə́ mbinyə́ pǒtsə́ dəpaʼ áá	ǎ kâ púŋ gaə́ guŋ yɔ́kpə yə kə̂ bə́ cəcə pə̌dəŋdzə pɔ nə́ pîŋ mnwə á píŋ bə́ m nə́ pəjʉɔjʉ̀m nə́ tê mcoʼ gùŋ
play videoSes bourreaux sont mis hors état de nuire.	Pú ghəm pətɔ́mnwə bɔ̂ tə tsʉʼ hwítə̀
Il s’agit de Narcisse 28 ans Yvan 20 ans et Elvis alias Owen le chef de gang âgé de 21 ans.	Ǎ bə́ Narcisse bə́ ê ghə ŋka' 28 pǔ Elvis alias Owen tǎdyə̂ mcǔŋ bə́ ê ghə̌  ŋka' 21
C’est ainsi que cette dernière quitte chez elle pour se rendre à Douala.	ǎ bə́ pó'ó tə̂ yəŋ mo  lu wê gɔ m dwǎlá
Sur place elle fut kidnappée par ses ravisseurs.	pəghɛ̌mbo pyə́ kə̂ ghəm ê pə́ tsʉʼʉ́ gɔ́ dwɔʼ
Détenue pendant plusieurs semaines dans des conditions insalubres la victime s’est vu injecter plusieurs substances.	E cwə̂ cɛ̌ mgapdzʉ́ tə jɔ́m ntʉ́m dzíʼ pú pîŋ swɔ́psyap nə́ é nə́ níŋ ntîntǐ ntʉ́m nə̂ é
Son état de santé est inquiétant selon les sources policières.	nə̂ pə́ bəŋnə́ ê wə sɔ́ lâm pá' mkətú' ghɔm áá
Retour sur les faitsLes images font froid dans le dos.	nə̂ phənyə̀ nə́ potsə̂ mciŋnyə wə́ ŋghə̌ fɔ̂k ŋkhǔ  ŋka'tə mo
Une jeune fille avec les mains attachées et la bouche bandée est plaquée au sol dans une toilette par un homme encagoulé.	Taʼ tâmbɛ̌ sam sə̂ é ŋkwə́ mbú taʼ mûmjwǐ pú a shwə é máʼ é sídyə̂ kwa
Vaccination contre le Covid- le PM instruit la disponibilité des deuxièmes doses.	nwə syàp Kolóna, tâdyə́ gɔ̂pna' ghɔm gaə́ ǎ cə́ŋ gaə̂ syap bǎtə yəpʉə́ə́ kə yàk
Examens les épreuves du CEP et FSLC se feront par écrit.	msa'nyə̀, pú gɔtí və mlə̂ŋtə CEP pu FSLC və
La Covid- 19 a amplifié la défiance envers les vaccins.	Kolóna kwiʼ dəŋ yə pɔmnə̂ŋ bwɔ́k msyap áá
Covid- les Camerounais ne font plus confiance aux vaccins.	Kolóna, po á kaməlûm ka píŋ júʼ thə̂ yap nə́ msyàp
le vaccin anti- Covid arrive dans les Universités.	syap kolóna ŋwak ntʉ́m ʉ́nivɛsitê
Lutte contre le Covid- l’Arabie Saoudite aux côtés du Cameroun.	shú kolóna, Arabie Saoudite wə́ ŋkwítə́ Kamelûm
l’Union africaine s’oppose à l'instauration du passeport vaccinal.	Union Africaine ŋkɔ̂ gaə́ pû tʉ́ pasəpɔ́ syap swɔp swɔp
Covid- un virus qui ne se propage pas dans les Snack- bar au Cameroun.	Kolóna, ta' cwəcwəgho e lə pə́ gíŋtə́ dyə̂mluʼ Kamelûm
Beatrice Elom décède après avoir été vaccinée contre le Covid- 19.	Beatrice Elom pfʉ́ jʉm páʼ pú swɔpsyap nə́ é lə
La vice- présidente de l’assemblée décède après le vaccin AntiCovid.	Kwípû dyə̂pəpəŋthə́ lâlǎʼ pfʉ́ jʉm páʼ pú swɔpsyap Kolóna nə́ é lə
Dion Ngute et les membres du Gouvernement se sont fait vacciner.	Dion Ngute pú a mkǎmgǔŋ ghə pú swɔ̂psyap nə́ pú
le Cameroun face aux campagnes contre la vaccination.	Kamelûm dzə̌ mfa' gəŋnyə́ nə̂ ŋkhʉ̌ syap Kolóna
6072 faux tests saisis.	pú ghəm mtiŋtəgho myə cwəpuŋ 6072
accusé de mise en scène Manaouda Malachie s’énerve.	lúŋ Manaouda Malachie wə́ sə̂ páʼ pú kəm ê lə́lák
Covid- au Cameroun les herboristes déclarent la guerre au vaccin.	Covid, pə́bàmo pwǎ mghě Kamelûn ghɔm gaəə́ wáp gɔ lô'shu syap
le préfet 'échappe' au vaccin du covid- 19.	gɔ̂pna' vɔ̀k syap Kolóna
Le Président du Conseil régional de l’Ouest refuse de prendre le vaccin et s’explique.	tǎdyə mkəm bînam ŋkêŋnyə nə̂ lə́ syàp hə́ŋ wə̂ gɔm nwə̂kə́lə́
le personnel soignant refusent de se faire vacciner contre le Covid- 19.	mghɛ̌fa' dɔ́kta ŋkəŋnyə gaə́ pú swɔp wáp syp kolóna
le Professeur Jean- Michel TEKAM n'est plus.	gɛla'tə Jean-Michel TEKAM pfʉ́
l'immunité au Coronavirus est problématique.	Lənə́si kolóna bə́ á kəlɔ́k
une ambulance sous fond de pression de l’audit des fonds Covid.	ta' mətwamghɛ̌gho dǔ bî tə́ŋtə́nwə nə́ ŋkâp Kolóna
Tests Covid- le gouvernement veut associer les laboratoires privés.	mcə́ŋmghò kolóna, gɔ̂pnà' wə́ cə́ŋ nə̂ pə́mtə́ mdyə̌mcə́ŋgho mo
La dichotomie des chiffres du Covid- 19 est synonyme d'un profond malaise.	mnúba Kolóna tə̂ kwishwə dâ'tə́ gaə́ ywə́ wə̂ kəlɔ́k
Covid- le magnifique présent de la Chine tient en haleine le pays.	Kolóna, twànyə́ twa yə̌ Chine gɔ sû bǐ guŋ ǎ wə́ ŋghə̌ pú mǐtə mtí
Les ressources de la Fenassco affectées à la désinfection des établissements scolaires.	ŋkǎpə Fenassco kê dám ntʉ́m zhwə́ mcwəcwəgho ntsʉ' səkú
près de 1700 personnels de santé infectés pour une quarantaine de morts.	Ghǒ ghəm pɔ 1700 tə pɔ gwɛ́ a pɔ mghâppfʉə nə́ pú pfʉ́tə
Dion Nguté inquiet face à la pénurie de kits de dépistage Covid- 19.	Dion Nguté wə́ sɔ́ lâm pá' potsə̂ mcə́ŋmgho kolóna wə̂ ják áá
Covid- les tests naso- pharyngés 'ne sont pas sans risque'.	Kolóna mcə́ŋgho ntʉ́m mtsə́ kə́lɔ́k
Covid- Paul Biya se fera- t- il vacciner ?.	Paul Biya gɔtí píŋ gaə́ pú swɔp syàp nə́ é á?
le gouverneur de l'Ouest interditl'organisation des funérailles.	gɔ̂pna' yə ê sâ' bînàm ǎ co' nə́ lɔ mvʉ́
Graves révélations d'un Directeur d'Hôtel sur les escapades sexuelles de Martin Camus.	msya mghɔm ta' tǎdyə̂ dyə̂cyə́cyə́ nə́ mnwə núŋ mo Martin Camus
Le Cameroun une plaque tournante de la culture et de la consommation.	Kamelûn,  ta' tʉɔdəŋ cá' ntʉ́m nə̂ tsʉ' bíŋ nwə
Difficile cependant d’évaluer cette 'explosion' faute de données fiables sur le phénomène.	ǎ tʉɔ̂ nə́ yɔ́ dəŋ vyə́ nwə yə̌ŋ dǔ bî nə̂ yàk mcuŋ pəpúŋ nə́ ywə́ bɔɔ
Difficile cependant d’évaluer cette « explosion » faute de données fiables sur le phénomène.	ǎ tʉɔ̂ nə́ yɔ́ dəŋ vyə́ nwə yə̌ŋ dǔ bî nə̂ yàk mcuŋ pəpúŋ nə́ ywə́ bɔ́ɔ́
Le cannabis reste cependant la drogue (5854%) la plus consommée devant le Tramadol (4462%) couramment appelé Tramol dans le pays.	da'gaə́ dəpa' ŋkɔ̌ bə́ dəpa' (5854%) yə pú nwə̌ té' ǎ dzə̂ Tramadol ( 4462%) yə pú do'nyə́ ké gaə́ Tramɔl ǎ ntʉ́m guŋ
Il s’agit d’un antalgique qui agit à la fois comme un opioïde et un antidépresseur.	ǎ bə́ ta' pwǎdəŋnə̂yɛ́ ǎ pə́ fa' pà' ta' dəpa' pǔ ta' pwâtʉ̌m
Son usage est détourné par des consommateurs de drogues qui l’utilisent comme stupéfiant.	 pənwə́ dəpa' pyê wáp də̀ yá pâ' də̀pà' kê fɛ́nyə nə̂ lə̀fa' tsyə́
Des chiffres qui pourraient s’aggraver si des mesures ne sont pas prises contre ce phénomène mettent en garde les spécialistes.	mnúba pyə́ ǎ fíŋ nə̂ piŋ pɔ́k bəyə̌ pú kâ lé mjyə nə̂ ló' shú ywə́ bɔɔ pá' pəzhyə́ywə̂ dəŋdzə ghɔm áá
Pour lui tordre le cou des centres de prévention et de soins en addictologie ont été mis en place depuis 2015.	pú kə̂ tʉ́ mtsʉʼ nə́ ntɔ́k pɔmnəŋ bíŋ bá nwə ŋkuŋnyə cəŋnyəcəŋnyə tə̂ fə́ 2015 nə́ nə̂ yóʼ jyə bíí
Des campagnes de sensibilisation sont aussi organisées sur les dangers de la drogue.	pú kə̂ ghə mfaʼ gəŋnyə nə́ ntɔ́k pɔmnəŋ nə́ dɔ̂tí mtsə́  dəpaʼ
Actualités of Wednesday 14 July 2021.	mcuŋ tyə̂' 14 fə̀fə̀ 2021
Le CEO d’Orange Cameroun assigné en justice.	pú kê lə̂ CEO Orange Kamelûn gɔ kɔ̂t
Il lui serait reproché le détournement de la somme de 9554 francs CFA.	Pú wə̂ kə̀m ê ŋkâp jʉ̀jʉ̀ dəŋ 9554 FCFA
Le Directeur également cité dans cette affaire aurait couvert ces pratiques pendant plusieurs années selon Eco Matin.	tǎdyə̂ bə́ pú ké bâ tsó tsyə́ ntʉ́m nwə bɔ̂ bê tʉ́mnyə̀ mfa' bɔ̂ nə́ bo'gwyə́ mgu' pa' EcoMatin ghɔm áá
Serait- ce parce qu'il aurait offert un pot d'aurevoir à ses proche collaborateurs lundi dernier ? » révèle le journal.	pə̂tyə́' ǎ dú pa' é kə̂ hǎ mlu' la'nyə bî mghɛ̌fa'  pyə́ jʉɔjʉm mɔ̂de á?  pá' pípà mcuŋ ghɔm áá
Le jeune consultant Media camerounais Sébastien Ebala tire à boulet rouge sur la société de téléphonie mobile Orange Cameroun.	mûsəm gɛntɔkə́ ntwɔ̌ʼmcuŋ Sébastien Ebala wə̂ ké ŋwaʼnyə tsuʼfaʼ ŋkhə̂tʉɔ́ Orange Kaməlún.
Les premiers responsables d’Orange Cameroun en quête « d’énergie » ne recruteraient que des filles vierges.	"Dəŋdzə mtǎdyə̂ Orange Kamelûn bə́ wə́ cə́ŋ "" ŋghʉ́'' kə̂ də́ pədà'  pəjwǐ pyə̂ tò máp kâ tú ǎ fa'"
« Les recrutement internes à Orange se passent comment ?.	nə̂ lə́ mo fa' Orange cyə́tə mgaə́kə́ ?
Depuis un certain temps de manière tacite ils ont changé les méthodes de recrutement.	tə̂ fə́ shə̂ cwə̀, dʉ̀mnyə̀dʉ̀mnyə, wǎp kwípnyə́ jyə́ nə̂lə̂mofa'
Ils ne veulent plus de filles qui ont des enfants.	wáp tə́ kwi' wə́ cə́ŋ pəjwǐ pyə̂ wáp ghə po ǎ pə́
Ils veulent aujourd’hui des filles vierges qui n'ont pas encore connu une relation avec un homme.	wáp ǎ tyə́'ɔ bə́ wə́ cə̂ŋ mbǔ' pəjwǐ pyə̂ mbɛ̂ kǎ wúŋ lɔ́m wáp áá
Tout d’un coup la dame bloque les portières et fait sortir de son sac un couteau.	pə̌ cwə ó, mjwǐ yó' kə̀ŋ mətwà bíŋ té múnyə́ pʉə ê
Elle le pointa sous son bras gauche en le menaçant de mort.	ě kê jáp yâ nə́ pǔ ê yə kwyàp bə́ wə́ pàp ê bvʉ́
Quant au monsieur il sortit de sa bandoulière un tournevis.	tâmbɛ̂ nə́ yaə́ tsʉ' té ta' tunəvis ntʉ́m pʉə ê
Les deux individus l’ont dépouillé de ses effets avant de le jeter au lieu- dit Pharmacie Tongolo.	pɔ pə̌ pəpʉə́ə́ kə̂ zhʉ̀ pǒtsə́ tsyə́ tə́ wa' ê tsʉ' yə̌ pú ké gaə̂ Pharmacie Tongolo áá
Sans aucune crainte le chauffeur a continué son débat a confié Alex.	pə́ tə̂ cwɔ', fəŋmətwa kə̂ ghɔ dzə pǔ sɛ́ghɔm tsyə́ pá' Alex ghɔm áá
Le lendemain matin Alex Ngono a déposé une plainte contre l’inconnu au commissariat du 6e à Etoudi.	dí fɔ̂kdzʉ̌, Alex Ngono pútə́ motəpúzhyə́ ê dyə̌kətú' 6 Etoudi
La Nouvelle Expression n°5477.	Nuvɛ́l ɛspresyon nubà 5477
Un drame incompréhensif pour ses proches qui soutiennent la thèse d’un crime et non d’un suicide.	syâ mo lə wə́ jú' pá' pɔ pyə̌ yə wáp wə́ gɔm gaə́ pú zhwə́ ê zhwə̂, ê katə cə́ŋnyə́
Après la découverte du corps sans vie de Mvondo Remy Joseph les membres de sa famille sont inconsolables ils n’en reviennent pas.	pú cwə́ tə jɔ́ pfə́ Mvondo Remy Joseph, pó mmʉə̂ pyə́ wə́ dɔ̀lɔ̀, wáp tə wə́ bîŋ pə́
même le sol donnant l’impression d’une pendaison^ Une de ses sœurs témoigne.	ba cǎ' wə́ ŋghə̌ mo kwɛ gaə́ ǎ bə́ cə́ŋnyə, ta' mma ê  ghɔm
«Le matin quand je me suis levée je l’ai trouvée couché déjà mort j’ai eu peur.	fɔ̂kdzʉ̌ cwə yə̌ gaə́ lúsì ǎ, gaə̌ yɔ́ ê  bə́ ě nùŋ si dá' pfʉ́, n cwɔ̀'
La façon qu’il était couché une personne vivante et normale ne peut pas se coucher ainsi.	̀bɔ̌ pá' ě kə̂ bé nùŋ  ǎ  pə́ ta' mo yə̌ ê wə́ jwényə́ bíŋ bə́ pəpúŋ  kâ fíŋ nə́ nùŋ pó'ó
Je suis allée réveiller mes parents et ils ont alerté la gendarmerie».	gaə̌ ghɔ jâm mtá pə̌ wáp hə́ŋ ké kətúʼ pɛ̌ cóʼ
Nous nous sommes séparés la veille à plus de 22 heures.	pyə̌ â pú kə̂ yó nə̂ hapnyə bə́ nam 22 cyə
Avant cela Il a eu un problème avec sa petite amie et sur le champ pour moi j’ai vu qu’ils se sont arrangés.	ě lə̂ bə́ ê dəŋdzə ghə shɛ pu so ê yə̌ mjwǐ, pə́ cwə ó n jɔ́ gaə́ wáp nyâptə shɛ yáp
Sur ce je suis allé me coucher le sommeil me menaçait» renchérit Sa Majesté Asse Zeh A.	dû pó'o  ŋ gɔ nuŋ kó lwɔkə́ kə̂ wə́ mɛ́nyə́ â, pá' fǒ Asse Zeh kwi' gɔ̀m áá
Nous avons bien festoyé il portait le même teeshirt qu’i y a sur lui.	pyə̌ â pú kə̂ cəŋtə ghə̌ dína, é kə̂ bé kwà kwǐ tə́ŋka' dzə́ yə̌ á bə́ nê áá
Une personne qui n’est pas en bonne santé ne pouvait pas faire l’ambiance comme il l’a fait hier.	ta' mo yə̌ é wə́ jú' cwəpúŋ ǎ katə fíŋ nə̂ zhwǎnyə pá' é kə̂ wə́ ŋghə yó áá
Un témoignage qui vient jeter un pavé dans la marre et renforce la thèse du crime pour bon nombre d’observateurs avertis.	ta'  tǎtə́ghɔm yǎ bə́ wə́ sɔ'ɔ mâ' gwɔ̀' ntʉ́m shyə hə́ŋ tʉ́ tə́m nə́ mkwɛnyə̀ gaə̂ pú zhwə́ ê zhwə̀ thə́ bo'gwyə́ pɔ pyə̌ wáp cəŋtə̀ jɔ́ tsʉ' aa
Sur ordre du procureur de la république le corps du défunt a été examiné par un médecin légiste.	dɔ́kta mpfə́ pɔ cəŋtə díŋtə pfə́ mo pfʉ́pfʉ̂ pá' mə́kùʼguŋ tsaə́tə áá
En attendant ses conclusions certains membres de la famille au regard de certains traces sur le corps parlent d’un crime masqué.	pú nə̂ pyáp mghɔm míŋmiŋ, shə́ pômwə̀ wə̂ jɔ́ mcwɛ̀ nə́ pfə́mo lə̂ ghɔ̀m gaə́ ǎ bə́ ta' nə̂ zhwə́mo dʉ̀mnyə̀
Actualités Criminelles of Thursday3 June 2021.	mcǔŋ zhwə́pɔ ntǎmgǒ 3 dzʉ̂'bvʉ̀ 2021
Son véhicule 4X4 a été incendié par les sécessionnistes.	pəghâpguŋ kə̂ to mətwâ 4×4 ê
Pour l'heure aucun groupe sécessionniste n'a revendiqué cet assassinat.	ŋkwa' cwəlɔ̌, sɔm kəm pəghâpguŋ kâ kʉɔ́ nwə zhwə́mo
Dans une note en date du 26 mai 2021 ils invitent l’armée camerounaise à quitter l’Ambazonie et à déposer les armes.	ntʉ́m ta' ŋwa'nyə 26 sûnè 2021, wáp kə̂ ghɔ̀m kəm Kamerun gaê lù Ambazonie bíŋ jáptə̀ mgǎ sì
Dans la même note ils ont également adressé un message aux populations de la région de l’Ouest.	ntʉ́m kwi ŋwa'nyə bɔ́ɔ́, wáp kə̂ tʉ̀m ŋkʉɔ̀ bǐ pɔ bînam
« Biya vous a trompé et vous l'avez rejoint pour combattre et tuer notre peuple.	Biya kê fʉtə wɔ́ pǒ hə́ŋ pə́mtə́ pwâ wí nə́ ló' shú bíŋ zhwə́ pɔ pɔ́k
Nous les Ambazoniens avons protégé vos pères de l'UPC qui étaient persécutés par la France.	wɔ́k, pəambazonyəŋ  pyə lə̂ pfɔ́tə̀ mtá pɔ̂ UPC yə̌ Frâŋsi kə̂ wə́ máknyə́ wáp aa
Regardez ce que Biya a fait au professeur Maurice Kamto.	pô yɔ́ ywə́ yə́ Biya ŋghə̀ nə́ gɛla'tə Maurice Kamto
Vous devez tous unir vos forces avec les habitants du Nord.	pǒ gɔ pə́mtə́ gʉ̌' yɔ̂ wɛ́ pwâ pɔ jyəŋká'
Arrêtez de vous battre pour Biya.	pô yá' nə́ pú' mnə̀ mɔ́ nə́ yaə́ thə́ Biya
Vous ne devez pas rejoindre Biya.	pô tə gɔ pə́mtə́ pwâ Biya pə́
Vous devez vous opposer à Biya parce que la France et Biya ne se soucient que des gens du Centre- Sud.	pô gɔ tʉɔ̂ thə́ bî Biya nə̂kə́lə́ Frâŋsi pu Biya dé á pɔ Sîsǐ
Les Ambazoniens ne sont pas vos ennemis » indique la lettre diffusée par le journaliste en exil Michel Biem Tong.	pəambazonyəŋ tə bə́ mghɛ̌bò mɔ́ pə́ pá' pú və̀ ntʉ́m ta' ŋwa'nyə yə̌ wabo məkwɛt Michel Biem Tong cyǎnyə aa
Elle demande cependant aux groupes armés de faire cesser le kidnapping des populations civiles dans la région.	 tə́ ě wə́ dó bǐ mkəm gaə̂ wáp ghə nə́ ghəm mo dwɔ́'ɔ́ mìŋ ntʉ́m pápguŋ
« La République du Cameroun a subi de sérieux coups de la part de courageux Ambazoniens.	guŋ lǎ'lǎ' Kaməlûn yɔ́ nə̂ é bî pəsɔktʉ̌m Ambazonyəŋ
Actualités Criminelles of Wednesday2 June 2021.	mcǔŋ zhwə́pɔ dzə̂mtɔ̌ 2 dzʉ̂'bvʉ̀ 2021
Il a finalement été appréhendé par les forces de maintien de l'ordre.	mkəmla' nə̂ miŋ gə̌m ê
La scène rapportée par nos confrères du site « lequatrièmepouvoir » s’est déroulée le 18 avril 2021.	"ywə́ cyə́tə yə pômwə pɔ́k məlámghəghʉɔ́ ""lequatrièmepouvoir"" cyə́ tyə̌'dzʉ́ 18 dzə̂biyɛ́"
Les parents de l'enfant se rendront dans un hôpital pour un suivi médical.	mtá mú gɔtí ghɔ ntʉ́m ta' dɔ́kta á pú lé wáp
C'est alors qu'ils auront la confirmation qu'elle a été violée.	ǎ bə́ pó'ó tə̂ pú gɔ píŋ gaə́ pú kwá' ê tə́ ŋkùŋŋkǔŋ
dɔ́kta mpfə́ pɔ cəŋtə díŋtə pfə́ mo pfʉ́pfʉ̂ pá' mə́kùʼgùŋ  tsaə́tə áá	ta' nwə̀ pútə́ kə̂ bə́ pú və wə̂ bhəkám lǎ'lǎ' Mbanga
Sauf que dès lors Tchuente Médard avait pris la clef des champs il était devenu introuvable.	da'gaə́ Tchuente Médard cwə́ tə ŋkhʉ̌, pú lə̂ píŋ jɔ́ ê
Les forces de l'ordre étaient à ses trousses puisqu'un mandat d'amener pesait sur lui.	mkətû' kə̂ wə́ cə́ŋ é nə̂kə́lə́ ta' nwa'nyə nə́ də̀ é sɔ'ɔ kə̂ bə́ sì
Tchuente Médard en a l'habitude et chaque fois qu'il est interpellé par la justice il est relâché quelques temps après.	Tchuente Médard ji ŋghə̂ yá bíŋ bə́ bâyǎcwə yə̌ kɔ̂t ké è ǎ,  mûpfʉ̌ tam cyə pú tâk ê nə́ŋ
Ils accusées de vol aggravé et de semer la terreur à Manjo et Bangem.	pú kə̂m wáp cwɛp cǔŋ bíŋ gaə́ wáp kə̀lɔ́k tsʉ' Manjo pu Bangem
Au moment de leur arrestation l'un d'entre eux a été blessé par balle.	cwə yə̌ pú cú wáp ǎ pú tʉ̂m ta' mo nə́ pû pwǎ ŋkɔ̀ gǎ
Il est pris en charge à l'hôpital du district de Manjo.	pú wə́ bá ê dokta distrîk Manjo
Le gendarme aurait menacé la fillette avec son arme.	kətú' pɛ co' kə̂ páptə mûgo pu gǎ ê
Cette dernière a fini par céder à la menace.	mo yə̀ŋ cwə́ bíŋ dzə páptə̀
Le gendarme présumé violeur est actuellement en cellule à Mbouda.	kətú' pɛ co' yə̌ é kwá' mo tə́ ŋkùŋkǔŋ wə́ bə́ cɛ́ Mbouda cwəlɔ̌
Une fois dans la brigade le gendarme se serait jeté sur la fille après avoir essayé dans un premier temps de l'amadouer.	 ŋwa' dyə̂ kətú'pɛ co', kətú' kə̂ dəŋdzə cwə́tə̂ ŋú'shwə̀ ê kə̂kɔ́ bvû nə́ mjwǐ
La fillette s’est dont rendue au poste pour recevoir l’argent de sa maman.	mûgo lə̂ gɔ postə nə̂ kwì ŋkâp máp é
Cette histoire ressemble trait pour trait à celle du policier Remy Eba'a qui lui aurait violé une fille de 16 l'année dernière.	nwə tǎtə̀tâtə̀ yə́ŋ hwə́ dəŋdəŋ yaə́ kətú' Remy Ebaa yə̌ lə́la'  kwá' mjwǐ gù' 16 tə ŋkùŋŋkǔŋ gù' po'
Remy lui a aussi été jeté en prison il y a quelques jours.	pú kê níŋ ba Remy cɛ̂
Le soir du 31 décembre Raissa la fille qu'a violé le policier Remy Eba'a sortait d’une veillée de prière avec Narcisse son copain.	bwǎdzʉ̌ 31 fʉ̂'bvʉ̀ Raïssa mjwǐ yə̌ kətú' Remy Ebaa kwá' ê tə ŋkùŋŋkǔŋ ǎ kə̂ wə́ fə́ m mtsʉ́' preyà pu Narcisse so e
Un jeune homme de 20 ans qui est également son camarade au lycée technique de Ntui.	ta' mûsəm ŋka' 20 yə̌ ě bə́ ba so é səkû Lycée technique Ntui aa
La nuit de prière terminée les deux amis décident de passer du temps sur les bancs publics de la place des fêtes de Ntui.	mtsʉ̌' preya mìŋ, msô pəpʉə́ə́  yɔ́ gaə̂ wáp gɔ lə̂ fɔ́k dəm mkwɔ̀' lǎ'lǎ' tsʉ' dínà Ntui
C’est la Saint Sylvestre l’occasion s’y prêteC’est à cet endroit qu’ils sont interpellés par trois policiers dont Ebaa Ngomo Remy.	ǎ bə́ tyə̌' dɔ̌lɔ̂ Sylvestre tám pùŋ, ǎ bə́ nə́  tsʉ' bɔ̂ tə̂ mkətú' pətá kə̂ ké wáp Ebaa Ngomo Remy pə́ cəcə̌ pú
Ceux- ci vont leur demander de présenter leurs pièces d’identité.	pɔ pɔ̂ŋ gɔ ghɔm bǐ pú gaə́ wáp la'tə́ dàŋzhítɛ̂ yáp
Raïssa n’a aucune pièce qui puisse l’identifier.	Raïssa kâ ghə̀ sɔm ŋwa'nyə yə̌ pú fíŋ nə̂ cəŋtə zhyə́ ê aa
Face aux menaces des policiers les deux élèves vont aller jusqu’à quémander à genoux leur liberté.	pôsəkú pəpʉə́ə́ gɔ kam bǎ mkwí'tə́ máp sì gaə̂ pú  ták wáp nə́ŋ pá' mkətû' kə̂ wə́ báptə̀ wáp aa
Nous lui demandons de s’arrêter un moment le temps que nous nous remettions tous de nos émotions.	pyə̌ kə̀ wə́ sǔsò é gaə̂ é na' pyâp jyə́ gaə́ nə̂ yɔ́k gɔ sɔ'
Remy Ebaa décide de jouer au coach sexuel en leur montrant quelques astuces non sans les avoir menacé au préalable.	Remy Ebaa yɔ́ gaə̂ ê zhí gɛla'tə̀ nə̂núŋ mo hə́ŋ nə̂ la'tə wáp mcicǐ mkɔ bə́ báptə̀ wáp
Raissa subira le viol d’un homme en civil Une fois l’acte sexuel terminé les policiers laissent partir Narcisse.	ta' mbɛ̂ tə dzə́ kətú' pə́ nê gɔ núŋ Raïssa tə ŋkùŋŋkǔŋ , cwə́ yə nə̂lɔ́m mo mìŋ ǎ mkətû' ták Narcisse nə́ŋ
