en	tsn
A video of his encounter at the mall went viral late last month.	Bidio ya tiragalo ya gagwe ya kwa mmolong e ne e aname mo inthaneteng mo kgweding e e fetileng.
The matter is now in front of the CRL Rights Commission, which has described the incident as a national crisis.	Morero o jaanong o beilwe fa pele ga Khomišhene ya Ditshwanelo ya CRL, e e tlhalositseng fa tiragalo e ama setšhaba sotlhe.
Thando Mahlangu was confronted by the Boulders Mall Centre Manager, Jose Maponyane, inside the Clicks Store and was told that the Ndebele traditional attire he was wearing was neither decent nor appropriate.	Thando Mahlangu o ne a tobiwa ke Molaodi wa kwa mmolong wa Boulders, Jose Maponyane ka fa gare ga lebenkele la Clicks mme a mmolelela gore diaparo tsa setso tsa seNdebele tse a di apereng ga di na seriti e bile ga di maleba.
Maponyane could be heard in the video saying he would not condone the outfit at in my mall.	Maponyane o utlwagetse mo bidiong a re, ga a kitla a letla moaparo wa mofuta oo mo mmolong wa gagwe.
Lets cut the long story short, we’ve got a right of admission.	Tlaa re kgaole kanelo e telele, re na le tshwanelo ya tsena.
I don’t condone this in my mall.	Ga ke letlelele se mo mmolong wa me.
So, ngicela uphume (please leave), Mapoyane could be heard saying.	Ka jalo ke kopa o tsamaye, Maponyane o utlwagetse a bua jalo.
Mahlangu was quick to remind Maponyane that his attire was African in Africa, to which Maponyane insisted that the attire was not descend in a public space.	Mahlangu o nnile bonako go gakolola Maponyane gore o apere moaparo wa Seaforika mo Aforika. Ke fa Maponyane a ka gatelela gore moaparo oo e ne e se wa go ka aparwa mo lefelong la batho botlhe.
The mall management has since said it regrets the humiliation suffered by Mahlangu and has since suspended the implicated centre manager.	Botsaimaisi jwa mmolo bo rile bo maswabi ka se se diragaletseng Mahlangu mme ba sekegile motsamaisi wa senthara e e amegang.
Saddest reality in Africa, I was subjected to inside the @Clicks_SA store at The Boulders Shopping Center.	Nnete e e botlhoko mo Aforikaborwa, e ke itemogetseng yona kwa gare ga lebenkele la Click kwa Mmolong wa Boulders .
Only because of the center manager, who said it was his shopping complex.	Ka ntlha fela ya motsamaisi yo o rileng ke mmolo wa gagwe.
I was told that I’m wearing inappropriate I must go & Omega risk solutions harassed me.	Ke ne ka bolelelwa gore moaparo wa me ga o a letlelesega mme ke tshwanetse go tsamaya. Omega risk solutions e ntshwere makgwakgwa.
The 35-year-old cultural activist says this wasn’t his first humiliation.	Molwelasetso wa dingwaga di le 35 a re, e ne e se lwantlha a itemogela nyenyefatso ya mofuta o.
The whole experience took me back to the incident that happened of a Gautrain.	Maitemogolo ao a mpuseditse morago kwa tiragalong e e diragetseng kwa Gautrain.
, I was once kicked out of a Gautrain, for wearing isiNdebele traditional attire and speaking in isiNdebele, for believing in isiNdebele.	Ke ne ka lelekiwa kwa Gautrain ka ntlha ya fa ke ne ke apere diaparo tsa setso tsa seNdebele, ke bua isiNdebele e bile ke dumela mo puong ya isiNdebele.
Redefine Properties, which owns the Boulders Mall in Midrand, says it has personally apologised to Mahlangu.	Redefine Properties, e e tshwereng mmolo wa Boulders kwa Midrand, ba re ba ikopetse maitshwarelo kwa go Mahlangu ka bobona.
The commission today summoned Redefine Properties to a hearing to find out what remedial action they are taking following the incident.	Khomišhene gompieno e biditse Redefine Properties go nna teng kwa theetsong go batlisisa gore ke kgatotshiamiso efe e ba e tsereng go latela tiragalo e.
Company CEO, Andrew Konig says they are conducting an internal investigation.	Moeteledipele wa setlamo, Andrew Konig a re ba ikaeletse go dira dipatlisiso mo teng ga setheo.
We deeply regret the incident and we have taken a lot of remedial action and this incident has held up a mirror for us to reflect on all our actions and our staffs actions.	Re ikwatlhaela tiragalo e thata mme re tsere dikgato di le dintsi go siamisa tiragalo eno. Tiragalo eno e re tshwaretse seipone se re tlaa itebang mo go sona, go bona maitshwaro a rona le a badiri ba rona.
We have publicly acknowledged that Redefine has distanced itself from the centre ‘managers actions and we do not condone what happened and we understand that Mr Mahlangu and his lady partner were treated inappropriately.	Re amogetse mo phatlalatseng gore Redefine e itlhaotse mo maitshwarong a motsamaisi mme ga re tsamaisane le se se diragetseng, e bile re tlhaloganya gore Rre Mahlangu le molekane wa gagwe ba ne ba tsholwa ka tsela e e sa amogelesegeng.
Konig said the Property group had also personally apologised to Thando Mahlangu as well as the Ndebele Council for the incident.	Konig o rile setlhopha se ikopetse maitshwarela kwa go Thando Mahlangu ka namana gammogo le Khansele ya seNdebele ka ga tiragalo e.
We have directly engaged with Mr Mahlangu and his advisors and Thursday was our last engagement with them and on Friday, a delegation of Redefine went to the royal council and we sat with the council and we humbled ourselves and paid deep respect to the Ndebele nation, as well as apologised for the incident at The Boulders.	Re ikgolagantse ka tlhamalalo le Rre Mahlangu le bagakolodi ba gagwe. Re buile le bona labofelo ka Labone mme ka Labotlhano, setlhopha sa kwa Redefine se ile kwa khanseleng ya morafe mme re ntse fa fatshe le Khansele, ka boikobo mme ra tlotla setšhaba sa maNdebele le go ikopela maitshwarelo ka tiragalo e e diragetseng kwa The Boulders.
We are happy to report that we left feeling that we achieved our objective to seek atonement for our actions.	Re itumelela go bega gore re tsamaile re na le  maikutlo a gore re fitlheletse maikaelelo a rona a go batla go lefisa melato ya diphoso tsa rona.
CRL Chairperson, Professor David Mosoma says the commission will speak to all the parties involved in the incident and then make remedial recommendations later this month.	Modulasetilo wa CRL, Moporofesara David Mosoma a re Khomišhene e tlaa buisana le botlhe ba ba amegang mo tiragalong eo mme e dire dikatlenegiso tsa go siamisa diphoso moragonyana mo kgweding eno.
The importance of this is to ensure that there is a cultural diverse appreciation of cultures and religions.	Botlhokwa jwa seno ke go netefatsa gore go na le kanaanelo ya ditso le ditumelo tse di farologaneng.
We think, on the basis of that, we will not be able to give recommendations today, because we need to speak to Mr Maponyane and we request you to bring him on the 19th.	Re akanya gore mo ntlheng e, ga re kitla re kgona go neelana ka dikatlanegiso gompieno ka gonne re tlhoka go bua le Rre Maponyane, mme re kopa gore o tle le ene ka la di 19.
So, on that day, we will focus on him and the issues the commissioners have raised to try and understand where he is coming from.	Ka jalo, mo letsatsing leo, re tlaa tlhoma mogopolo mo go ena le dintlha tse di tlhagisitsweng ke bakomišhenara go leka go tlhaloganya gore o tswa kwa kae.
Advocacy organisation Global Citizen has called on governments, businesses, and philanthropists to pledge more funds to help get at least two billion COVID-19 vaccine doses for lower-income countries amid the pandemic.	Setheo sa Tshegetso ya baagi, Global Citizen se ipileditse go puso, dikgwebo, le badiramolemo go go thusa ka matlole a a tlaa thusang go bona meento ya COVID-19 e e ka nnang dibilione tse pedi ka palo kwa dinageng tse di nang le lotseno le le kwa tlase ka nako ya leroborobo.
Reports indicate that several African countries may not receive enough COVID-19 vaccines to achieve herd immunity against the coronavirus.	Dipegelo di supa gore, go na kgonego ya gore dinaga tsa Aforika di le mmalwa di se amogele meento e e lekaneng ya COVID-19 e e tlaa thusang go fitlhelela tshireletsego kgatlhanong le mogare wa Corona.
Global Citizen says donations to raise money for COVID-19 vaccines can be made during the global streaming concert on May the 8th.	Global Citizen ya re kgobokanyo ya madi ya meento ya COVID-19 e ka dirwa ka nako ya konsarata ka la 8 Motsheganong.
Singers, Jennifer Lopez, Selena Gomez, the Foo Fighters and Eddie Vedder will be among those due to appear in the Vax Live Concert.	Diopedi, Jennifer Lopez, Selena Gomez, Foo Fighters le Eddie Vedder ke ba bangwe ba ba tlaa tlhagelelang kwa Konsarateng ya VAX.
Global Citizen Director for Southern and East Africa, Chebet Chikumbu, says the event is in a broadcast format.	Motsamaisi wa Global Citizen wa kwa Borwa le Botlhaba jwa Aforika, Chebet Chikumbu a re tiragalo e, e tlaa tlhagisiwa ka mokgwa wa kgaso.
We have been able to collaborate with world leaders, artists, the business community and powered by our global citizens to ensure that we can witness a financial commitment being made towards this very important endeavour.	Re kgonne go dirisana le baeteledipele ba lefatshe, batsweretshi, bagwebi mme re fiwa maatla ke baagi ba lefatshe ka bophara go netefatsa gore re ka kgona go bona seitlamo sa madi se dirwa mo moletlong o o botlhokwa o.
Global Citizen is calling for equitable vaccine rollout.	Global Citizen e ikopela gore lenaneo la moento e simololwe.
VAX LIVE: The Concert to Reunite the World will be hosted by singer Selena Gomez and also feature the Foo Fighters and Eddie Vedder, according to organiser Global Citizen, an international advocacy group.	Vax nna: Go dira mmogo go reunite lefatshe e tla nna e e neng e tshwerwe ke seopedi selena gomez mme gape go na le foo fighters le Eddie Vedder. Go ya ka kgaisano ya lefatshe la Boditšhabatšhaba la Bobueledi, baagi.
VAX LIVE: The Concert to Reunite the World will be hosted by singer Selena Gomez and also feature the Foo Fighters and Eddie Vedder, according to organiser Global Citizen, an international advocacy group.	VAX LIVE: Konsatara ya go kopanya lefatshe e tlaa tshwerwa ke seopedi Selena Gomez mme o tlaa e tshwaraganela le Foo Fighters le Eddie Vedder. Se ke go go ya ka motsamaisi wa Global Citizen, setlhopha sa boditšhabatšhaba sa Bobueledi.
This is really an opportunity to call on world leaders to make sure that the 27 million heroic healthcare workers around the world that don’t yet have access to a vaccine can get access over the coming months, Global Citizen Chief Executive Hugh Evans told Reuters.	Se ke tšhono ya go kopa baeteledipele ba lefatshe go netefatsa gore di le dimilione di le 27 tsa bagaka  ba e leng badiri ba tlhokomelo ya boitekanelo go ralala lefatshe lotlhe, ba ba iseng ba bone moento, ba tlaa o bona mo dikgweding tse di tlang. Mokhuduthamaga wa Global Citizen Hugh Evans o boleletse Reuters.
The event will also campaign for fair and equal access to vaccines for all.	Moletlo ono e tla nna le letsholo la phitlhelelo e e lekanang le e e siameng ya meento go botlhe.
The reality is that right now many of the wealthiest nations are starting to stockpile vaccines, said Evans, adding the broadcast would urge nations to donate excess doses and give financial support to the Covax facility, backed by the World Health Organisation (WHO) and the Global Alliance for Vaccines and Immunization (GAVI).	Nnete ke gore gona jaanong bontsi jwa dinaga tse di humileng di simolola go reka meento ka bontsi. Go bua Evans a oketsa ka gore kgaso e tlaa rotloetsa ditšhaba go aba meento e mengwe le go neelana ka kemonokeng ya matlole go setlamo sa Covax, ka thuso ya ke Mokgatlho wa Lefatshe wa Boitekanelo (WHO) le mokgatlho wa lefatshe wa meento (GAVI).
Covax aims to secure 2 billion vaccine doses for lower-income countries by the end of 2021.	Covax E ikaelela go fitlhelela meento e le dibilione di le pedi go ya kwa dinageng tsa lotseno le le kwa tlase fa ngwaga wa 2021 o ya kwa bokhutlong.
The great news is there have already been many nations around the world that are starting to donate doses, Evans said.	Dikgang tse di monate ke gore, go setse go na le dinaga di le dintsi mo lefatsheng ka bophara tse di setse di simolotse go aba meento, Evans a bua jalo.
Australia, for example, donated a million doses to Papua New Guinea.	Sekao, Australia e abile meento e le milione ka palo go Papua Guinea.
We know the Norwegian government decided to make a donation of doses.	Re a itse gore puso ya kwa Norway e sweditse go aba meento.
There’s really great momentum that is building, he added.	Go tota go na le batho ba le bantsi ba ba bontshang kgatlhego, a tlaleletsa.
It’s been reported that most African countries will not have enough COVID-19 vaccine doses to vaccinate the at least 60% of their populations needed to achieve herd immunity and defeat the virus.	Go begwa fa bontsi jwa dinaga tsa Aforika di se kitla di nna le meento e e lekaneng ya COVID-19 go enta diperesente di le 60 tsa batho tse di tlhokegang go fitlhelela maemo a go thibela tswenwa ke mogare le go o fedisa.
As a result, Global Citizen is calling on governments, companies and philanthropists to pledge more funds to get at least two billion COVID-19 vaccine doses, as well as tests and treatments, to lower-income countries to safeguard their citizens.	Ka jalo, Global Citizen e ikuela go puso, ditlamo le badiramolemo go thusa ka matlole a a tlaa dirisetswang go bona dibilione di le pedi tsa meento ya COVID-19, gammogo le diteko le kalafi kwa dinageng tsa lotseno le le kwa tlase go sireletsa baagi ba tsona.
To this end, the Vax Live concert, a first of its kind, will get under way in May.	Mo ntlheng e, konsarata ya VAX, ya ntlha ya mofuta wa yone, e tla nna simolola ka kgwedi ya Motsheganong.
It is a global broadcast event to call on world leaders to commit to equitable distribution of the COVID-19 vaccine, so that we can end the pandemic for everyone, everywhere.	Ke moletlo wa boditšhabatšhaba o o tlaa gasiwang go ikuela go baeteledipele ba lefatshe go itlama gore ba tlaa netefatsa kabo e e lekalekanang ya meento ya COVID-19 moento, gore re tle re kgone go khutlisa leroborobo mo go mongwe le mongwe, gongwe le gongwe.
Chebet Chikumbu who is Global Citizens Regional Director for East and Southern Africa shares more.	Chebet Chikumbu, yo e leng Mokaedi wa kgaolo ya Borwa le Botlhaba jwa Aforika o tlhalosa go le gontsi.
Britain’s Queen Elizabeth returned to royal duties on Tuesday, four days after the death of her husband, Prince Philip, in an event to mark the retirement of her households most senior official, PA Media reported.	Kgosigadi Elizabeth wa kwa Britain o boetse kwa ditirong tsa gagwe tsa morafe ka Labobedi, malatsi a le mane morago ga go tlhokafala ga mogatse, Kgosana Phillip, mo tiragalong ya go tshwaya go rola tiro ya gagwe semmuso. PA media e begile jalo.
The Queen hosted a ceremony as the Earl Peel stepped down as Lord Chamberlain, the report added.	Kgosigadi o ne a tshwere moletlo fa Earl Peel a ne a rola tiro jaaka Lord chamberlain, pegelo e tlhalosa gape.
Philip, who had been at the Queen’s side throughout her 69-year reign, died at Windsor Castle on Friday, aged 99.	Phillip, yo o neng a le mo letlhakoreng la ga kgosigadi dingwaga di le 69 tsa puso ya gagwe, o tlhokafaletse kwa ntlong ya segosi kwa Windsor ka Labotlhano, a na le dingwaga di le99.
His funeral will be held on Saturday.	Phitlho ya gagwe e tlaa tshwarwa ka Lamatlhatso.
The Duke of Edinburgh, as he was officially known, married Elizabeth in 1947.	Kgosana  ya Edinburgh, jaaka a ne a itsege, o nyetse Elizabeth ka ngwaga wa 1947.
In recent years, the Queen has reduced her official engagements and passed many royal duties and patronages to Prince Charles, his son William and other senior royals.	Mo dingwageng di le mmalwa tse di fetileng, Kgosigadi o fokoditse dikgolagano tsa gagwe tsa semmuso mme a fetisetsa maikarabelo go Kgosana Charles, morwa wa gagwe William le bagolwane ba bangwe mo segosing.
But she still carries out the most symbolic royal duties, such as the opening of parliament.	Fela o sa ntse a diragatsa ditiro tse dingwe tsa segosi, jaaka ya pulo ya palamente.
Prince William, second in line to the British throne, hailed his late grandfather Prince Philip for his dutiful service ahead of his funeral on Saturday.	Kgosana William, yo o latelang mo maemong a bobedi a go tsaya bogosi, o bakile rremogolo wa gagwe kgosana Phillip, ka tiro ya gagwe e e tswileng diatla pele ga phitlho ya gagwe ka Lamatlhatso.
William, known as the Duke of Cambridge, said Philip was an extraordinary man whose life had been defined by service, but that he would have wanted members of the royal family to get on with their jobs.	William, yo o itsegeng jaaka kgosana ya Cambridge, o rile Phillip e ne e le monna yo o sa tlwaelesegang, yo botshelo jwa gagwe bo neng bo tlhaloswa ke ditiro tsa gagwe, mme o ne a ka rata go bona ba lelapa la segosi ba tswelela ka ditiro tsa bone.
I will miss my Grandpa, but I know he would want us to get on with the job, William, 38, said in a statement on Monday.	Ke tlaa tlhologelelwa rremogolo, mme ke a itse gore o ne a ka batla gore re tswelele pele ka tiro, William, 38, o buile jalo ka Mosupologo.
My grandfather was an extraordinary man and part of an extraordinary generation.	Rremogolo ene e ne e le monna yo o kgethegileng e bile e le karolo ya  setlhopha sa batho ba ba kgethegileng.
William said he felt lucky to have had Philips’s example to guide him, and praised his grandfather for showing great kindness to his wife, Catherine, Duchess of Cambridge.	William a re o ne a ikutlwa a le lesego gore a be a nnile le Philip jaaka sekao sa go mo kaela, mme a akgola rremogolo wa gagwe ka go bontsha bopelonomi jo bogolo go mosadi wa gagwe, Catherine, kgosigadi ya kwa Cambridge.
Philip, husband of Britain’s Queen Elizabeth II who had been at her side throughout her 69-year reign, died at Windsor Castle on Friday, aged 99.	Phillip, monna wa kgosigadi ya kwa Britain, Kgosigadi Elizabeth II, yo o neng a le mo letlhakoreng la gagwe dingwaga di le 69 tsa puso ya gagwe, o tlhokafaletse kwa ntlong ya bogosi kwa Windsor ka Labotlhano, a le dingwaga di le 99.
Harry, sixth in line to the throne, will quarantine in accordance with coronavirus guidelines so that he can attend the ceremonial funeral at Windsor Castle.	Harry, yo e leng wa borataro mo moleng wa go tsaya bogosi, o tla ikgapela kwa thoko go latela dikaelo tsa mogare wa corona gore a kgone go tsenela phitlho kwa ntlong ya segosi kwa Windsor.
Prince Harry returns to UK ahead of Prince Philips funeral.	Kgosana Harry o boela kwa UK pele ga phitlho ya ga Kgosana Phillip.
The couple left Britain for a new life in the United States after a public rift with the royal family and a falling-out with the tabloid press.	Banyalani bano ba tlogile kwa Britain go ya go aga botshelo jo bošwa kwa United States morago ga kgotlhang ya phatlalatsa e ba nnile le yona le ba lelapa la segosi, le go sa utlwaneng ga bona le bobegakgang.
On Monday, Harry praised Philip for his devotion to granny Queen Elizabeth II, and described the late duke as a mischievous host who could captivate his guests with unpredictable remarks.	Ka Mosupologo, Harry o ne a akgolela Phillip go ineela ga gagwe go mmemogolo wa gagwe e leng
Prince William and Prince Harry pay tribute to their grandfather.	 Kgosigadi Elizabeth II, mme a tlhalosa kgosana e e tlhokafetseng e jaaka moamogedi yo o matlhajana wa baeng, yo o kgonang go tshwara baeng ka ditshwaelo tsa gagwe tse o sa di solofelang
Colourful lanterns and ornate Ramadan decorations filled the streets of Jerusalem on Monday as Palestinians prepared for a holy month freer of COVID-19 restrictions than at the height of the pandemic.	Kgosana William le Kgosana Harry ba tlotla rremogolo wa bona.
Ahead of Ramadans expected start on Tuesday, the mood in the Old City was far more joyful than last year when prayers were suspended at the Dome of the Rock and Al-Aqsa Mosque, Islams third holiest site.	Mabone a a mebalabala le mekgabisa ya Ramadan, di ne di tladitse mebila ya Jerusalema ka Mosupologo fa Mapalesetina ba ne ba rulaganyetsa kgwedi e e boitshepo e e senang melawana ya thibelo ya COVID-19 gona le ka nako ya fa leroborobo le nele tseneletse thata.
Although Jerusalem is still without foreign tourists, far more people were roaming the Old City, where shops reported brisk business.	Pele ga Ramadan e ka simolola ka Labobedi jaaka go solofetswe, mowa o o renang mo toropong ya bogologolo o ne o tletse boitumelo thata go feta wa ngwaga o o fetileng fa dithapelo di ne di emisitswe nakwana kwa The Dome of the Rock le mmoseke wa Al-Aqsa, lefelo la boraro le le boitshepo la kwa Islam.
Because of coronavirus, the situation has been bad for the merchants and the people.	Le mororo Jerusalem e sa ntse e sena bajanala ba dinaga di sele, go na le batho ba le bantsi ba ba sasankang mo toropong ya Old City, kwa mabenkele a begileng gona gore kgwebo e a tsamaya.
Now with the coronavirus vaccination, the situation got better, said one shopper, Mohammad Abu Sbeih.	Ka ntlha ya mogare wa Corona, seemo se ntse se se sentle go barekisi le batho.
Israel has included Palestinians in East Jerusalem in its swift rollout of vaccines.	Jaanong ka ntlha ya moento wa mogare wa corona, maemo a botoka, Go bua mongwe wa bareki, Mohammad Abu Sbeih.
It annexed the eastern half of the city after capturing it along with the West Bank in the 1967 Middle East war.	Iseraele e akareditse Mapalesetina kwa Botlhaba jwa Jerusalema mo tlhagisong ya yona ya meento .
But it is unclear if Palestinians from the occupied West Bank will be able to come to Al-Aqsa during Ramadan, as in previous years.	E mametleletse halofo ya toropo ya kwa botlhaba morago ga e go tshola mmogo le Banka ya kwa Bophirima ka ntwa ya kwa bogareng jwa botlhaba ka ngwaga wa  1967.
An Israeli military official said no decision had been made on holiday permits.	Ga go itsiwe gore a Mapalesetina go tswa kwa West Bank ba tlaa kgona go tla kwa Al-Aqsa ka nako ya Ramadan, jaaka mo dingwageng tse di fetileng.
The situation may be complicated by the far slower pace of vaccinations carried out by the Palestinian authorities than in Israel, which has faced international calls to ensure that Palestinians are inoculated.	Sesole sa semmuso ga Iseraele se rile ga go tshwetso e e dirilweng mo malatsing a boikhutso.
In the occupied West Bank, the Palestinian Authority said it would allow more shops to open at night and for Ramadan night prayers to be held in mosques, except on the busiest day of the week, Friday, when they would take place outside.	Maemo a ka nna a tlhakatlhakanngwa ke bathati ba kwa Palesetina ka tsela e ba tsamaisang meento ka bonya ka teng gona le kwa Israel, e e lebaneng le megala go ya kwa dinageng di sele go netefatsa gore Mapalesetina a a entiwa.
But it imposed a COVID-19 night-time curfew on movements between cities, villages and refugee camps.	Kwa West Bank, baokamedi ba kwa Palesetina ba rile ba tlaa letla mabenkele a mangwe go bula bosigo le gore dithapelo tsa Ramadan di tshwarelwe kwa Mosques, ntle le ka letsatsi la beke le le nang le mekgape e mentsi, Labotlhano, kwa di tlaa diragalelang kwa ntle.
It also banned restaurants from holding iftars the breaking of the fast at sunset  and stores selling sweet pastries from opening their doors to customers, saying they could only make deliveries.	Mme e tsentse tirisong melawana ya metsao ya bosigo ya COVID-19 magareng ga ditoropokgolo, metse le dikampa.
In Gaza, shoppers filled markets despite a recent threefold increase in daily infections.	Gape e iletsa diresetšhurente go rekisa dijo tse Mamoseleme ba di jang morago ga go nna ka tlala letsatsi lotllhe le mabenkele a a rekisang dipheiseteri go bulela bareki ba ona dikgoro, ba re ba ka nna ba ba isetsa tsona kwa magaeng a bona.
That forced the Gaza health authorities to close schools, impose night curfews and ban large gatherings, but fell short of a total lockdown.	Kwa Gaza, bareki ba tladitse mebaraka le fa go na le koketsego ya bošeng ya ditshwaetso tsa letsatsi le letsatsi.
This year, we brought goods from Egypt and China, and there is a massive turnout by people, said storekeeper Hatem El-Helo as loudspeakers echoed with Egyptian songs celebrating Ramadan.	Seo se pateleditse bothati jwa boitekanelo le dikolo, go tsenya tirisong thibelo ya metsamao ya bosigo le go kganela dikokoano tse dikgolo, mme ba paletswe ke tswala naga gotlhelele.
People want to bring joy into their homes.	Monongwaga, re tlile ka dithoto go tswa kwa Egepeto le China, mme go na le tsibogelo e e kwa godimo ya batho, go bua motsaisa lebenkele, Hatem El Helo fa dipikara di ne di letsa mmino wa kwa Egepeto go ketekiwa Ramadan.
Scrolling through the comments made on YouTube on Fela Anikulapo-Kutis music, one comes across remarks such as: The greatest unknown musician who ever lived, Why isn’t Fela’s music more widely known?	Batho ba batla go tlisa boitumelo mo magaeng a bona.
His music beats everything I’ve ever heard before and why am I so late to this?	Fa o lebeletse ditshwaelo tse di dirilweng mo YouTube ka ga mmino wa ga Fela Anikulap-Kutis, o tlaa fitlhela ditshwaelo tse di jaaka: Seopedi se se segolo se sa sa itsiweng, se se kileng sa tshela. Go reng mmino wa ga Fela o sa itsege thata?
The truth is that during Fela’s extraordinary lifetime, the Nigerians notoriety as an engaged citizen fighting for social justice was what usually attracted attention  and not his music .	Mmino wa gagwe o gaisa sengwe le sengwe se ke kileng ka se utlwa, le gona, goreng ke le thari jaana mo go se?
His public persona as a cultural renegade, an incorrigible iconoclast and social rebel hugged the headlines.	Nnete ke gore ka nako ya ga Fela ya botshelo, Go itsege ga MoNigeria yo jaaka moagi yo o neng a lwela bosiamisi jwa loago, ke sona se se neng se ngoka batho gantsi, e seng mmino wa gagwe.
Not his intoxicating blend of Yoruba trance music, highlife-derived harmonies and African American funk and jazz.	Maitshwaro a gagwe mo phatlalatseng jaaka motsuolodi wa tsa setso, ke ona a neng a tshwere ditlhogo tsa dikgang.
He was artistically ahead of his time.	Eseng mmino wa gagwe o o tlhakantseng mmino wa Seyoruba le mmino wa Jazz Seafrorika wa kwa Amerika.
And nearly 30 years since his passing, the world is still playing catch up.	O ne a le kwa pele thata fa go tliwa mo go tsa botsweretshi.
Fela was a social and cultural misfit during the prime years of his career.	Dingwaga tse di yang kwa go tse 30 fa e sale a tlhokafala, lefatshe le santse le leka go mo fitlhelela.
He was blacklisted on radio.	Fela e ne e le yo o nnisegeng mo tsa loago le setso  ka nako ya boiphediso jwa gagwe.
The DJs who played his records were considered brave.	O ne a phimotswe mo seyalemoweng.
These defiant on-air personalities included Lagos Jacob Akinyemi Johnson (JAJ), who broke the mould in the 1980s.	Bagasi ba ba neng ba tshameka direkoto tsa gagwe ba ne ba tsewa jaaka batho ba ba sebete.
It also didn’t help matters that Fela’s complex music compositions sometimes ran for over half an hour.	Bagasi ba ba neng ba roba molao ba, ba akaretsa Jacob Akinyemi Johnson (JAJ), yo o robileng molao ka dingwaga tsa bo 1980.
According to Fela, the value of music exceeded its entertainment appeal.	Se sengwe se se neng se sa thuse ke gore botlhami jwa mmino wa ga Fela ka dinako tse dingwe, o ne tshameka nako e e fetang halofo ya ura.
In his view, music had a spiritual dimension and so commercial considerations were secondary.	Go ya ka Fela, boleng jwa mmino bo ne feta mokgwa o o mmino o ne o bonagala ka teng mo go itumediseng batho.
As I wrote in a recent essay, his temperament was uncompromising.	Go ya ka kakanyo ya gagwe, mmino o ne o na le letlhakore la semowa, ka jalo, kgwebo e ne e latela mo logatong lwa bobedi.
Fela Kuti is one of many prominent names nominated for induction into the prestigious Rock and Roll Hall of Fame this year.	Jaaka ke kwadileng mo tlhamong ya me ya sešheng, mekgwa ya gagwe e ne e tebile thata e bile e ka se fetoge.
Other big-name acts include Tina Turner, Foo Fighters and Iron Maiden.	Fela Kuti ke lengwe la maina a a itsegeng thata, a a tlhophilweng go tsenngwa mo “Hall of Fame” ya mmino wa Rock & Roll ngwaga ono.
We are already late in catching on during his colourful lifetime.	Maina a mangwe a magolo a akaretsa Tina Turner, Foo Fighters le Iron Maiden.
It does feel embarrassing.	Re setse re le kwa morago ga nako ka go fitlhelela ditiro tse a di dirileng ka nako ya gagwe e e itumedisang mo botshelong.
But now there’s an opportunity, with the benefit of hindsight, to revaluate, redefine and bestow his due accolades.	Go tlhabisa ditlhong.
Kuti’s recent nomination for a spot in the Rock & Roll Hall of Fame is a great start.	Mme jaanong go na le tšhono ya gore re ka boela kwa morago ra tlhalosa le go neelana ka dikabelo tsa gagwe tse di mo tshwanetseng.
The common mans middle finger	Tlhopho ya ga Kuti ya bošeng jaana ya go bona phatlha mo “Hall of Fame” ya mmino wa Rock & Roll ke tshimologo e ntle.
Fela was special and he stood out in his music, lifestyle and activism.	Monwana yo o mo magareng wa monna yo o tlwaeleging.
There he was, always uniquely dressed in embroidered brocades and African-inspired prints.	Fela e ne e le motho yo o kgethegileng seo se tlhageletse mo tirong ya gagwe ya mmino, mokgwa wa go tshela le bolweladiphetogo jwa gagwe.
Fela Kuti performed on stage with his band Egypt 80.	O kare ke a mmona, o ne a dula a apere diaparo tsa gagwe tse di kgabisitsweng ka mekgabisa ya Seaforika.
There was none like him then, and even now.	Fela Kuti o diragaditse mo seraleng le bente ya gagwe, Egypt 80.
Fela was an avatar, an anomaly and a pioneer all at once.	Ga go na ope yo o neng a tshwana le ena mo malobeng, le jaanong ga a yo.
And the ripples he left in his wake are still felt around the world.	Fela e ne e le motsayakarolo, motho yo o sa tlwaelegang le mothei wa dilo ka nako e le yosi.
Fela was difficult to love.	Mme diphetogo tse a di tlogetseng di santse di bonagala lefatshe ka bophara.
He always seemed too hot to handle.	Go ne go le boima go rata Fela .
He seemed out of place and was uncompromising in his art, politics and vision.	O ne ka gale a bonala e le motho yo o sa tshwaregeng bonolo.
He was wild, uncontrollable and spontaneous.	O ne a bontsha okare ga a a phuthologa mme a tebile mabapi le botsweretshi jwa gagwe, dipolotiki le pono.
This was a guy who had the sheer audacity to marry 27 women in a single day.	O ne a le tlhaga, a sa laolege mme a dira se a se akantseng, ka nako e a e akantseng.
He was accommodating to a fault.	Yo, ke monna yo o nnileng le sebete sa go nyala basadi ba le 27 mo letsatsing le le lengwe.
Hoodlums and common criminals were often able to seek and find refuge under his protection.	O ne a kgona go amogela phoso.
He found joy in poking at the finer sensibilities of decent society.	Disenyi tse di tlwaelegileng di ne di kgona go batla le go bona polokesego ka fa tlase ga tshireletso ya ya gagwe.
Fela was born middle-class, but on many occasions, he rejected classism.	O ne a bona Boitumelo mo go lekeng baagi ba setšhab ba ba nang le seriti.
He reportedly used luxury Mercedes Benz cars as transport for firewood, spinach and other indignities, to demystify affluence.	Fela o belegwe a itsholetse, mme mo mabakeng a mantsi, o ne a gana kgethololo.
