en	lug
So they imagine whenever Africans are hungry, we feed them.	Balowooza nti buli Afirika bw'erumwa enjala, ffe tugiwa emmere.
They think Rwandans have to keep quiet and they will tell us what to do and what not to do.	Balowooza nti Abanyarwanda balina kusirika busirisi bo ne bababuulira eky'okukola ne kye batalina kukola.
Some of these countries where these journalists operate from have been responsible for the disasters that have taken place in our countries including the genocide in Rwanda.	Agamu  ku mawanga bannamawulire abo gye bakolera ge gavunaanyizibwa ku bizibu ebibaddewo mu mawanga gaffe, gamba ng'ekitta bantu ekyaliwo mu Rwanda.
When you see masses of Rwandans, given Rwanda‘s ethnic configurations and the politics that existed in this country for so many years, do you think those crowds that turn up, the cheering they give is all genuine?	Bw'olaba abantu b'omu Rwanda nga bakungaanye mu bungi, era n'olowooza ku byafaayo by'amawanga gaabwe n'embeera y'eby'obufuzi eyaliwo mu ggwanga okumala emyaka mingi, olowooza abo bonna abakungaana era ne bakuba emizira baba beesiimbu?
Are you saying that this country, in the 2010, has traversed a long journey away from its politics where one’s ethnicity determined their position in politics, that they would turn up and they cheer a certain candidate called Kagame,a Tutsi, who doesn’t share a common ethnicity with the majority Hutu and be very happy about him?	Ky'ogamba eggwanga lino, mu 2010, lizzeemu enkyukakyuka ne kiba nti kati ekifo omuntu ky'alina mu by'obufuzi tekisinziira ku ggwanga lye, era nti abantu basobola okujja mu bungi ne bawagira omusajja eyeesimbyewo ayitibwa Kagame, Omutuusi, atali wa ggwanga ly'abantu abasinga obungi, Abahutu, abantu ne baba nga ddala bamusanyukira nnyo?
But leadership that is determined to change that course will also succeed with the same people, and that is what we are experiencing under a different leadership that values the people of this country irrespective of their background, and rallying them for a common cause of building a new nation of Rwanda.	Naye obukulembeze obumaliridde okukyusa endowooza eyo era busobola okutuuka ku buwanguzi n'abantu abo be bamu, era ekyo kyennyini kye kyabaawo obukulembeze obulala we bwajja ate nga bwo butwala abantu bonna nga ba muwendo ka babe ba ggwanga ki, era ne bubakuumaakuma okuba n'ekiruubirirwa kye kimu eky'okuzimba eggwanga eriggya erya Rwanda.
This is what Rwandans deserve and not a Rwanda of the Hutu, Tutsi or Twa.	Kino Abanyarwanda kye beetaaga, so si Rwanda ey'Abahutu, Abatuusi, oba Abatwa.
People will say that President Kagame has a very sophisticated intelligence system and this system has spread its tentacles up to the last village, he has intimidated everybody.	Abantu abamu bayinza okugamba nti Pulezidenti Kagame alina ekitongole ekikessi kya maanyi ekituuka ne mu bwalo obusembayo eyo,  aleetedde abantu bonna okutya.
Ordinary Rwandan peasants were harassed.	Abanyarwanda aba bulijjo baatulugunyizibwa.
People are just so afraid of this man called Kagame and they have to show up at his rallies and to vote.	Abantu batya nnyo omusajja ono ayitibwa Kagame era baba tebalina kya kukola okuggyako okujja ne babaawo ku nkungaana z'akuba era ne bamuwa akalulu.
Millions of Rwandans, over 5 million Rwandans could be taken, intimidated, confused and manipulated and nobody complains.	 Abantu bukadde na bukadde mu Rwanda, abantu abasukka mu bukadde 5 mu Rwanda basobola okukwatibwa, okutiisibwatiisibwa, ne babuzaabuzibwa, oba ne babagulirira ne watabaawo yenna yeemulugunya.
You have reduced the incidence of malaria by almost eighty five percent, you have gotten ninety percent of Rwandans on medical insurance, you have done the roads and you have fought corruption.	Okendeezezza omuwendo gw'abantu abakwatibwa omusujja kumpi ebitundu 85 ku buli kikumi , Abanyarwanda 90 ku buli kikumi obatadde ku yinsuwa y'obujjanjabi, okoze enguudo, era olwanyisizza obulyi bw'enguzi.
Kagame speaks about his election victory.	Kagame ayogera ku buwanguzi bwe yali atuuseeko mu kalulu.
Oh my God! Do you think the Green Party would challenge the Rwanda Political Front?	Nedda! Ddala olowooza ekibiina kya Green Party kyandisobodde okuvuganya ekibiina kya RPF?
They could not challenge anybody else, forget about the Rwanda Political Front.	Ng'oggyeeeko RPF, kyali tekisobola na kuvuganya wadde ebibiina biri ebirala.
The Electoral Commission partnered with the United States government to post Uganda’s voter register online in a searchable and secure format.	Ekitongole ky'eby'okulonda kyakkiriziganya ne gavumenti ya Amerika okussa olukalala lw'abalonzi mu Uganda ku Intaneeti nga lwangu okuzuula era nga terusobola kutigoonyolwa.
The Electoral Comission launched the online voters register on August 26 at Hotel Africana.	Ekitongole ky'eby'okulonda kyatongoza olukalala lw'abalonzi olw'oku Intaneeti nga Agusito 26 ku Hotel Africana.
The Deputy Attorney General Fred Ruhindi presided over the launch of the online voters register.	Fred Ruhindi, Deputy Attorney General, ye yaliwo mu kutongoza olukalala lw'abalonzi olwo olw'oku Intaneeti.
The United States Ambassador, Jerry Lanier said peaceful free and fair elections in 2011 are critical for Uganda’s  future.	Omubaka wa Amerika , Jerry Lanier, yagamba nti kikulu nnyo okuba n'okulonda okw'amazima n'obwenkanya mu 2011 ku lw'obulungi bw'ebiseera bya Uganda eby'omu maaso.
Jerry Lanier said the launch of the online voter register is a step towards realising this goal.	Jerry Lanier yagamba nti okussa olukalala lw'abalonzi ku Intaneeti ddala kkulu mu kutuuka ku kiruubirirwa ekyo.
Jerry Lanier said posting the voter register online should boost voter confidence in Uganda’s electoral processes.	Jerry Lanier yagamba nti okussa olukalala lw'abalonzi ku Intaneeti kijja kuleetera abalonzi okwongera okwesiga eby'okulonda bya Uganda.
The United States government and the Electoral Commission are also working to develop an Short Message Service messaging system.	Amerika n'ekitongole ky'eby'okulonda era bakolera wamu okussaawo enkola eya SMS.
The online voter register is part of the United States of America’s ongoing support to democracy and governance in Uganda.	Okussa olukalala lw'abalonzi ku Intaneeti kye kimu ku bintu Amerika by'efuba okukola okuwagira demokulasiya mu Uganda.
The Chairman of the Electoral Commission,Badru Kiggundu, appealed to all supporting partners to continue cooperating with the Electoral Commission.	Ssentebbe w'ekitongole ky'eby'okulonda, Badru Kiggundu, yakubiriza abantu bonna okweyongera okukolera awamu n'ekitongole ky'eby'okulonda.
Kiggundu said that the voters register will ensure integrity of all coming elections in Uganda if all Ugandans are involved.	Kiggundu yagamba nti olukalala lw'abalonzi olw'oku Intaneeti lujja kukakasa nti wabaawo obwerufu ne mu kulonda okulalala okujja mu maaso singa Baannayuganda bonna bazingirwamu.
Kiggundu advised voters to check their names at their respective polling stations to ensure they are not wrongly recommended for deletion.	Kiggundu yagamba abalonzi okugenda mu bitundu gye balondera bakebere amannya gaabwe bakakase obanga tegagibwamu mu bukyamu.
Kiggundu called upon the people to check the voter lists to ensure their names are there.	Kiggundu yakubiriza abantu okukebera ku nkalala z'abalonzi balabe obanga amannya gaabwe kwegali.
Kiggundu cautioned that some people with ill motives might push for other people’s names to be scrapped off the voters register.	Kiggundu yalabula nti abantu abamu abalina ebigendererwa ebikyamu bayinza okuggya amannya g'abantu ku lukalala lw'abalonzi.
The oppostion had denounced the Electoral Commission register saying they do not trust the commission to make an accurate register.	Ab'oludda oluvuganya gavumenti baawakanya enkalala z'Ekitongole ky'eby'Okulonda nga bagamba nti tebakyesiga kukola nkalala ntuufu.
Wafula Oguttu, said the launch would have been more realistic if it had been done a few weeks back.	Wafula Oguttu yagamba nti okutongoza okwo kwandibadde kukola amakulu singa kwakolebwa wiiki eziwerako emabega.
Asuman Basalirwa, the Justice Forum party president, praised the move as the right direction.	Asuman Basalirwa, pulezidenti w'ekibiina kya Justice Forum, yagamba nti ekyo kye baakola kyali kirungi.
The opposition have been demanding the removal of the current Electoral Commission on account that it is partisan.	Ab'oludda oluvuganya gavumenti basaba ekitongole ky'eby'okulonda ekiriwo okuggibwawo nga bakirumiriza okubaamu kyekubiira.
Basalirwa said the Electoral Commission failed to involve all the parties in the process leading to the launch of the online register.	Basalirwa yagamba nti ekitongole ky'eby'okulonda tekyasobozesa bibiina byonna kwenyigira mu mitendera egyayitibwamu okutongoza olukalala lw'abalonzi olw'oku Intaneeti.
Basalirwa said the opposition was only called upon to witness the launch.	Basalirwa yagamba nti ab'oludda oluvuganya baayitibwa kulaba bulabi lukalala olwo nga lutongozebwa.
Basalirwa said the opposition should have been involved in the process of making the online voters register.	Basalirwa yagamba nti ab'oludda oluvuganya nabo bandibadde beenyigira mu kukola olukalala olwo olw'oku intaneeti.
Basalirwa said the opposition's involvement would have helped in countering arising issues like the missing voters’ pictures on the register.	Basalirwa yagamba nti ab'oludda oluvuganya bandibadde bakendeeza ku bizibu ebirimu gamba ng'ebifaananyi bya balonzi abamu obutaba ku lukalala.
Basalirwa said the opposition needs to call upon the masses to embrace and ensure that all voter's names are on the register.	Basalirwa yagamba nti ab'oludda oluvuganya basaanidde okukubiriza abantu okukakasa nti amannya gaabwe gali ku lukalala olwo.
Hussein Kyanjo, the Justice Forum flag bearer hailed the online voters register.	Hussein Kyanjo, akutte bbendera y'ekibiina kya Justice Forum flag yasanyukidde nnyo olukalala lw'abalonzi olw'oku intaneeti.
Kyanjo said over one hundred villages have been affected.	Kyanjo yagamba nti ebyalo ebisukka mu kikumi bikoseddwa.
Kyanjo said he had approached the Electoral Commission but it was adamant about his complaints.	Kyanjo yagamba nti yatuukirira ekitongole ky'eby'okulonda n'akitegeeza ku kwemulugunya kwe naye ne batamufaako.
Salaam Musumba, the Deputy President of Forum for Democratic Change, expressed gratitude that the parties have been able to achieve something.	Salaam Musumba, omumyuka wa pulezidenti wa Forum for Democratic Change, yasiima nnyo ebibiina by'obufuzi ng'agamba nti bisobodde okubaako kye bituukako.
Abed Bwanika, the president of People’s Democratic Party, joined other opposition officials to welcome the online voters’ register.	Abed Bwanika, pulezidenti w'ekibiina kya People’s Democratic Party, naye yeegatta ku b'oludda oluvuganya abalala abaasanyukira enkalala z'abalonzi ez'oku intaneeti.
The opposition in Uganda has persistently asked President Museveni to breakup the Electoral Commission.	Ab'oludda oluvuganya bazzenga bagamba Pulezidenti Museveni okukyusa ekitongole ky'eby'okulonda.
It appears the opposition is now applying pressure on the Electoral Commission from different directions.	Kirabika kati ab'oludda oluvuganya bakozesa nkola ndala okussa akazito ku kitongole ky'eby'okulonda.
The opposition Attorney General Erias Lukwago has dragged the Electoral Commission to court for refusing to scrap polling stations in the army barracks.	Erias Lukwago, munnamateeka w'oludda oluvuganya, yakuba ekitongole ky'eby'okulonda mu mbuga z'amateeka olw'okugaana okujja ebifo ebironderwamu mu bbalakisi z'amagye.
He said the Electoral Commission refused to phase out polling stations at Summit View barracks.	Yagamba nti ekitongole ky'eby'okulonda kyagaana okuggya ekifo ekironderwamu mu bbalakisi eri ku Summit View.
All these polling stations are in Kampala Central Division where Lukwago is Member of Parliament.	Ebifo bino byonna ebironderwamu biri mu Kampala, Lukwago mw'ali omukiise mu paliyamenti.
Lukwago says keeping such polling stations inside the military barracks would encourage rigging.	Lukwago agamba nti okuteeka ebifo ebironderwamu mu bbalakisi kikifuula kyangu okubba obululu.
Lukwago wants the polling stations to be moved to a more friendly place outside the barracks.	Lukwago ayagala ebifo ebironderwamu okussibwa mu bifo ebitassa bantu ku bunkenke nga bwe kiba mu bbalakisi.
Makindye West Member of Pariliament Hussein Kyanjo also has threatened to take the Electoral Commission to court.	Hussein Kyanjo, omukiise mu paliyamenti owa Makindye West naye ayagala kukuba kitongole ky'eby'okulonda mu mbuga z'amateeka.
Kyanjo said one of the illegal polling station is Nsambya Police Barracks.	Kyanjo yagamba nti ekimu ku bifo ebironderwamu ebimenya amateeka ky'ekyo ekiri mu bbalakisi ya poliisi e Nsambya.
We have advised the electoral commission in good faith but they have failed to listen.	Mu mwoyo mulungi twagamba ab'ekitongole ky'eby'okulonda okukiggyayo naye bagaanye okuwuliriza .
Kyanjo said the opposition shall go to court or those with shallow brains will resort to violence.	Kyanjo yagamba nti ab'oludda oluvuganya bajja kugenda mu kkooti oba abo ab'obwongo obutono bajja kukola ebikolwa ebyefujjo.
Electoral Commission Secretary Sam Rwakoojo said they phased out polling stations in the barracks long ago.	Sam Rwakoojo, omuwandiisi w'ekitongole ky'eby'okulonda yagamba nti ebifo ebirondebwamu baabiggya dda mu bbalakisi.
Rwakoojo said the Electoral Commission cannot do anything about Kyanjo’s complaint.	Rwakoojo yagamba nti ekibiina ky'eby'okulonda tekirina kya kukola ku ebyo Kyanjo bye yeemulugunyaako.
Lukwago is seeking court to halt the ongoing display of voters register until it is published in the gazette and print media.	Lukwago ayagala kooti eyimirize eky'okutimba olukalala lw'abalonzi olwo okutuusa nga lumaze okufulumizibwa mu magazini ya gazette ne mu mpapula z'amawulire.
The opposition also is complaining that Electoral Commission did not involve them in constituting the parish tribunals.	Ab'oludda oluvuganya era beemulugunya nti ekitongole ky'eby'okulonda tekyabakkiriza kwenyigira mu kussaawo kooti z'ebitundu.
Matthias Nsubuga, the Democratic Party General Secretary, says this is a plan to allow vote rigging.	Matthias Nsubuga, omuwandiisi wa DP, agamba nti luno lukwe lwa kubba kalulu.
Salaam Musumba says the law requires the judiciary to constitute the parish tribunals in consultation with the political parties.	Salaam Musumba agamba nti amateeka geetaagisa ekitongole ekiramuzi okussaawo kooti z'omu bitundu oluvannyuma lw'okwebuuza ku bibiina by'eby'obufuzi.
Musumba added that political parties were never given chance to participate in forming the tribunals.	Musumba yagattako nti ebibiina by'obufuzi tebyaweebwa kakisa kwenyigira mu kussawo kooti ezo.
Musumba says the Electoral Commission did not ask the opposition a list of people to sit on the different parish tribunals countrywide.	Musumba agamba nti ekitongole ky'eby'okulonda tekyabuuza ba ludda luvuganya kuwaayo nkalala z'abantu ab'okuweereza mu kkooti z'ebyalo ezitali zimu okwetoola eggwanga.
Rwakoojo argued that there wasn’t enough time to properly constitute the tribunals as required by the law.	Rwakoojo yagamba nti tewaali budde bumala kuteekateeka kkooti ezo ng'amateeka bwe galagira.
Rwakoojo said that in some areas of Uganda these parish tribunals were none existent.	Rwakoojo agamba nti mu bitundu bya Uganda ebimu kkooti z'ebyalo ezo tezaaliyo.
Engineer Badru Kiggundu blamed the opposition for lack of grassroots structures in every parish countrywide.	Yinginiya Badru Kiggundu yanenya ab'oludda oluvuganya olw'obutaba na bakiise mu buli kitundu ky'eggwanga.
There's another sticking issue of voters’ cards for 2011 elections.	Ensonga endala ey'amaanyi ekwata ku kaadi z'abalonzi ezinaakozesebwa mu kulonda kwa 2011.
The Electoral Commission has said it will not issue voters cards because it’s too expensive.	Ekitongole ky'eby'okulonda kigambye nti tekijja kuwa bantu kaadi za kulonda kubanga zeetaagisa ssente nnyingi nnyo.
Musumba dismissed the Electoral Commission argument, saying it amounts to failure of its responsibility.	Musumba yagamba nti ensonga ekitongole ky'eby'okulonda gy'ewa teriimu ggumba era nti ekyo kiraga nti kiremereddwa okutuukiriza obuvunaanyizibwa bwakyo.
Rwakoojo said the voters’ cards are not provided for in the Electoral Commission budget because the government would be issuing national identity cards soon.	Rwakoojo yagamba nti kaadi z'abalonzi tezaali ku bbajeti ya kitongole ky'eby'okulonda kubanga gavumenti yali eneetera okuwa abantu ndagamuntu.
Rwakoojo said it would be financially irresponsible if the Electoral Commission issued voters’ cards now when government is to offer national identity cards later.	Rwakoojo yagamba nti kwandibadde kudiibuuda ssente singa ekitongole ky'eby'okulonda kiwa abantu kaadi z'okulonda ate nga gavumenti egenda kubawa ndagamuntu.
Tom Buruku, an Electoral Commissioner, said a lot of voters cards in the previous elections were still lying uncollected.	Tom Buruku, omukozi mu kitongole ky'eby'okulonda, yagamba nti kaadi z'abalonzi nnyingi ezaali zirina okukozesebwa mu kulonda okwaggwa zikyali eyo abantu tebazikimanga.
Buruku said the Electoral Commission has thousands of voter cards seated at their district offices and at the national office.	Buruku yagamba nti ekitongole ky'eby'okulonda kirina kaadi z'abalonzi nnyingi ezitudde eyo ku ofiisi za disituliki ne ku ofiisi y'eggwanga.
Buruku added that it is quite frustrating when people do not pick their cards.	Buruku yagattako nti kitama abantu bwe batakima kaadi zaabwe.
Rwakoojo said voters cards which were not collected belong to people who registered late for the 2006 general elections.	Rwakoojo yagamba nti kaadi z'abalonzi ezitaakimwa za bantu abeewandiisa obudde nga buyise mu kulonda kwa 2006.
By election time in February 2006 the Electoral Commission had not printed the cards for the people who registered late.	Okulonda we kwabeererawo mu Febwali 2006 ekitongole ky'eby'okulonda kyali tekinnafulumya kaadi z'abo abeewandiisa ekikeerezi.
Rwakoojo said Electoral Commission only printed cards for the people who registered early.	Rwakoojo yagamba nti ekitongole ky'eby'okulonda kyakuba kaadi z'abo bokka abeewandiisa nga bukyali.
Rwakoojo said some cards were misplaced during the sorting and distributing process before they were sent to the districts.	Rwakoojo yagamba nti kaadi ezimu zaababulako bwe baali bazitegeka era nga bazibunyisa nga tezinnasindikibwa ku disitulikiti.
The Electoral Commission has given out cards which voters use to identify themselves at the polling stations.	Ekitongole ky'eby'okulonda kigabye kaadi abalonzi ze balagayo mu bifo ebironderwamu.
Rwokoojo last week, said the voters’ cards had become irrelevant since some unethical people in town were forging them.	Wiiki ewedde, Rwokoojo yagamba nti kaadi z'abalonzi tezikyalina makulu kubanga abantu abamu mu kibuga baali bazigingirira.
The Democratic Party has not entered, and has no intention of entering into an alliance with Uganda Peoples Congress.	Aba DP tebannayingira mu mukago na UPC era tebalina kiruubirirwa kya kuguyingiramu.
Semogerere was commenting on the reported joint press conference held by veteran Democratic Party and National Consultative Council member, Mr Sebalu.	Semogerere yali ayogera ku lukungaana lwe yali nalwo ne Mw. Sebalu, eyaliko memba wa DP ne National Consultative Council.
Semogerere said that the Democratic Party has not been a party to the statement.	Semogerere yagamba nti DP ensonga ezo teyaziriimu.
Semogerere said the Democratic Party approves the proposals to hold a general election this year.	Semogerere yagamba nti DP ekkiriziganya n'ekiteeso eky'okuba n'okulonda kwa bonna omwaka guno.
Semogerere said that if there will be any presidential election, such election ought to be held concurrently with the parliamentary elections.	Semogerere yagamba nti okulonda kwa pulezidenti kusaanidde okubaawo mu kiseera kye kimu n'okulonda kw'ababaka ba paliyamenti.
Semogerere said that Democratic Party is opposed to the banning of political parties.	Semogerere yagamba nti DP tewagira kya kuwera bibiina bya bufuzi.
Semogerere said that his party is convinced that it is useful in the interests of national unity.	Semogerere yagamba nti ekibiina kye kikakafu nti kiyamba mu kutwala eggwanga mu maaso.
Democratic Party has no objections to holding the forthcoming general elections under the Uganda National Liberation Front.	DP terina buzibu kwenyigira mu kulonda okujja ng'eri wansi w'omukago gwa Uganda National Liberation Front.
Semogerere noted that some of the proposals made in the recent joint statement had not been discussed.	Semogerere yagamba nti ebimu ku biteeso ebiri mu kiwandiiko eky'awamu ekyavulumizibwa gye buvuddeko awo tezaayogerwako.
Muwanga and Sebalu told newsmen that their two parties, advocated for an electoral system that would allow the national political parties under their identities.	Muwanga ne Sebalu baagamba bannamawulire nti ebibiina byabwe ebibiri, baagala okulonda kubeewo ng'ebibiina byesimbawo mu mannya gaabyo.
Mr Dan Wadada Nabudere, has said there is need to make some amendments in the 1967 constitution because it gives too much power to the President.	Mr Dan Wadada Nabudere, yagamba nti kyetaagisa okukola enkyukakyuka mu ssemateeka wa 1967 kubanga awa pulezidenti obuyinza bungi.
Nabudere was officially opening the Uganda National Liberation Front Jinja Branch.	Nabudere yali agulawo mu butongole ettabi lya Uganda National Liberation Front ery'e Jinja.
Nabudere emphasised that the task of restoring democracy in Uganda was one of the top priorities of the Uganda National Liberation Front  government.	Nabudere yakikkaatiriza nti ekimu ku bigendererwa bya Uganda National Liberation Front ebikulu kwe kuzzaawo demokulasiya mu Uganda.
Nabudere added that the Uganda National Liberation Front stands for national unity of all the people, regardless of political and religious differences.	Nabudere yagattako nti omukago gwa Uganda National Liberation Front guleetawo obumu mu bantu bonna ka babe ba kibiina ki oba ddiini ki.
The development of the online voter register was supported through a six hundred thousand dollar grant to International Foundation for Electoral Systems.	Doola emitwalo omukaaga ezaaweebwa ekitongole kya International Foundation for Electoral Systems ze zaakozesebwa mu kukola olukalala lw'abalonzi olw'oku intaneeti.
Hussein Kyanjo said he would sue the Electoral Commission for creating more villages and polling stations in his constituency.	Hussein Kyanjo yagamba nti yali wa kukuba ekitongole ky'eby'okulonda mu mbuga z'amateeka olw'okuteekawo ebyalo n'ebifo ebironderwamu eby'ekimpatiira mu kitundu kyatwala.
Nsambya Police Barracks polling station is not yet fully open to the black.	Ekifo awalonderwa mu bbalakisi y'e Nsambya tekinnagulwawo mu bujjuvu.
Rwakoojo said he would consult the Local Government Minister on whether the zones the Electoral Commission used to create polling stations exist.	Rwakoojo yagamba nti ajja kwebuuza ku minisita wa gavumenti z'ebitundu obanga zooni ekitongole ky'eby'okulonda bye kyakozesa okussaawo ebifo awalonderwa ddala gyeziri.
Uganda Communications Commission boss Patrick Mwesigwa customer makes a call from a public pay phone in Kampala.	Kasitoma wa Patrick Mwesigwa, omukungu w'ekitongole kya Uganda Communications Commission akuba essimu mu kifo ekya lukale mu Kampala.
Stephen Mwanje is the Managing Director of  Forex Bureau and chairman of the Uganda Forex Bureau and Money Remittence Association .	Stephen Mwanje ye maneja addukanya ekibanda kya ssente era owa ssentebe wa Uganda Forex Bureau and Money Remittence Association .
Common Market opens business  opportunities and challenges when you start your day.	Akatale katandika okukola era emikisa gy'okukola ssente giggulwawo naye era olunaku lubaamu n'ebisoomooza.
You start your day at 4:45am.	Nzuukuka ku makya nnyo ku saawa 10:45.
I stay in Mukono and I have a daughter and son that I drop at Greenhill Academy.	Nsula Mukono era nnina mutabani wange ne muwala wange be nsooka okutwala ku ssomero lya Greenhill Academy.
So if am to get to beat the jam and get to office by 7:00am, I must leave home by 6:00 am.	Bwe mba ow'okwewala okukwatibwa jaamu saawa 1:00 ez'oku makya zisobole okunsanga ku ofiisi, saawa 12 ez'oku makya we zituukira mba nnina okuba nga nvudde awaka.
I am also the Chairman of Uganda Forex Bureau and Money Remittance Association, and the Chairman of the Diocesan Advisory Committee for Centenary Bank.	Era nze ssentebbe wa Uganda Forex Bureau and Money Remittance Association, era nze ssentebe wa Diocesan Advisory Committee for Centenary Bank.
But my biggest challenge is that for 2010-2011.	Naye okusoomooza okwa maanyi kwe nnina kwe kwa 2010-2011.
I am the District Governor for Rotary District 9200, which covers Eritrea, Ethiopia, Kenya, Tanzania and Uganda.	Nze District Governor owa Rotary District 9200, ekiddukanya emirimu mu Eritrea, Ethiopia, Kenya, Tanzania ne Uganda.
What impact will the East African Community common market have on the Forex Bureau business?	Omukago gw'amawanga ag'omu buvanjuba bwa Afirika gunaakwata gutya ku bizineesi y'ebibanda bya ssente?
What advantages does the East African Community Common Market bring to service providers like you?	Birungi ki abantu abakola emirimu ng'egigyo bye bajja okufuna mu katale akagatta awamu amawanga g'omu buvanjuba bwa Afirika?
What is the future of forex business in the East African Community Common Market?	Ebiseera by'omu mu maaso ebya bizineesi y'ebibanda bya ssente binaaba bitya wansi wa w'akatale akagatta amawanga g'omu buvanjuba bwa Afirika?
During the transition, there shall be need for review of our laws that govern the Foreign Exchange Operations .	Ng'enkyukakyuka eyo egenda mu maaso tujja kwetaaga okuddamu okwekenneenya amateeka agafuga enzirukanya y'ebibanda bya ssente.
But one gentleman that really made an impact on my life is Professor Munene of Makerere University, who was my supervisor for my Masters in Business Administration dissertation.	Naye omusajja eyannyamba ennyo mu bulamu ye Profesa Munene owa yunivasite y'e Makerere, eyannungamya nga nsoma diguli ya masita mu bya bizineesi.
Development Finance Company of Uganda Bank last week announced stronger half year growth results, keeping the bank on track to achieve its 2010 targets.	Wiiki ewedde, bbanka ya DFCU yalangirira enkulaakulana gye yali etuuseemu mu myezi omukaaga egiyise, ne kiraga nti bbanka eyo eyolekedde okutuuka ku biruubirirwa byayo ebya 2010.
The bank’s Managing Director, Juma Kisaame, while releasing the results said the growth indicates an improvement compared to the same period in 2009.	Bwe yabadde afulumya alipoota eyo, maneja wa bbanka eyo, Juma Kisaame, yagambye nti alipoota eraga nti wabaddewo enkulaakulana ya maanyi okusinga bwe kyali mu 2009.
The bank’s net profit grew to shillings eleven point six billion from shillings eight point seven billion posted in the same period last year.	Amagoba ga bbanka gaalina okuva ku buwumbi munaana mu obukadde lusanvu omwaka oguwedde ne gatuuka ku buwumbi kumi na kamu mu obukadde lukaaga omwaka guno.
Total assets grew to shillings seven hundred ten point nine billion from five hundred forty five billion in June 2009.	Omuwendo gwa ssente ezibalirirwa mu bintu byayo gwalinnya okuva ku buwumbi 545 mu Jjuuni 2009 ne gutuuka ku buwumbi nga 711 omwaka guno.
Customer deposits grew to four hundred nineteen billion, up from two hundred eighty four billion in June 2009.	Ssente bakasitoma ze batereka mu bbanka zaalinnya okuva ku buwumbi 284 mu Jjuuni 2009 okutuuka ku buwumbi 419 omwaka guno.
All the bank fundamentals are looking better than they were last year.	Ebitongole bya bbanka byonna birinye omutindo.
Uganda Clays Limited, the manufacturers of clay construction materials, is negotiating for credit worth eleven point five billion from the National Social Security Fund .	Ekitongole kya Uganda Clays abakola eby'okuzimbisa mu bbumba, kyagala okwewola obuwumbi kkumi na kamu n'ekitundu okuva mu NSSF.
The Finance Manager Richard Kajungu told shareholders at the company’s Annual General Meeting that the National Social Security Fund Board has approved the loan.	Mu lukungaana olubaawo mu mwaka, maneja w'eby'ensimbi Richard Kajungu yategeeza abalina emigabo mu kampuni eyo nti NSSF yakkiriza okubawola ssente ezo.
Three billion of the loan will be used to facilitate the second phase of the factory slated to start next year.	Obuwumbi busatu ku ssente ezo bujja kukozesebwa mu kuzimba ekkolero ery'okubiri okujja okutandika omwaka ogujja.
The company also plans to modernise its semi automated Kajjansi based factory by 2013.	Kampuni era eteekateeka okulinnyisa omutindo gw'ekkolero ly'e Kajjansi omwaka gwa 2013 we gunaatuukira.
The other part of the money will help the company cut back costs of financing outstanding loans it received from Standard Chartered Bank and the East Africa. Development Bank.	Ssente endala zijja kuyamba kampuni okukeendeeza ku nsaasaanya ezikolebwa ku looni z'efuna okuva mu Standard Chartered Bank ne East Africa Development Bank.
The loans were secured three years ago to help the company construct its second factory in Kamonkoli in eastern Uganda.	Kampuni yafuna looni emyaka essatu emabega esobole okuzimba ekkolero lyayo ery'okubiri e Kamonkoli mu buvanjuba bwa Uganda.
Six month old Pinnacle Security Limited last week said they had acquired a hundred percent ownership of Protectorate Specialist Protection Consultants.	 Ekitongole kya Pinnacle Security Limited ekyakaweza emyezi mukaaga, wiiki ewedde kyagamba nti kyafuna obuyinza obwenkomeredde ku bwannanyini bwa Protectorate Specialist Protection Consultants.
The merger is looked at as a new development in the private security industry in Uganda.	Okwegatta okwo kutwalibwa ng'enkulaakulana empya etukiddwako mu by'okwerinda mu Uganda.
Pinnacle Group Vice Chairman Vincent Kayemba said the merger is aimed at creating a world class and a redefined security firm with an unparalleled network providing outstanding customer service.	Vincent Kayemba Omumyuka wa Ssentebe wa Pinnacle Group yagamba nti okwegatta okwo kugendereddwa okutondawo eby'okwerinda ebiri ku mutindo gw'ensi yonna era nga biwa abantu obuweereza obuli ku mutindo ogwa waggulu ennyo.
Pinnacle Security focuses on building a diplomatic security company with special emphasis on specialised security and risk management solutions.	Pinnacle Security essa essira ku kutumbula ekitongole ky'eby'okwerinda ekirina obukugu mu kukuuma eddembe n'okugonjoola ebizibu.
Protectorate Special Police Constable was founded by the Haworth family originally based in the United Kingdom in 1998.	Ekitongole kya Protectorate Special Police Constable kyatandikibwawo amaka ga Haworth nga mu kusooka kyali mu Bungereza mu 1998.
Special Police Constable is among the top five security companies in Uganda.	Ekitongole kya Special Police Constable kye kimu ku bitongole by'okwerinda ebitaano ebya waggulu mu Uganda.
Pinnacle Security is worth five billion and has invested three billion into Protectorate Special Police Constable.	Ekitongole kya Pinnacle Security kibalirirwamu obuwumbi butaano era kyassa obuwumbi busatu mu kitongole kya Protectorate Special Police Constable.
Uganda clays borrows eleven billion from workers fund Tanzania’s private airline, Precision Air, has added a sixth plane to its fleet.	Uganda clays yeewola obuwumbi kkumi na kamu okuva mu workers fund Tanzania’s private airline, Precision Air, eyeeyongeddeko ennyonyi ey'omukaaga ku nnyonyi zaayo.
