eng	kin
"The people that I met today in the IDP camps want to go back home in safety and dignity. 	Abantu nahuye na bo uyu munsi mu nkambi z'abimuwe barashaka gusubira mu rugo mu mutekano no mu cyubahiro. 
The way to address terrorism effectively is to provide not only hope but a future of reality."	Inzira yo guhangana n’iterabwoba ni ugutanga ibyiringiro ndetse ahubwo ni ejo hazaza h'ukuri.
Nigerian authorities have been closing IDP camps since late last year and want to close all camps by 2026. More than 2 million people have been displaced from their homes since the start of the Boko Haram insurgency in 2009.	Abategetsi ba Nijeriya bafunze ingando kuva mu mpera z'umwaka ushize kandi barashaka gufunga inkambi zose mu 2026. Abantu barenga miliyoni 2 bavanywe mu byabo kuva aho inyeshyamba za Boko Haram zitangiriye mu 2009.
But aid groups have been warning some communities may still be attacked.	Ariko amatsinda atabara yagiye aburira abaturage bamwe bashobora kugabwaho igitero.
"There are multiple solutions when it comes to resettlement. We need to get people stabilized," said Adenike Oladosu, a climate justice activist, met with the U.N. secretary-general.	Adenike Oladosu, uharanira ubutabera mu by'ikirere, yabonanye n'umunyamabanga mukuru wa Leta zunze ubumwe za Amerika ati: "Hariho ibisubizo byinshi mu bijyanye no gutuza. Tugomba gutuma abantu batekana." 
"Climate change is leading to the rise of armed conflicts affecting people in the region and around and the need for us to see that we have more climate action and not always military action."	Imihindagurikire y’ibihe ituma amakimbirane yitwaje intwaro yiyongera ku baturage bo mu karere ndetse no hirya no hino kandi dukeneye ko tubona ko dufite ibikorwa byinshi by’ikirere kandi ko atari ko buri gihe haba ibikorwa bya gisirikare.
The U.N. secretary-general ended his visit at the Abuja presidential village, where he met with President Muhammadu Buhari and his top Cabinet members.	Umunyamabanga mukuru wa Leta zunze ubumwe za Amerika yakoze uruzinduko rwe mu mudugudu wa perezida wa Abuja, aho yabonanye na Perezida Muhammadu Buhari n'abagize Guverinoma bakuru.
	
Al-Shabab Raids African Union Military Base	Al-Shabab yagabye igitero ku kigo cya gisirikare cy’ubumwe bwa Afurika
Al-Shabab fighters stormed an African Union military base in the village of El-Baraf in Somalias Middle Shabelle region early Tuesday, local officials and security sources say.	Abayobozi b'inzego z'ibanze ndetse n'abashinzwe umutekano bavuga ko abarwanyi ba Al-Shabab bateye mu birindiro by'ingabo z’umuryango w’ubumwe bw’Afurika mu mudugudu wa El-Baraf mu karere ka Somaliya Hagati mu karere ka Shabelle.
Officials told VOA Somali that the militants briefly seized the base before withdrawing from it. State media said Burundian solders at the base repulsed the attack.	Abayobozi babwiye VOA ikorera muri Somaliya ko abarwanashyaka bafashe ibirindiro mbere gato yo kubivamo. Ibitangazamakuru bya Leta byavuze ko abarwanyi bo mu Burundi bari mu kigo bashubije inyuma icyo gitero.
"The Federal Government of Somalia condemns in the strongest possible terms the heinous attack targeting the African Union Transition Mission in Somalia forward operating base in Elbaraf, Middle Shabelle," the Somali Ministry of Foreign Affairs posted on its official Facebook page.	Minisiteri y’ububanyi n’amahanga ya Somaliya yanditse ku rubuga rwayo rwa Facebook, igira iti: "Guverinoma y’igihugu cya Somaliya iramagana mu magambo akomeye bishoboka ko igitero kibi cyagabwe ku butumwa bw’inzibacyuho bw’umuryango w’ubumwe bw’Afurika Yunze ubumwe muri Somaliya i Elbaraf, hagati ya Shabelle."
"We extend our deepest condolences to the victims of this terrorist attack and their families."	Twihanganishije cyane abahuye n'ingaruka n'iki gitero cy'iterabwoba n'imiryango yabo.
The Mayor of El-Baraf, Abdullahi Haji Muhumed, said the militants started their attack with two suicide truck bombs. He said the militants then fought their way onto the base.	Umuyobozi w'akarere ka El-Baraf, Abdullahi Haji Muhumed, yavuze ko aba barwanyi batangiye kugaba ibitero bakoresheje bisasu bibiri by'amakamyo. Yavuze ko abarwanashyaka bahise barwanira mu birindiro.
Al-Shabab claimed the killing of 173 African Union forces. The group also claimed responsibility for capturing AU forces as prisoners-of-war. Both claims could not be independently verified. AU force headquarters and Somali military officials could not be immediately reached for comment.	Al-Shabab yatangaje ko hapfuye ingabo 173 z’umuryango w’ubumwe bw’Afurika. Uyu mutwe kandi wavuze ko ufite inshingano zo gufata ingabo za AU nk'imfungwa z'intambara. Ibyo birego byombi ntibishobora kugenzurwa mu bwigenge. Icyicaro gikuru cy’ingabo za AU hamwe n’abayobozi b’igisirikare cya Somaliya ntibashoboye guhita batanga ibisobanuro.
In an interview with VOA, Muhumed, who was not at the village at the time of the attack, said he was told there were "many deaths" among Burundian forces but could not give an exact figure.	Mu kiganiro yagiranye na VOA, Muhumed, utari mu mudugudu igihe igitero cyagabwaga, yavuze ko yabwiwe ko hari "imfu nyinshi" mu ngabo z’Uburundi ariko ko adashobora gutanga imibare nyayo.
"Fighting like this never happened in this area," he said. "It was heavy fighting."	Ati: "Imirwano nk'iyi ntabwo yigeze ibera muri kariya gace". Yari imirwano ikomeye.
He said two civilians were also killed and more than 10 others injured.	Yavuze ko abasivili babiri na bo bishwe abandi barenga 10 barakomereka.
Muhumed confirmed to VOA that al-Shabab militants withdrew from the base. He also reported airstrikes targeting the militants as they left the base but did not say who was responsible for the strikes.	Muhumed yemeje VOA ko abarwanyi ba al-Shabab bavuye mu birindiro. Yavuze kandi ko ibitero by’indege byibasiye abarwanashyaka ubwo bavaga mu birindiro ariko ntiyavuze uwagize uruhare muri ibyo bitero.
El-Baraf, approximately 150 kilometers north of Mogadishu, is one of the forward operating bases of African Union forces from Burundi.	El-Baraf, nko mu birometero 150 mu majyaruguru ya Mogadishu, ni kimwe mu birindiro by'ingabo z’umuryango w’ubumwe bw’ibihugu by’Uburayi ziba mu Burundi.
The incident marked the first major al-Shabab attack on AU forces since the mission changed its name and operational structures last month.	Iki cyabaye igitero cya mbere gikomeye al-Shabab yagabye ku ngabo za AU kuva ubwo butumwa bwahinduye izina n'imikorere yabyo mu kwezi gushize.
The U.N. Security Council, which authorized the new mission called the African Union Transition Mission in Somalia (ATMIS), gives it a mandate to reduce the threat posed by al-Shabab, support the capacity-building of Somali security forces, and conduct a phased handover of security responsibilities to Somalia. The mission has until the end of 2024 to operate in the country.	Akanama k'umuryango w’abibumbye gashinzwe umutekano, kemereye ubutumwa bushya bwitwa Mission Union Transition Mission muri Somaliya (ATMIS), giha inshingano yo kugabanya iterabwoba ryatewe na al-Shabab, gushyigikira kongerera ubushobozi inzego z’umutekano za Somaliya. Hakozwe kandi ihererekanyabubasha ry’umutekano muri Somaliya. Inshingano ifite kugeza mu mpera za 2024 gukorera mu gihugu.
	
India’s Muslims Mark Eid al-Fitr Amid Community Violence	Abayisilamu bo mu Buhinde bagize Eid al-Fitr mu gihe cy’ihohoterwa ry’abaturage
Muslims across India marked Eid al-Fitr on Tuesday by offering prayers outside mosques, even as the celebrations this year came in the backdrop of a series of recent attacks against the community during the month of Ramadan.	Ku wa kabiri, Abayisilamu bo mu Buhinde bizihije umunsi mukuru wa Eid al-Fitr basengera hanze y’imisigiti, nubwo kwizihiza uyu mwaka byaje nyuma y’ibitero byibasiye abaturage mu kwezi kwa Ramadhan.
"We will not have the same kind of festivity" this time, said Mohammad Habeeb ur Rehman, a civil engineer in Indias financial capital, Mumbai. "This is the most painful Eid with worst memories for Indian Muslims."	Mohammad Habeeb ur Rehman, umushakashatsi mu by'ubwubatsi mu murwa mukuru w'imari wa Indias, Mumbai, yagize ati: "Ntabwo tuzagira ibirori nk'ibyo." Uyu ni umunsi ukomeye ubabaza cyane twibuka abayisilamu bo mu Buhinde.
Anti-Muslim sentiment and attacks have surged across the country in the last month, including stone throwing between Hindu and Muslim groups during religious processions and subsequent demolitions of a number of properties mostly belonging to Muslims by authorities.	Mu kwezi gushize imyumvire yo kurwanya abayisilamu n'ibitero byagaragaye hirya no hino mu gihugu, harimo gutera amabuye hagati y'amatsinda y'abahindu n'abayisilamu mu gihe cy'imyigaragambyo y'idini ndetse no gusenya imitungo myinshi ahanini yari iy'abayisilamu n'abayobozi.
The community, which makes up 14% of Indias 1.4 billion population, is reeling from vilification by hard-line Hindu nationalists who have long espoused an anti-Muslim stance. Some leaders of Indias ruling Hindu nationalist Bharatiya Janata Party have tacitly supported the violence, while Prime Minister Narendra Modi has so far been silent about it. Eid al-Fitr is typically marked with communal prayers, celebratory gatherings around festive meals and new clothes, but celebrations in India for the past two years have been marred by COVID-19 restrictions.	Uyu muryango ugizwe na 14% by'abaturage ba Indias miliyari 1.4, bahangayikishijwe no gutukwa n’abenegihugu b’Abahindu bakomeye kuva kera bashyigikiye imyigaragambyo yo kurwanya Abayisilamu. Bamwe mu bayobozi b’ishyaka riri ku butegetsi ry’Abahindu baharanira inyungu z’Abahindu bashyigikiye byimazeyo ihohoterwa, mu gihe Minisitiri w’intebe Narendra Modi kugeza ubu acecetse. Ubusanzwe Eid al-Fitr irangwa n'amasengesho rusange, guterana kwizihiza amafunguro y'iminsi mikuru hamwe n'imyenda mishya, ariko ibirori mu Buhinde mu myaka ibiri ishize byarangijwe na COVID-19.
In Indian-controlled Kashmir, the Muslim festival has been subdued for the past three years because of an unprecedented military lockdown after India stripped the regions semi-autonomy in 2019, followed by the pandemic. The region also saw a rise in violence during Ramadan, with at least 20 militants, two civilians and five police and soldiers killed.	Mu mujyi wa Kashmir ugenzurwa n’Ubuhinde, iserukiramuco ry’abayisilamu rimaze imyaka itatu ryigaruriwe n’igitero kitigeze kibaho nyuma y’uko Ubuhinde bwambuye uturere igice cyigenga muri 2019, hagakurikiraho icyorezo. Muri ako karere kandi hagaragaye urugomo muri Ramazani, hapfa nibura abarwanyi 20, abasivili babiri n'abapolisi n'abasirikare batanu.
"As we prepare to celebrate Eid, a strong sense of collective loss jars at us," said Bashir Ahmed, a businessman in Srinagar.	Umucuruzi muri Srinagar, Bashir Ahmed yagize ati: "Mu gihe twitegura kwizihiza umunsi mukuru wa Eid, twumva ko ari ibibindi byuzuye igihombo kuri twe."
Kashmir is the Muslim-majority disputed region where a violent insurgency against Indian rule and New Delhis brutal crackdown has raged for over three decades. Tens of thousands of people have died in the conflict.	Kashmir ni agace kagizwe n’abayisilamu aho usanga inyeshyamba zikaze ku butegetsi bw’Ubuhinde ndetse n’igitero simusiga cya New Delhis kimaze imyaka isaga mirongo itatu. Abantu ibihumbi mirongo bapfiriye muri iyo ntambara.
Meanwhile in the capital, New Delhi, hundreds assembled in the Jama Masjid, one of Indias largest mosques, while offering Eid prayers there for the first time in over two years due to pandemic restrictions. Families came together early on Tuesday morning while many people shared hugs and wishes.	Hagati aho, mu murwa mukuru, New Delhi, abantu babarirwa mu magana bateraniye i Jama Masjid, umwe mu misigiti minini ya Indias, mu gihe basengaga umunsi mukuru wa Noheri ku nshuro yabo ya mbere mu myaka irenga ibiri kubera inzitizi z’ibyorezo. Imiryango yateraniye kare mugitondo cyo kuwa kabiri mugihe abantu benshi basangiye guhobera no kwifuriza.
	
Beijing Residents Brace for COVID-19 Lockdown	Abatuye Beijing bitegura Gumamurugo kubera COVID-19 
Unlike Shanghai, Beijing has yet to require that all its residents remain at home to contain the spread of COVID-19. Nevertheless, many people in its Chaoyang district and elsewhere are preparing for that possibility.	Bitandukanye na Shanghai, Beijing ntisaba ko abaturage bayo bose baguma mu rugo kugira ngo birinde COVID-19. Nubwo bimeze bityo ariko, abantu benshi mu karere kayo ka Chaoyang n'ahandi barimo kwitegura ku buryo bushoboka.
On Wednesday, city officials closed 60 subway stations, more than 10% of Beijing's vast system. They did not say when service would be resumed, according to ABC News.	Ku wa gatatu, abayobozi b'umugi bafunze gari ya moshi 60, zirenga 10% bya sisitemu ngari ya Beijing. Ntibavuze igihe serivisi izasubukurirwa nk'uko ABC News ibitangaza.
Beijing, a city of 21 million people, has been on high alert for the spread of COVID-19, as restaurants and bars pivot to takeout, gyms close and schools suspend classes indefinitely, according to CNBC.	Nk’uko CNBC ibitangaza, umujyi wa Beijing, umujyi utuwe na miliyoni 21, wakomeje kuba maso kugira ngo COVID-19 ikwirakwizwe, kubera ko amaresitora n'utubari bikurwaho, siporo zirafunga ndetse n'amashuri ahagarika amasomo mu gihe kitazwi.
People who live in "controlled" areas, neighborhoods where cases have been discovered, have been told to stay in the city, and all residents must test for the virus three times throughout the week, according to ABC.	Nk’uko ABC ibitangaza, abantu baba mu duce "tugenzurwa", mu duce twagaragayemo ibibazo, basabwe kuguma mu mujyi, kandi abaturage bose bagomba kwipimisha virusi mu cyumweru cyose.
Chinese authorities reported 5,489 cases nationwide on Wednesday, of which 4,982 were in Shanghai, which has been under a draconian lockdown for weeks.	Ku wa gatatu, abategetsi b'Abashinwa bavuze ko abantu 5489 mu gihugu hose, muri bo 4982 bari i Shanghai, bamaze ibyumweru byinshi bifunzwe.
Beijing reported 46 symptomatic cases and five asymptomatic on Wednesday. The city's total since April 22, what it considers the start of its omicron outbreak, is 544.	Ku wa gatatu, Pekin yatangaje ibibazo 46 by'ibimenyetso na bitanu bidafite ibimenyetso. Umujyi wose kuva 22 Mata, icyo ubona ko ari intangiriro yicyorezo cyawo, ni 544.
Mr. Zhang, a Beijing resident, said he had bought extra food and water, even though he doesn't think Beijing will be locked down like Shanghai. He asked that VOA not use his full name because he was afraid of attracting official attention.	Bwana Zhang utuye i Beijing, yavuze ko yaguze ibiryo n'amazi by'inyongera, nubwo adatekereza ko Beijing izafungwa nka Shanghai. Yasabye ko VOA idakoresha izina rye ryuzuye kuko yatinyaga gukurura abayobozi.
"I have six bags of rice, two bags of noodles, and several boxes of water, instant noodles and (nutritionally dense) biscuits, and I haven't stocked up too much," Zhang told VOA Mandarin in a phone interview last week. He said he bought his groceries online because the supermarket was crowded.	Mu cyumweru gishize, Zhang yatangarije VOA Mandarin ati: "Mfite imifuka itandatu y'umuceri, imifuka ibiri ya noode, hamwe n'amasanduku menshi y'amazi, isafuriya ihita hamwe na biscuits (byuzuye intungamubiri), kandi sinigeze mbika byinshi".Yavuze ko yaguze ibyo kurya kuri interineti kubera ko supermarket yari yuzuye.
Ms. Yao, who lives in the Chaoyang district, told VOA Mandarin that she had been stocking up on necessities since the beginning of this year, after the Ministry of Commerce recommended that everyone do so. She asked that VOA Mandarin not use her full name because she wanted to avoid official retribution.	Madamu Yao utuye mu karere ka Chaoyang, yatangarije VOA Mandarin ko yabitse ibikenerwa kuva mu ntangiriro z'uyu mwaka, nyuma y'uko Minisiteri y'Ubucuruzi ibasabye ko buri wese yabikora. Yasabye ko VOA Mandarin idakoresha izina rye ryuzuye kuko yashakaga kwirinda ibihano byemewe.
"I have always maintained a good habit of reserving food. So I have a lot of rice, noodles and oil at home," she said, adding that she figured her family would be fine even if Beijing locked down for a month.	Ati: "Nahoraga ngira akamenyero keza ko kubika ibiryo. Mfite rero umuceri, isafuriya n'amavuta mu rugo", akomeza avuga ko yasanze umuryango we uzaba mwiza nubwo Beijing yafunzwe ukwezi.
And while Beijing has not yet closed the city, citizens' lives have been disrupted.	Mu gihe kandi Beijing itarafunga umujyi, ubuzima bw’abaturage bwahurangabanye.
On April 28, the Beijing Chaoyang District Maternal and Child Health Care Hospital issued a notice that the outpatient and emergency departments of the hospital would suspend the admission of patients.	Ku ya 28 Mata, ibitaro byita ku buzima bw’ababyeyi n’abana bo mu karere ka Beijing Chaoyang byasohoye itangazo rivuga ko ishami ry’ibitaro n’ubutabazi by’ibitaro bizahagarika kwakira abarwayi.
On the same day, Chaoyang Hospital, one of the largest hospitals in Beijing, announced on its official Weibo account that its emergency department would also suspend the admission of patients. Weibo is China's equivalent of Twitter.	Kuri uwo munsi, ibitaro bya Chaoyang, kimwe mu bitaro binini i Beijing, byatangaje ku rubuga rwayo rwa Weibo ko ishami ryihutirwa naryo rizahagarika kwakira abarwayi. Weibo nu Bushinwa bungana na Twitter.
Angry Chinese netizens left more than 800 messages under the official WeChat account "Beijing Headline."	Abashinwa bafite umujinya mwinshi basize ubutumwa burenga 800 munsi ya konte ya WeChat "Umutwe wa Beijing."
"Why do you stop the emergency room as soon as there is a new COVID case, and how many people will be killed due to the secondary disaster caused by the COVID?" a netizen asked in a Weibo post.	"Kuki uhagarika icyumba cyihutirwa ukimara kubona ikibazo gishya cya COVID, kandi ni bangahe bazahitanwa n’impanuka ya kabiri yatewe na COVID?" umu netisen yabajije mu nyandiko ya Weibo.
Some Beijing residents said they were not worried about a Shanghai-like lockdown.	Bamwe mu baturage ba Beijing bavuze ko badahangayikishijwe no gufunga nka Shanghai.
"Basically, I'm not afraid," said Mr. Wang, who asked VOA Mandarin to not use his full name so he could avoid attracting authorities' attention. "The party, government and military are here, and the people are here."	Bwana Wang wasabye VOA Mandarin kudakoresha izina rye ryuzuye kugira ngo yirinde gukurura abayobozi. Ati: "Muri rusange, ntabwo ntinya." Ishyaka, guverinoma n'abasirikare bari hano, kandi abaturage bari hano.
However, Wang told VOA Mandarin, in mid-October last year, after one person in his apartment building was diagnosed as positive, about 600 people from more than 200 families were forced into isolation at several hotels in the Changping district for 21 days.	Icyakora, Wang yabwiye VOA Mandarin, ko hagati mu Kwakira umwaka ushize, nyuma yuko basanze umuntu umwe mu nyubako ye afite icyiza, abantu bagera kuri 600 bo mu miryango irenga 200 bahatiwe kwigunga mu mahoteri menshi yo mu karere ka Changping mu gihe cy'iminsi 21.
Wang and his wife were not allowed to share a room at their hotel.	Wang n'umugore we ntibari bemerewe gusangira icyumba muri hoteri yabo.
What particularly puzzled and annoyed Wang was that on the last day of the mandatory hotel quarantine, in addition to routine nasal and oral swabs during testing, authorities added anal swabs to the regimen.	Icyatangaje cyane kandi cyarakaje Wang ni uko ku munsi wanyuma wa karantine ya hoteri iteganijwe, usibye kwizuru ryamazuru hamwe n'umunwa mu gihe cyo kwipimisha, abayobozi bongeyeho anal kuri rejime.
Kasim Abdurehim contributed to this report.	Kasim Abdurehim yagize uruhare muri iyi raporo.
	
At US Urging, Fiji Seizes Russian Oligarch’s Yacht	Muri Amerika babisabye, Fiji Yafashe Yacht ya Oligarch yo mu Burusiya.
Another Russian oligarchs yacht was seized Thursday as part of efforts to punish Russia over its war in Ukraine.	Indi yacht yo mu Burusiya yafashwe mu rwego rwo guhana Uburusiya kubera intambara yabereye muri Ukraine.
At the request of the United States, Fijian officials took a $300 million yacht belonging to Suleiman Kerimov, the Justice Department said. Officials say the yacht is in Lautoka, Fiji.	Ishami ry’ubutabera rivuga ko bisabwe n’Amerika, abayobozi ba Fijiyani batwaye ubwato bwa miliyoni 300 z’amadolari ya Suleiman Kerimov. Abayobozi bavuga ko ubwato buri i Lautoka, muri Fiji.
Kerimovs yacht, the Cayman Island-flagged Amadea, reportedly has been in Fiji since last month, arriving from Mexico. Defense lawyers claimed the vessel belonged to another oligarch.	Yacht Kerimovs, ikirwa cya Cayman Flagged Amadea, bivugwa ko ari muri Fiji kuva mu kwezi gushize, ageze muri Mexico. Abunganira abaregwa bavuze ko ubwo bwato ari ubwa oligarch.
Kerimov had already been sanctioned by the U.S. in 2014 and 2018 for Russias activities in Syria and Ukraine. The European Union also sanctioned him.	Kerimov yari amaze kwemererwa na Amerika muri 2014 na 2018 kubera ibikorwa by'Uburusiya muri Siriya na Ukraine. Umuryango w’ubumwe bw’ibihugu by’i Burayi na we wamwemereye.
In March, the U.S. government announced a comprehensive effort to identify and seize the assets of wealthy Russians who have supported the government of Russian President Vladmir Putin, as part of the response to Moscows February 24 invasion of Ukraine.	Muri Werurwe, guverinoma y’Amerika yatangaje ko hashyizweho ingufu mu kumenya no gufata umutungo w’Abarusiya bakize bashyigikiye guverinoma ya Perezida w’Uburusiya Vladmir Putin, mu rwego rwo gusubiza i Moscou igitero cyo ku ya 24 Gashyantare.
The initiative, led by the Justice Department, is called Task Force KleptoCapture.	Iyi gahunda iyobowe n’ishami ry’ubutabera, yitwa Task Force KleptoCapture.
U.S. Attorney General Merrick Garland said Thursday in a statement there is "no hiding place for the assets of criminals who enable the Russian regime." He also said, "The Justice Department will be relentless in our efforts to hold accountable those who facilitate the death and destruction we are witnessing in Ukraine."	Ku wa kane, umushinjacyaha mukuru wa Leta zunze ubumwe za Amerika, Merrick Garland, yatangaje ko "nta hantu hihishe umutungo w’abagizi ba nabi bashoboza ubutegetsi bw’Uburusiya." Yavuze kandi ati: "Ishami ry’Ubutabera ntirizahwema gushyira ingufu mu kuryozwa aborohereza urupfu n’irimbuka tubona muri Ukraine."
In April, at the urging of the U.S., Spanish authorities seized a yacht belonging to Russian oligarch Viktor Vekselberg, the owner of the Russian conglomerate Renova Group.	Muri Mata, abisabwe na Amerika, abategetsi ba Espagne bafashe ubwato bwa oligarch yo mu Burusiya Viktor Vekselberg, nyiri itsinda ry’Abarusiya Renova Group.
Last week, the U.S. House of Representatives passed a measure that would allow the U.S. government to sell forfeited Russian properties worth more than $2 million for the benefit of Ukraine. The measures next step is the Senate.	Mu cyumweru gishize, Inteko ishinga amategeko y’Amerika yemeje ingamba zemerera guverinoma y’Amerika kugurisha imitungo y’Uburusiya yatakaye ifite agaciro ka miliyoni zirenga 2 z’inyungu za Ukraine. Ingamba zikurikira ni Sena.
(Some information in this report comes from Reuters.)	(Amakuru amwe muri iyi raporo aturuka muri Reuters.)
	
WHO Report Says COVID Cases Decline, Except in Americas, Africa	Raporo ya OMS ivuga ko Imanza za COVID zigabanuka, Usibye muri Amerika, Afurika
The World Health Organization said Wednesday that the number of newly reported coronavirus cases and deaths globally continued to fall in the last week, continuing a decline that began in March.	Ku wa gatatu, Ishami ry'Umuryango w'Abibumbye ryita ku Buzima ryatangaje ko umubare w'abantu banduye coronavirus n'impfu zavuzwe ku isi wakomeje kugabanuka mu cyumweru gishize, bikomeza kugabanuka byatangiye muri Werurwe.
In its weekly report on the pandemic, the U.N. health agency said there were about 3.8 million new infections and more than 15,000 deaths last week, a 17% and 3% drop on the week respectively. But those figures are believed to be a significant underestimate of COVID-19's true toll as increasing numbers of countries abandon widespread testing and surveillance.	Muri raporo y’icyumweru ivuga ku cyorezo, ikigo cy’ubuzima cya Leta zunze ubumwe z’Amerika cyavuze ko mu cyumweru gishize hari abantu bashya bagera kuri miliyoni 3.8 n’impfu zirenga 15.000, icyumweru 17% na 3% bikagabanuka. Ariko iyo mibare ngo ni ugusuzugura cyane umubare wa COVID-19 kuko umubare w’ibihugu ugenda ureka kwipimisha no kugenzura.
Still, WHO noted that cases rose by about a third in Africa and 13% in the Americas. There was also a nearly 70% jump in deaths reported in India, although that was attributed to delayed reporting rather than a recent surge of disease.	Ninde, OMS yavuze ko imanza ziyongereyeho kimwe cya gatatu muri Afurika na 13% muri Amerika. Habayeho kandi gusimbuka hafi 70% by'impfu zavuzwe mu Buhinde, nubwo ibyo byatewe no gutinda gutanga raporo aho kuba indwara ziherutse kwiyongera.
Last week, authorities in South Africa said they had noted an uptick in COVID-19 cases attributable to the BA.4 mutant of omicron, although they said it was too early to tell if that would result in a significant new wave of disease. Although the BA.4 version of COVID-19's omicron variant appears more infectious than omicron, WHO said there was no evidence yet that it was leading to substantially higher rates of hospitalization or death.	Mu cyumweru gishize, abategetsi bo muri Afurika yepfo bavuze ko babonye ikibazo cya COVID-19 cyatewe na BA.4 mutant ya omicron, nubwo bavuze ko hakiri kare kumenya niba ibyo byavamo indwara nshya. Nubwo verisiyo ya BA.4 ya COVID-19 ya omicron isa nkaho yanduye kurusha omicron, OMS yavuze ko nta kimenyetso cyerekana ko biganisha ku mubare munini w’ibitaro cyangwa urupfu.
Salim Abdool Karim, a public health expert at the University of KwaZulu-Natal, said that while only a "modest" rise in cases had been noted, South Africa was also in the middle of a holiday period and testing had dropped significantly. He said the cases were slowing and were "not following a rocket-like upward trajectory we would expect" in another spike of disease.	Salim Abdool Karim, impuguke mu buzima rusange muri kaminuza ya KwaZulu-Natal, yavuze ko mu gihe hagaragaye ubwiyongere bukabije mu manza, Afurika yepfo nayo yari mu kiruhuko kandi ikizamini cyaragabanutse cyane. Yavuze ko imanza zidindiza kandi ko "zidakurikiza inzira ya roketi imeze nk'izamuka hejuru".
At a press briefing on Wednesday, WHO emergencies chief Dr. Michael Ryan said it was too soon to tell if COVID-19 was entering a seasonal pattern and warned against countries dropping all of their restrictions too quickly — as many in the West have done.	Ku wa gatatu, mu kiganiro n'abanyamakuru, umuyobozi mukuru w’ibihe bidasanzwe muri OMS, Dr. Michael Ryan, yavuze ko bidatinze kumenya niba COVID-19 yinjiye mu bihe by’ibihe kandi akanaburira ibihugu kureka ibyo bibuza byose - nk'uko benshi mu Burengerazuba babikoze.
"The jury is still out as to how seasonal this virus will become," he said, explaining that it wasn't proven yet that COVID-19 would naturally drop off in the summer and that the world could yet face more unsettling variants. "If people are crowded together in conditions where a new variant is spreading, you will see high levels of transmission," he said.	Ati: "Inteko y'abacamanza iracyareba uko iyi virusi izagenda iba ibihe", asobanura ko bitaragaragaye neza ko COVID-19 izagwa mu mpeshyi kandi ko isi ishobora guhura n'ibindi bintu bitesha umutwe. Ati: "Niba abantu bateraniye hamwe mu bihe aho usanga ubundi buryo bushya bukwirakwira, uzabona ubwinshi bwo kwandura."
Meanwhile in China, authorities continued to crack down on cities, including Beijing, where more than 10% of the subway system was shut down in an effort to curb the virus' spread, after authorities in the capital already closed down indoor dining, gyms and school classes.	Hagati aho, mu Bushinwa, abayobozi bakomeje guhashya imijyi, harimo na Beijing, aho abantu barenga 10% bya sisitemu ya metero zafunzwe mu rwego rwo gukumira virusi ikwirakwizwa, nyuma y’uko abayobozi mu murwa mukuru bamaze gufunga ibyokurya byo mu ngo, siporo ndetse amasomo y'ishuri.
In Shanghai, rigid and widely derided restrictions have led to shortages of food and medical aid along with a wider — though likely temporary — impact on the national economy. Desperate, outraged citizens have confronted authorities at barricades and online, screamed out of their windows and banged pots and pans in a sign of frustration and anger.	Muri Shanghai, imbogamizi zikomeye kandi zisebya abantu benshi zatumye ibura ry'ibiribwa n'inkunga z'ubuvuzi hamwe n’ingaruka nini nubwo zishobora kuba iz'igihe gito - ku bukungu bw'igihugu. Abaturage bihebye, bararakaye bahanganye n'abayobozi kuri bariyeri no kuri interineti, bavuza induru bava mu madirishya maze bakubita inkono n'amasafuriya mu rwego rwo kwiheba n'uburakari.
	
Myanmar Supreme Court Rejects Aung San Suu Kyi Appeal on Corruption Charges	Urukiko rw'Ikirenga rwa Miyanimari rwanze ubujurire bwa Aung San Suu Kyi ku byaha aregwa bya ruswa
An appeal of a five-year jail sentence against ousted Myanmar leader Aung San Suu Kyi was rejected Wednesday by the country's supreme court.	Ku wa gatatu, urukiko rw’ikirenga rw’igihugu rwanze ubujurire bw’igifungo cy’imyaka 5 ku muyobozi wa Miyanimari wirukanwe Aung San Suu Kyi.
The decision reportedly came as soon as the claim for an appeal was lodged, and the court didn't entertain arguments from either side in the case.	Iki cyemezo ngo cyafashwe akimara gutanga ikirego mu bujurire, kandi urukiko ntirwakiriye impaka ku mpande zombi muri uru rubanza.
Suu Kyi, 76, was sentenced last week after being found guilty of 11 counts of corruption, including taking a bribe of cash and gold bars worth $600,000.	Mu cyumweru gishize, Suu Kyi, yakatiwe nyuma yo guhamwa n'ibyaha 11 bya ruswa, birimo gufata ruswa y'amafaranga n'utubari twa zahabu bifite agaciro ka $ 600,000.
Her lawyer called the charge absurd.	Umwunganizi we yavuze ko ikirego kitumvikana.
Suu Kyi had already been sentenced to six years for actions against the military, breaking COVID-19 rules and breaking a telecommunications law.	Suu Kyi yari amaze gukatirwa imyaka itandatu kubera ibikorwa byo kurwanya igisirikare, kurenga ku mategeko ya COVID-19 no kurenga ku itegeko ry'itumanaho.
She faces many more charges, and if found guilty could be sentenced to more than 150 years in jail.	Akurikiranyweho ibindi byaha byinshi, kandi aramutse ahamwe n'icyaha ashobora gukatirwa imyaka irenga 150.
Suu Kyi has been under house arrest since a military coup took over the country last year.	Suu Kyi afungiye mu rugo kuva ihirikwa ry’abasirikare ryigarurira igihugu umwaka ushize.
