en	ibo
Soyinka: elders are supposed to go and rest	Soyinka: Ndị okenye kwesiri ị ga zuo ike
Iceland has stopped male circumcision	Iceland amachiela ibe nwoke ugwu
Buhari promised the governors forum that security of lives and properties of Nigerians will always draw his attention	Buhari kwere otu ndị gọvanọ nkwa na nchekwa mmadụ na akụnụba ndị Naịjirịa niile ga na-enweta mgbado anya ya ọfụma.
while responding to him, Governor Masari said that his group came to Buhari's place for a condolence visit for two people that died in his house	Ka ọ na-asa ya, Govanọ Masari sị na ndi otu ya bịara be Buhari mgbaru maka mmadụ abụọ nwụrụ na be ya.
They also consoled the president on the accident that affected his son, Yusuf	Ha kenekwara onyeisiala maka mberede okporoụzọ metụtara nwa ya nwoke bụ Yusuf.
Nnamdi Kalu's wife: my life is insecure due to the absence of my husband	Nwunye Nnamdị Kanụ: Ndụ m gba ọtọ maka di m anọghị ya
Uchechi Kanu the wife of Nnandi Kanu who is the head of IPOB is weeping for her husband	Uchechi Kanu nwunye Nnamdị Kanụ bụ onyeisi ndị IPOB na-ebe akwa dị ya.
Uchechi Kanu told Igbo BBC that her children are asking after their father	Uchechi Kanụ gwara BBC Igbo na ụmụ ya na-ajụ ese nna ha.
She complained that it is difficult for her to look after their children.She pleaded for her husband to console her	Ọ sị na ọ na-ara ya ahụ ilekọta ụmụ ha. Ọ sị ka dị ya kasie obi ya.
The news reporters: Chioma Nkemdilim and Chimezie Ucheagbo	Ndị mere akụkọ a: Chioma Nkemdilim na Chimezie Ucheagbo.
IPOB has expressed their anger towards Ikpeazu	IPOB egosila iwe ha na-ebe Ikpeazu nọ
The IPOB group have responded to Governor Okezie Ikpeazu concening his speech about Nnamdi Kanu	Ndị otu IPOB asaala Gọvanọ Okezie Ikpeazu gbasara ihe o kwuru maka Nnamdi Kanu.
IPOB 	IPOB
IPOB is angry concerning the python dance which the Nigerian military performed in Abia state	IPOB na-ewe iwe gbasara egwu eke ndi agha Naijirịa gosiri n'Abia steeti
The IPOB group have responded to Abia state Governor, Okezie Ikpeazu concening his speech about their leader	Ndi otu IPOB asaala Gọvanọ Abia steeti bụ Okezie Ikpeazu gbasra ihe o kwuru maka onye isi ha.
through the newsletter the spokeman of IPOB Emma Powerful wrote to Igbo BBC, he stated that people will be against what Governor Ikpeazu spoke about Nnamdi kanu	Site n'akwukwọ ozi ọnu na-ekwuchitere ndi IPOB bụ Emma Powerful detara BBC Igbo, o kwuru na ndi mmadụ ga na-akatọ sị ihe gọvanọ IKpeazu kwuru maka Nnamdi Kanu.
he also betted and told Governor Ikpeazu that the Northerners are preparing, he should write out everything that will support what he said about their leader, especially that their leader abandoned the Eastern governors when BBC	O makwara aka si Gọvano Ikpeazu na ndị Ugwu Hausa na-akwado ya depụta ihe niile ga-akwado ihe o kwuru maka onye isi ha,tumaadị na onye isi ha gbahapụrụ Gọvanọ ndi ọwụwa anyanwụ mgbe BBC
Igbo service interviewed him	Igbo service gbara ya ajụju ọnụ.
from his mouth, 'told the world where, when him and his people met Nnamdi Kanu. We will agree for him to escape his false allegation against our leader	N'ọnụ ya,'gwa ụwa ebe,mgbe ya na ndị ya so zụkọta Nnamdi Kanu. Anyi agaghị ekwe ka ọ gbanahụ asị ọtụru maka onye isi anyi'.
she said that whatever Governor Ikpeazu said concering their leader do not bother them because they are all lies	Ọ sị na ihe ọbula Govanọ Ikpeazu kwuru gbasara onye isi ha emetutaghị ha makana ọ bụ cha asị.
this word means that Ikpeazu and Igbo land governors supported the Nigerian soldiers when they performed 'python dance' in Igbo land in 2017	Okwu a pụtara na nkwado Ikpeazu na ndị gọvanọ ndị ala Igbo ndị ọzọ kwadoro ndị agha Naịjirịa mgbe ha mere njeghari ha kpọrọ 'Egwu Eke' n'ala Igbo na afọ 2017.
Nnamdi Kanu has not been seen since when his members said that Nigerian soldiers attacked his father's house. the Nigerian soldiers denied having Kanu in their custody	Ahụgbeghi Nnamdị Kanu kemgbe ndị otu ya si na ndi agha Naịjirịa wakporo be nna ya. Ndị agha Naịjirịa na-agọ na Kanu anọghi ha na-aka.
the news that will interest you	Akụkọ ndị ga-amasị gị:
what will stop the problem of cattle rearing in Igbo land?	Gịnị ga-akwụsị nsogbu dị n'ịchị ehi n'ala Igbo?
my story will be more than this- Simone Biles	Akụkọ m ga-akarị nke a' - Simone Biles
The police has released Ezekwesili	Ndị uwe ojii ahapụla Ezekwesili
do you know how to recite 'a b ch d' in Igbo language?	Ị ma agụ 'a b ch d' n'asụsụ Igbo?
see those who attempted reciting 'a b ch d' in Igbo language	Lee ndị nwara ịgụ 'a b ch d' n'Igbo.
Igbo language is sweet but many people do not know how to recite Igbo 'a b ch d' which is the main thing in Igbo language	Asụsụ Igbo dị ụtọ mana ọtụtụ ndị mmadụ amaghị etu esi agụ mkpụrụ 'a b ch d' Igbo nke bụ isi a hụrụ kwawa okpu n'asụsụ Igbo.
we told people to recite 'a b ch d'	Anyị gwara ndị mmadụ ka ha gụọ 'a b ch d'.
the news reporters: Chimamaka Ihenacho and Chioma Nkemdilim	Ndị mere akụkọ a: Chimamaka Ihenacho na Chioma Nkemdilim.
Kanu's wife: federal government is lying	Nwunye Kanu: Gọọmenti etiti na-atụ asị
see what Uchechi Kanu, Nnamdi Kanu's said about her husband, IPOB and Federal state	Lee ihe ndi Uchechi Kano, bụ nwunye Nnamdi Kanu kwuru gbasara di ya, IPOB na gomeenti etiti.
Uchechi Kanu and Nnamdi Kanu	Uchechi Kanu na Nnamdi Kanu
Uchechi Kanu does not know her husband's whereabout	Uchechi Kanu amaghị ebe di ya nọ
Nnamdi Kanu the leader of IPOB who have been missing since last year September. when we were interacting with his wife Uchechi Kanu, she said her mind about him	Nnamdi Kanu bu onyeisi IPOB bụ onye a na-achọ achọ kemgbe September afọ gara aga. Mgbe anyị na nwunye ya bụ Uchechi Kano, na-akpakọrịtara, o kwuru uche ya gbasara ya.
these are the things she said:	Ihe ndị a bụ ihe o kwuru:
she does not know her husband's whereabout	1.Ọ maghị ebe di ya nọ
she said that she has not seen her husband, that the last time they interacted was when the soldiers came and shot in their house in Umuahia when they did 'Operation python dance'	O kwuru na ya ahubeghi di ya anya, nakwa n'oge ikpeazu ha ji kpakọrịta bụ mgbe ndị agha bịara gbaa egbe n'ụlọ ha dị n'Umuahia oge ha na-eme 'Operation Python Dance'.
she said that the Federal government is holding her husband	2.O kwuru na ndị gomeentị etịtị ji di ya
she said it was Federal government that sends soldiers to take her husband. because of it, she believes they know his whereabout. that if he is alive, that they took him to Sokoto	O kwuru na ndị gomeenti etiti bụ ndị zitere ndị agha kpọrọ dị ya. N'ihi ya, o kwetere na ha ma ebe ọ nọ. Na ọ bụrụ na ọ dị ndụ na ha bụrụ ya ga Sokoto.
108 senators are in Ekweremadu's residence	Ndị Sinetọ mmadụ 108 nọ na be Ekweremadu
there was a peaceful movement against the impeachment of Rochas' deputy	E mere ngaghari iwe megide ịchụtu osote Rochas
there has been a search for this child since the beginning of July	A na-achọ nwata a kemgbe mbido Julaị
she does not know whether he is alive or dead	3.O maghị ma ọ dị ndụ ka ọ nwuru anwu
she requested that the custodians of Kanu should declare his whereabout. that if he is dead, they should expose his corpse	O kwuru na ndị ji Kanu kwuo ebe ọ nọ. Na ọ bụrụ na ọ nwụọla, ha bupụta ozu ya.
she said that the federal government is lying	4.O kwuru na ndị gọọmenti etiti na-atụ asị
she remembered that when federal government said that they are not holding her husband, that they later agreed that he was in their custody	O lotere na mgbe ndị gọọmenti etiti kwuru na ha ejighi di ya, na ha mechara kweta na ọ bụ ha ji ya. Na ndị mere ụdị ihe a, kedu onye ga-ekweta na ihe ha na-ekwu ugbua bụ eziokwu?
Lai Mohammed said that he is not in their custody	5.Lai Mohammed kwuru na ha ejighị di ya
Mohammed also stated that the video which is showing when the soldiers went to Kanu's house in Umuahia is a fallacy. But Uchechi Kanu did not agree on what he said	Muhammed kwukwara na onyonyo na-egosi mgbe ndị agha gara n'ụlọ Kanu n'Umuahia bụ adịgboroja. Mana Uchechi Kanu ekweteghi na ihe o kwuru.
it seems to her that her life is meaningless due to the absence of her husband	6.Ọ dị ya ka ndu ya gba ọtọ maka di ya anọghị ya
she said that it is difficult for her to take care of the children single handedly. that it is a difficult task	Ọ sị na ọ na-ara ya ahụ ilekọta ụmụ ha sọọsọ ya. Na ọ bụ ihe siri ike.
she consoled her husband	7.Ọ kasiri di ya obi
she said that things will be fine	O kwuru na ihe ga-adị mma.
there is no benefit her husband is deriving from this journey he is embarking upon	8.O nweghi uru ọ hụrụ di ya na-erita na njem a ọ nọ na ya
she said that as it is now, they do not have house, they have nothing. what her husband has when he was around were given to him by people	O kwuru na otu o si diri ugbua, ha enweghi ụlọ, na onweghi ihe ha nwere. Ihe ndị di ya nwere mgbe ọ nọ ya bụ ihe ndị mmadụ nyere ya.
she stated that those in leadership will not allow an Igbo to rule Nigeria	9.O kwuru na ndị nọ n'ọchịchị agaghị ekwe ka onye Igbo chịa ala Naịjirịa
she stated that if they will allow an Igbo to rule, Ojukwu would have won when he contested. she also stated that if the federal government does not release her husband, that people will not be vote	O kwuru na ọ bụrụ na ha ga-ekwe ka ndị Igbo chịa, Ojukwu karị imeri mgbe ọ pụtara ịzọ ọchịchị. O kwukwara na ọ bụrụ na ndị gọọmenti etiti ewepụtaghị di ya, na ndị mmadụ agaghị eme ntụlịaka.
she said that there is nothing to repeent of from what her husband did	10.O kwuru na o nweghi ncheghari gbasara ihe di ya mere
He said that he is in support of him.	O kwuru na ọ kwụ di ya n'azụ.
That what they are doing is for the progress of the Biafrans	N'ihe ha na-eme bụ maka ọdịmma na ọganịrụ nke obodo ha bụ Biafra.
news that will interest you	Akụkọ ndị ga-amasị gị:
Do you know Igbo any identity?	Ị ma ebe njirimara ala Igbo ụfọdụ dị?
I became someone's wife in six days	A ghọrọm nwụnye mmadụ na mkpụrụ ụbọchị isii'
you can sing the National Anthem with Igbo language	Ị ga-ejinwụ asụsụ Igbo gụọ 'National Anthem'
Premier League: this is a battle for giants	Premier League: Nke a bụ ọgụ ndị dimkpa
Leicester City, Arsenal and other football clubs will compete this weekend	Leicester City, Arsenal na otu bọọlụ di icheiche ga-asọ mpi na ngwụcha izuụka a.
Kelechi Iheanacho scored a goal	kelechi Iheanacho nyere goolu
Iheanacho a Nigerian is Leicester City player	Iheanacho nwa afọ Naịjirịa bụ onye otu Leicester City
various football competition that will take place at the end of this week will be interesting 	Asọmpị egwuregwu bọọlụ dị icheiche ga-eme na ngwụcha izu a ga-ekpo ọkụ.
In premier league competition, Leicester City and Stoke City will play match	N'asọmpị iko Premier League, Leicester City na Stoke City ga-asọ mpi.
Newcastle and AFC Bournemouth will play their own match.	Newcastle na AFC Bournemouth ga-asọ mpi nke ya.
others are Liverpool and West Ham United, and Watford and Everton.	Ndị ọzọ bụ Liverpool na West Ham United, na Watford na Everton.
Google has saluted Keshi	Google ekpụpurula Keshi okpu
Oliseh and Fortuna Sittard have separated	Oliseh na Fortuna Sittard agbasala
This is the first time Arsenal is involving in UEFA/Europa competition since 2000	Nke a bụ nke mbu Arsenal so na asọmpị UEFA/Europa ke mgbe afọ 2000
In yesterday's match, Ostersunds FK won Arsenal with 2 goals against 1	N'egwuregwu nke ụnyaahụ, Ostersunds FK meriri Arsenal ọkpụ abụọ a satara otu.
Arsene Wenger the Arsenal coach said the victory against Ostersunds FK in the past week entered their head	Arsene Wenger bụ onye nkuzi Arsenal kwuru na mmeri ha meriri Ostersunds FK n'izuụka gara aga bara ha n'isi.
we do not know what to do with football, this caused us great trouble	Anyị amaghị ihe a ga-eji bọọlụ mere, ihe a bụtere anyị nnukwu nsogbu.
Newcastle and AFC Bournemouth	Newcastle na AFC Bournemouth
Newcastle: will they win in this?	Newcastle ha ga-emerị na nke a?
In the match which comes up this weekend, a spokesman on the matter of sports who is Stephen Mbonu told the Igbo BBC that the match might go two way 	N'asọmpị nke a na-abịa na ngwụcha izu a, onye ọnụ na-eru n'okwu n'ihe gbasara egwuregwu bọọlụ bụ Stehen Mbonu gwara BBC Igbo na asọmpị a nwere ike ị ga ụzọ abụọ.
Bournemouth and Newscastle are clubs in the same position. nobody knows who will win	Bournemouth na Newscastle bụ otu bọọlụ nọ n'ime otu ọnọdụ. Onweghị onye mara onye ga-enwe mmeri.
Lverpool is striving to enter first four position	Liverpool na-agbanị ịba ọkwa anọ nke mbu
Stephen Mbonu also stated that in the few previous matches, Liverpool has been playing well	Stehen Mbonu kwukwara n'asọmpị ole na ole gara aga, Liverpool ka na-agba ọfụma.
in the match between Liverpool and West Ham United, Stephen is hopeful that the players of Mohamed Sala, Sadio Mane will perform well	N'asọmpị Liverpool na West Ham United, Stephen nwere olileanya na ndị egwuregwu Mohamed Sala, Sadio Mane ga-eme ọfụma.
Liverpool has problem with mid fielders and defenders. this club suppose to train new players in the next market season	Liverpool nwere nsogbu ndị na-agba bọọlụ na etiti na ndị azụ. Otu a kwesịrị ịzụ ndị egwuregwu ọhụrụ n'oge ahịa n'abịa.
news that will interest you	Akụkọ ndị ga-amasị gị
Didier Drogba's son has joined Guingamp club	Nwa Didier Drogba esonyela otu Guingamp
Champion league: as today's sports have	Champions League: Ka egwuregwu taa nwere
what you will do to prevent indigestion	Ihe ị ga-eme ka ị wee gbochie nri agbarighị agbari
what you will do to prevent indigestion and also heart heat in your body	Ihe ị ga-eme ka ị wee gbochie nri agbarighị agbari nakwa ọkụ obi n'ahụ gị.
food that preventt heart heat and indigestion in the body	Nri na-egbochi ọkụ obi na nri agbarighi agbari n'ahụ
the Nigerian army have killed 5 members of the Boko Haram in Sambisa	Ndị agha Naịjirịa egbuola ndị Boko Haram 5 na Sambisa
The Nigerian army who are fighting against Boko Haram sets have killed 5 persons among them and caught one of them	Ndị agha Naịjirịa na-ebuso ndị Boko Haram agha egbuola mmadụ 5 n'ime ha ma nwuchikọ otu onye ndi ha.
Nigerian army 	Ndị agha Naịjirịa
Nigerian army is fighting against Boko Haram, but Boko Haram resist strongly	Ndị agha Naịjirịa na-ebuso Boko Haram agha, mana ndị Boko Haram Kpọrọ ekwo nkụ
The Nigerian soldiers are fighting against these evil doers called Boko Haram in North Eastern Nigeria, also said that they killed five Boko Haram members in Sambisa forest	Ndi agha Naịjirịa nọ na-ebuso ndị ọmekataraihepụụjọ a na-akpọ Boko Haram agha na ọwụwa anyawụ ugwu Naịjirịa na-akọwa na ha gburu ndị Boko Haram ise na ọhịa Sambisa.
it is the second in command of the Nigerian army in department of 'Operation Lafiya Dole' known as Cornel Onyeama Nwachukwu said that in Maiduguri that the Nigerian army on duty in Sambisa captured one leader of Boko Haram and released three persons in their custody	Onye bụ osote onye na ekwuchitire ndị agha Naịjirịa na ngalaba nke 'Operation Lafiya Dole' bụ Kọnel Onyeama Nwachukwu kwuru na Maiduguri na ndị agha Naịjirịa nọ ọrụ na Sambisa nwụchịkọrọ otu onyeisi Boko Haram ma tọhapụ mmadụ atọ ha jị eji.
other things that the soldiers got are vehicle and large guns and bullets which the Boko Haram use in their operation	Ihe ọzọ ndị agha jidekwara bu ụgbọala na nnukwu egbe na mgbọ ndị Boko Haram jị akpa ike.
they also killed some of the Boko Haram members when they were clearing the Boko Haram camp known as Sabil-Huda inside Sambisa forest	Ha gbukwara ndị agha Boko Haram ụfọdụ mgbe ha na ekpocha ọdọ Boko Haram ha kpọrọ 'Sabil-Huda' di n'ime ọhịa Sambisa.
Cornel Nwachukwu said that two Nigerian soldiers were injured during the operation	Konel Nwachukwu kwuru na ndị agha Naịjirịa abụọ merụrụ ahụ ka ha nọ ọrụ a.
Nwachukwu stated that the Nigerian soldiers began this war against Boko Haram in Zairo Camp on Friday, despite the buried bomb of Boko Haram damaged their war vehicle 	Nwachukwu sị na ndị agha Naịjirịa bidoro ịbuso ezumezu Boko Haram akpọrọ 'CAMP ZAIRO' agha nke a na Frịde, agbanyeghị na ogbunigwe ndị Boko Haram niri n'ala mebiri ụgbọala ha ji alụ ọgụ ahu.
Cornel Nwachukwu said that they got one motorcycle, two iron,three Boko Haram flag/banner, five boxes of corn floor, one AK47, and other various things	Konel Nwachukwu kwuru na ha nwetere otu ogbaatumtum, igwe abụọ, ọkọrọtọ Boko Haram ato, igbe ise nri oka di n'ime ha, egbe AK47 otu, na ihe ndị ọzọ dị icheiche.
the owners of the captured students said that the missing people are 105 in number	Ndị nwe ụmụakwụkwọ Boko Haram nwụchịkọrọ sị na ndi na efu dị mmadụ otu nari na ise.
Remember that Boko Haram are doing terrible things in various Eastern parts. In the past week, they attack the school in Dapchi in Yobe state and captured up to 105 students	Cheta na Boko Haram na akpa ike na gburugburu ọwụwa anyawụ dị icheiche. Na ịzụụka gara aga, ha wakporo ụlọ akwkwọ dị na Dapchi na Yobe steeti we nwụchịkọrọ ihe ruru ụmụakwụkwọ otu nari na ise.
Lai Mohammed: it is 110 students that are missing in Dapchi community	Lai Mohammed: Ọ bụ Ụmụakwụkwọ 110 na-efu n'obodo Dapchi
Minister of information Lai Mohammed has stated that it is 110 students who are missing in Dapchi, Yobe state	Mịnịsta na-ahụ maka mgbasa ozi Lai Mohammed, ekwuola na ọ bụ ụmụakwụkwọ 110 na-efu na Dapchi, Yobe steeti.
Dapchi students	Ụmụ akwụkwọ Dapchi
Lai Mohammed has said that it is 110 ladies who are missing in Government Science and Technical college in Dapchi, Yobe state	Lai Mohammed ekwuola na ọ bụ ụmụagbọghọ 110 na-efu n'ụlọakwụkwọ Government Science and Technical College dị na Dapchi, Yobe State.
as one week is about to pass, the Boko Haram sets attack Dapchi community in Yobe state. Nigerian government has stated that it is 110 students that were kidnapped on that Monday	Ka otu izu na-achọ ịgafe ka ndị Boko Haram wakporo obodo Dapchi dị na Yobe steeti, gọọmentị Naịjirịa ekwuputala na ọ bụ ụmụakwụkwọ 110 ka a tọrọla n'ụbọchị Mọnde ahụ.
Minister of information Lai Mohammed, wrote a newsletter where he stated the number of the missing people as he visited Yobe state again, today	Mịnịsta na-ahụ maka mgbasa ozi Lai Mohammed, depụtara akwụkwọ nkwuputa ebe ọ kpọpụtara ọnụọgụgụ mmadụ ole na-efu ka ọ gara Yobe steeti ọzọ taa.
he said 'we are in Yobe state where we are trying console the parents of those ladies, to let them know that they are not alone, to also let them know that we will not rest till their children are found. we will carry the parents along in all things we are doing concerning it'	O kwuru: 'Anyị nọ na Yobe steeti ebe anyị na-agba mbọ imeda obi nne na nna ụmụagbọghọ ndị ahụ, ime ka ha mara na ọbụghị nanị ha kwụ, imekwa ka ha mara na anyị agaghị ezu ike ruo mgbe achọtara ụmụaka ahụ. Anyị ga na-ebu nne na nna ndị a n'ihe niile anyị na-eme gbasara ya.'
see the names of the 105 missing students in Dapchi	Lee aha ụmụakwụkwọ 105 na-efu na Dapchi'
Yobe attack: two students are dead	Mwakpo Yobe: Ụmụakwụkwọ abụọ anwụọla
Mohammed also said this in his meeting with the Federal government, Yobe government, the school, the parents, the security and governing council of Bursari where Dapchi is, in Damaturu today	Mohammed kwuputara nke a na nzukọ ya na ndị gọọmentị etiti, gọọmentị Yobe, ụlọakwụkwọ ahụ, ndị nne na nna, ndị nchekwa na ndị gọọmentị ọchịchị obodo Bursari ebe Dapchi dị, nwere na Damaturu taa.
he said that the head of the school Adama Abdulkarim and Mohammed Lamin the Yobe state Commissioner for Education told him that there were 906 students in the school when they were attacked 	O kwuru n'onyeisi ụlọakwụkwọ ahụ bụ Adama Abdulkarim na Mohammed Lamin bụ kọmishọna na-ahụ maka agụmakwụkwọ na Yobe gwara ya na ụmụakwụkwọ 906 nọ n'ụlọakwụkwọ ahụ ụbọchị awakporo ha
this is coming as the parents of the ladies wrote the names of 105 missing persons	Nke a na-abịa ka nne na nna ụmụagbọghọ a depụtara aha mmadụ 105 na-efu.
there is no division in IPOB: Emma Powerful	Enweghị nkewa dị na IPOB - Emma Powerful
IPOB said that there is no new existing IPOB, they also said that Ezenachukwu Okwudili is not their leader	IPOB kwuru na onweghị otu IPOB ọhụrụ putara, ha kwukwa na Ezenachukwu Okwudili abụghị onye isi ha.
IPOB flag	Ọkọlọtọ IPOB
IPOB began violent movement in 2012	IPOB bidọ nghaghari iwe ya n'afọ 2012
Emma Powerful the spokesman who wants Biafra known as IPOB to be separated from Nigeria has said that the news that IPOB has separated is a fake news	Emma Powerful bụ ọnụ na-ekwuchitere otu chọ ka ekewapụta Biafra site na Naịjirịa akpọrọ IPOB ekwuola na akụkọ kwuru na IPOB ekewaala bụ akụkọ ashị.
In the newsletter sent to the journalists from IPOB, Powerful said that there is nobody as Ezenachukwu Okwudili who claims to be the new leader of the IPOB	N'akwụkwọ ozi IPOB zipuru ndị nta akụkọ, Powerful kwuru na onweghị onye ọbụla bụ Ezenachukwu Okwudili n'akpọ onwe ya onye isi ọhụrụ otu IPOB.
He stated also that it is the various politicians who are the haters of Igbo land want the IPOB dead	O kwukwara n'obụ ndị ndọrọndọrọ ọchịchị dị icheiche bụ kwa ndị iro ala Igbo chọ ka IPOB nwu ọnwụ n'ike.
IPOB has made new declaration	IPOB etieela mkpu ọhụrụ
IPOB has replied Governor Ikpeazu	IPOB asaala Gọvanọ Ikpeazu
IPOB has insulted the Western APC members 	IPOB akpọrịala ndị APC ọdịda anyanwụ
What is being needed is for the Igbo land and members of IPOB to be confused' written by Powerful .	Ihe a chọrọ bụ ka ala Igbo na ndị otu IPOB nwe mgbagwoju anya,' Powerful dere. 
Now, the Igbo BBC is still eager to get the so called new IPOB members to defend themselves.	Ugbua BBC Igbo ka na chọ ị nweta ndị kpọrọ onwe ha otụ ohurụ nke IPOB ka ha kwuputa ọnụ nke ha. 
What we know about Ezenachukwu Okwudili.	Ihe anyi mara maka Ezenachukwu Okwudili 
Ezenachukwu Okwudili is the new name being called for IPOB group.	Ezenachukwu Okwudili bụ aha ọhụrụ a na-akpọ maka otu IPOB. 
There is nothing much known about him, but the message sent across to journalists explains that Nnamdi Kanu has abandoned his group which is IPOB.	Onweghị ọtụtụ ihe amara maka ya, mana ozi Okwudili zịpụrụ ndị ntaakụkọ na-akọwa na Nnamdi Kanu gbahapụola ndị otu ya bụ IPOB 
Okwudili wrote that his newly created group will be a group that will operate in peace.	Okwudili dere na otu IPOB ọhụrụ nke ya mụpụtara ga-abụ otu na-eme emuma nke ha n'udo 
But they gave Nigerian government mandate to release of two weeks to release all the members of the IPOB who are kept in various prisons in Nigeria.	Mana ha nyere gọọmentị Naijiria izu-uka abụọ ị tọhapụ ndị otu IPOB niile ajidere na mkpọrọ dị icheiche n'ala Naịjirịa. 
Nnamdi Kanu and IPOB in number:	Nnamdi Kanuna IPOB n'ọnụ ọgụ:
IPOB started in 2012, they want the separation of Nigeria for them to be given their own country called Biafra.	IPOB bidoro n'afọ 2012, ha na-achọ ka ekewa Naịjirịa wee kenye ha mba nke ha akpọrọ Biafra. 
In October, 2015, the Nigerian army captured Nnamdi Kanu the leader of IPOB in Lagos.	N'ọnwa Okotoba 2015, ndị agha Naịjirịa nwụchịrị onye isi ndị IPOB bụ Nnamdi Kanu na Lagos. 
Nobody is aware of Nnamdi Kanu's whereabout now.	Onweghị onye mara ebe Nnamdi Kanu nọrọ ugbua 
In April 2017, the Supreme Court in Abuja discharged Nnamdi Kanu through the witness of Senator Alaribe.	N'ọnwa April nke afọ 2017 ka ụlọikpe ukwu n'Abuja hapụrụ Nnamdị Kanu n'aka Sinetọ Alaribe n'aka mbe. 
In September 2017, the soldiers started the movement they called 'pyhton dance' and attacked Nnamdi Kanu in Umuahia.	N'ọnwa Septemba afọ 2017 ndị agha bidoro ngagharị ha kpọrọ 'Egwu Eke' wee wakpo be Nnamdi Kanu n'Umuahia. 
Till now, nobody is aware of Nnamdi kanu's whereabout.	Luo ugbua, onweghị onye mara ebee Nnamdi Kanu nọrọ. 
In September 2017, Abuja court declared that IPOB is a terrorist group.	N'onwa Septemba afọ 2017, ụlọ ikpe n'Abuja kpebiri n'IPOB bụ otu na-eyi egwu. 
Now, there is nothing being said by the government concerning the said new IPOB.	Ugbua, onweghị ihe gọọmentị kwuru maka otu IPOB a asi pụtara ọhụrụ. 
The news that will interest you: Nigerian government has sent helicopter in search of Dapchi children.	Akụkọ ndị ga-amasị gị: 
A man has killed his children in Awada.	Gọọmenti Naịjirịa ezipụla ụgbọelu ịchọ ụmụ Dapchi 
What is 'window' in Igbo language?	Otu nwoke egbuola ụmụaka ya n'Awada 
Igbo BBC interviewed people to find out those who speak Igbo very well.	Kedụ ihe bụ 'window' n'asụsụ Igbo? 
Igbo BBC interviewed people to find out those who speak Igbo very well.	BBC Igbo gbara ndị mmadụ ajụjụ ọnụ ị chọpụta ndị ma asụ Igbo ọfụma. 
They were asked what is 'window' in Igbo language.	BBC Igbo gbara ndị mmadụ ajụjụ ọnụ ị chọpụta ndị ma asụ Igbo ọfụma. A jụrụ ha ihe bụ 'window' n'asụsụ Igbo. 
Neymar's leg dislocation has disqualified him from the next match.	Ụkwụ Neymar rọjiri akụpụla ya n'asọmpi na-abịa 
Neymar will not take part in the match against Paris St-Germain and Real Madrid because he was injured.	Neymer agaghị eso n'asọmụnpị Paris St-Germain na Real Madrid makana o merụrụ ahụ. 
Neymar da Silva Santos. 	Neymar da Silva Santos 
PSG bought Neymar with 200 million dollars in 2017.	PSG ji nde dọla nari abụọ zụ Neymar n'afọ 2017 
Neymar da Silva Santos a player of Paris St-Germain club will not be part of the match of Paris St-Germain against Real Madrid because he has leg injury. 	Neymar da Silva Santos bụ onye egwuregwu bọọlụ otu Paris St-Germain agaghị eso n'asọmụnpị Paris St-Germain na Real Madrid n'iko Champions League maka omerụrụ ahụ n'ụkwụ. 
The 26 year old Neymar had leg injury on Sunday during Paris St-Germain match against Marseille.	Neymar dị afọ iri abụọ na isii merụrụ ahu n'ogweụkwụ n'ụbọchị ụka n'asọmpị Paris St-Germain na Marseille. 
NFF has remembered Okocha and others.	NFF echetala Okocha na ndị ọzọ 
Oliseh and Fortuna Sittard have separated.	Oliseh na Fortuna Sittard agbasala 
Doctors have not disclosed when Neymar will recover.	Ndị dokinta ekwubeghị oge Neymar ga-agbake. 
Neymar joined PSG club in August 2017.	Neymar ba otu PSG n'ọnwa August n'afọ 2017
He scored up to 29 goals in 30 matches.	O nyere goolu ruru iri abụọ na itoolu n'ime asọmpị iri atọ. 
Now, PSG is toping Monaco with 40 points.	Ugbua PSG ji akara iri anọ karị Monaco.
He said this yesterday when he went for education fund ceremony organized by Onyebuchi Chris Ifediora Foundation in Aguleri	Okwuru nke a ụnyahụ mgbe ọ gara emụme nkwado agụm akwụkwọ nke ndị Onyebuchi Chris Ifediora Foundation kpokobara na Aguleri.
His representative in that occassion Joy Ulasi stated that it is not good to leave the duty of education for the government alone	Onye nọchite anya ya na ya bụ emume bụ Joy Ulasi kwuru ọdịghị mma ị hapụrụ nanị gọọmenti ọrụ gbasara agụm akwụkwọ.
the London police have consoled people in London	Ndị uweojii London akasiela ndị mmadụ obi na London
six persons were shot dead in London last week	Agbagburu mmadu 6 na London n'izu gara aga
In oversea, the news reaching us from London, states that three hundred policemen have been sent to the avenue with high criminal operation	Na mba ofesi, ozị sị London erụ anyị ntị sị na-ezipula ndị ụweojii narị atọ na ọgbe ndị omekaome kacha akpa ike.
six persons were killed whereas many were injured in various parts of London last week	Egburu mmadụ 6 ma merukwa ụfọdụ ahụ na mpaghara London ụfọdụ n'izụụka gara aga.
EU has accepted to re-support the war against corruption	EU ekwetala ịkwado agha a na ebuso mpụ ọzọ
This is the second phase of EU supporting war against terrorists in Nigeria	Ndị a bụ agba nke abụọ ya EU na akwado agha a na-ebuso ndị omekome na Naịjirịa
The European Union organization has made known their decision to support the war against terrorists in Nigeria	Ndị otu European union a ekwuputela mkpebi ha ịkwado agha a na-alụ megide ndị omekataraihepuujọ na Naịjirịa.
