eng	luo
The uptake for repatriation and special flights for both passenger and cargo, especially for the Covid-19 vaccine, also presents a lifeline to the aviation industry.	Ndeke ma dwoko ji thuchegi kod ndeke ma tingo mana abiria gi osike, to moloyo osigo mar vaccine mag Korona, bende gin tije ma kelo pesa e kembe mag ndege.
According to the International Air Transport Association, industry losses topped $84 billion (Sh9 trillion) in 2020, with a prediction of a fragile 2021 as passenger revenues plummet.	Kaluwore gi migawo mar International Air Transport Association, kambi mar ndege nolalo bilion dola 84 (siling' trilion 9) e higa mar 2020, kendo giwacho ni nenore ni e higa mar 2021 ginyalo lalo pesa mang'eny mokalo kanyo nikech pesa ma ndeke ma ting'o abiri kelo medo mana bedo matin.
Before the lifting of recent travel restrictions, which barred travel in and out of Nairobi, Kiambu, Machakos, Nakuru and Kajiado counties, Skyward based some of its aircraft outside Nairobi to serve routes such as Malindi, Mombasa, Eldoret, Lamu and Lodwar.	Ka ne pok orid chike mag wuoth, ma nomiyo ji ok nyal donjo kata wuok e kaunti mag Nairobi, Kiambu, Machakos, Nakuru kod Kajiado, Kambi mar Skyward nogolo moko kuom ndekegi ma ni Nairobi ma gitero kuonde  mamoko kaka Malindi, Mombasa, Eldoret, Lamu kod Lodwar.
“Charter flights is an alternative we are open to since commercial flights are restricted by the Covid-19 containment measures,” says Kelvin Mwasi, Skyward commercial manager.	Kelvin Mwasi, ma en maneja mar Skyward commercial wacho kama: “Ndeke mag hire e ma sani tiyo ahinya nikech chike  mag Korona oloro ne ndeke ma ting'o abiria.
Bluebird Aviation also confirms it has recorded increased demand for its private charter flights since the outbreak of the pandemic.	Kambi mar Bluebird Aviation bende wacho ni nyaka ne Korona chakre gisebedo ka giyudo kastembe mang'eny ma dwaro ndege mag haya.
General Manager Captain Hussein Mohammed says while the usual private charterers have maintained their demand, albeit, at a reduced frequency, there has been an increase of clients. 	Hussein Mohammed ma en General Manager Captain wacho ni ndeke mag haya osebedo ka temo chopo dwaro mag kastembegi, kata obedo ni gisebeo ka giyudo kastembe momedore, mak mana ni mano timore e okang' ma piny ahinya.
World Marathon record holder Eliud Kipchoge with Tourism Cabinet Secretary Najib Balala at the Nairobi National Park on January 8, 2021.	Jaloch mar World Marathon Eliud Kipchoge kaachiel gi Tourism Cabinet Secretary Najib Balala ka ni Nairobi National Park tarik 8 Januar higa mar 2021.
The government has hinted at a new model of business for the tourism sector which might see convention centres, national parks and game reserves managed by private agencies.	Sirkal osengeko matin e wi ohala manyien e migawo mar tourism ma nyalo neno ni kuonde mitime chokruoge, kuonde dak mar le mag bungu gibed madongo kata matindo itayo gi private agencies.
Tourism Cabinet Secretary Najib Balala, while addressing the European Union Green Diplomacy Webinar yesterday, said the sector cannot run the business as usual owing to the pandemic.	Kowuoyo gi joma ne ni e romo mar European Union Green Diplomacy ma notim e mbui nyoro, Najib Balala ma en Cabinet Secretary mar Tourism nowacho ni ohalano ok nyal timore kaka pile nikech tuo ma sani okwako piny.
He said the industry has learnt more from Covid-19, which should inform changes on its business models.	Ohala mar Tourism osepuonjore gik mathoth nikech tuo mar Covid-19, to mano onego omi gilok yore ma gitimogo ohalano.
“The pandemic has taught us lessons. We have woken up to a new reality that we must change. Nobody is left out and anybody going to open up after the pandemic must be refreshed,” he said.	Najib Balala wacho ni: “Tuo mar Covid-19 osemiyo wapuonjore gik mang'eny. Oseyawo wang'wa kendo konyowa fwenyo ni nitie lokruoge monego watim. Onge ng'ama owe oko kendo ng'ato ang'ata ma biro chiwo pache bang' tuo mar Covid-19 nyaka ne gik moko e yo malach.”
The CS said the sector was eyeing new investments and exploring fresh business models that will ease entry into new markets and reduce operating costs as part of the transformative agenda to revitalise the business. 	CS no nowacho ni ohala mar tourism ne geno yudo pesa kendo tiyo gi yore manyien e timo ohalano ma biro miyo ji odonj mayo e ohalano kendo dwoko piny pesa ma ji chulo kaka yo mar bero ohalano.
“Why is everything being done by one entity? Why don’t we outsource?” he posed.	Nopenjo niya: “Ang'o momiyo ng'ato achiel e ma timo gik moko te? Ang'o ma monowa kawo gik moko oko?”
Mr Balala noted that public-private partnerships offer good examples of how this new model can work - even questioning why the State still manages key facilities.	Mr Balala nowacho ni riwruoge mag public-private keto ranyisi maber e wi kaka onego otim ohalano, kendo gipenjore gimomiyo Sirkal pod tayo gik moko kendgi.
“Why does the government run a convention bureau or facility? Why don’t we outsource and make it more efficient,” he asked.	Nopenjo niya: “Ang'o momiyo sirkal e ma tayo kaka itiyo gi ute moger ni itimoe romo? Ang'o ma monowa keto jo oko e ma ota weche kaka mago.”
“Why does the government run a national park? These are the things that need to be corrected, and this is the time to think again.”	“Ang'o momiyo sirkal e ma tayo gik ma timore kama oketie le mag bungu? Magi e moko kuom gik monego otim ne lokruok, kendo ma e sa mar paro matut kuomgi.”
This new model will also see the government cut down on the number of institutions in the sector.	Yo manyien mar timo ohalono biro konyo sirkal golo kembe kod riwruoge mang'eny ma ok ochuno e migawono.
Balala said the idea is to have a lean team, and rely heavily on technology.	Balala nowacho ni gima duong' en bedo gi grup mar joma omi ratiro mar ng'ado paro mapiyo kendo kawo okenge ma dwarore, kaachiel gi tiyo gi teknoloji e weche duto.
“How do you ensure you are lean, effective and efficient? These things need to be rethought,” he said. 	Bende nowacho ni: “Ere kaka ng'ato nyalo ng'eyo ka en gi nyalo mar ng'ado paro piyo, e yo mowinjore kendo ma kare? Magi moko kuom gik ma onego opar matut kuomgi.”
If we continue with the same models as before the pandemic, I do not think we will be able to progress.	Ka po ni wadhi nyime tiyo gi yore ma ne watiyogo ka ne pok tuo mar Covid-19 obiro, onge dongruok ma wabiro timo.
The CS said the adoption of technology post-Covid-19 should go beyond Facebook and Twitter, noting that the whole business economy depends on applications. 	CS-no nowacho ni kar tiyo mana gi Facebook kod Twitter onego wachak tiyo gi yore mamoko mag teknoloji e kindegi mag Covid-19, kendo neno ni weche ohala duto kod kaka giringo otenore kuom barupe mag kwayo ma ji oro.
“Actually sales applications. That is why the investment of broadband capacity and smartphones is very key,” said Balala.	"Balala nowacho kama: ""Wawuoyo e wi applications ma konyo e tudo kambi gi kastembe. Mano emomiyo dwarore ahinya ni waket pesawa e wach data kod simbe ma nyasani.”"
He observed that the government can adequately maximise its 6,000 staff without stretching them with the deployment of drones.	Nofwenyo ni sirkal nyalo medo tiyo maber gi jotich 6,000 ma en go ma ok ochuno ni oriemb moko kuomgi e tich.
He said Covid-19 has taught the sector the importance of the domestic market - necessitating a change in the business model.	Nowacho ni tuo mar Covid-19 osemiyo migawoni oneno ber mar timo ohala e pinywa, to mano nyiso ni nyaka watim lokruok e yore mag timo ohala.
“Nobody imagined that there is a market called the domestic market. Not only Kenya; we tried it but a lot of countries never appreciated their local and domestic clientele who are the people around you,” he said.	Nomedo wacho niya: “Onge joma oseparoga ni ginyalo mana timo ohala e pinygi ma ok ochuno ni gidhi e pinje mamoko. Ok Kenya kende; to kata mana pinje mamoko bende pok ohero timo ohala e alwora ma giaye kod kastembe ma a e alworagi.”
Bipartisan MPs spearheading minimum reforms before next year’s elections have identified at least ten non-controversial proposals in the Building Bridges Initiative (BBI) Bill to pursue through a parliamentary route.	MP mopogore opogore ma wuok e dwond buche ariyo ma thurka motelo e wach timo lokruok moko e pend chike ma thurka kapok yiero maduong' ma higa manyien ochopo, oseyango weche ma dirom apar e Bill mar Building Bridges Initiative (mong'ere kaka BBI) monego oluw wachgi kokalo kuom yor paliament.
The creation of a Prime Minister’s position and two deputies, increase in allocation of funds to counties, creation of ward fund, restructuring the electoral agency, re-looking security laws and expediting corruption cases are top on their agenda.	Moko kuom weche moket e ondamo ma nyime gin kaka wach keto migawo mar Prime Minister kod jolupne ariyo, medo omenda ma dhi ne kaunti duto, keto chenro manyien mar bedo gi omenda ma dhi ne ward ka ward, timo lokruoge moko e yo mochan-go migawo mochung' ne weche yiero ma thurwaka, nono kendo pend chike motudore gi wach arita kuwe kod kaso wach kedo gi mibadhi.
Other issues include the number of constituencies, equalisation fund to the counties, the two-thirds gender rule and seven-year tax break for youthful entrepreneurs.	Weche mamoko gin kwan mar constituencies monego obedie, bedo gi romruok e wach omenda ma dhi ne kaunti duto, chik ma ng'iyo ni ariyo kuom adek mar jotelo moyier gi sirkal kata e yor kura ok gin chwo lilo kata mon lilo kod wach weyo kawo osuru kuom higni abiriyo kuom kembe ma pod nyien e ohala.
The group of 13 members from the National Assembly and Senate will have a luncheon in Nairobi on Tuesday to deliberate the zero draft being worked on by their technical team.	Group mar ji 13 ma ni e migawo mar National Assembly kod Senate biro chamo chiemo modiechieng' kanyachiel ka gin Nairobi chieng' Tich Ariyo, mondo ginon adimba wach ma grup maduong' sani tiyeno.
They will then start consensus-building. 	 Kae to gibiro neno ni gichopo e winjruok achiel kendo neno ni ji te oyudo yuto ma romre.
A similar process was done in 1997 through the Inter-Parties Parliamentary Group (IPPG) that led to peaceful elections the same year. 	Notim gima chalo kamano e higa mar 1997 kitiyo gi migawo mar Inter-Parties Parliamentary Group (IPPG) to mano nomiyo ji otimo yiero e yo mokue.
The caucus’s move is informed by recent High Court judgement that declared BBI-driven Constitution of Kenya Bill 2020 unconstitutional. 	Joma ni e grupno noyudo wach ma Kot Maduong' nong'ado ka giwacho ni BBI-driven Constitution of Kenya Bill ma 2020 ok oluwore gi chik.
A five-judge bench comprising Justices Joel Ngugi, George Odunga, Teresia Matheka, Chacha Mwita and Jairus Ngaah declared BBI illegal, null and void, thus halting the political baby-child of President Uhuru Kenyatta and his Handshake partner ODM leader Raila Odinga.	Bura ma nong'ad gi jong'ad bura abich ma gin Justice Joel Ngugi, George Odunga, Teresia Matheka, Chacha Mwita kod Jairus Ngaah nonyiso ni BBI ok oluwore gi chik sirkal, kendo ok owinjore, nomiyo chenro ma Ker Uhuru Kenyatta ne nigo mar kedo e weche siasa  ne jatend Handshake kod ODM Raila Odinga odok chien.
Former National Assembly majority leader Aden Duale said the move sought to fast-track the reform process ahead of the 2022 General Election.	Aden Duale Former National Assembly majority leader nowacho ni nolos chenrono mondo olos weche mapiyo ka pok kinde Yiero Maduong' ma higa 2022 ochopo .
“Key among the reforms is a review of the electoral and security laws, including the role of police in elections, to stop what we recently witnessed in the some by-elections. We will then incorporate the pro-people ideas in the BBI Bill,” said Duale.	Duale nowacho niya: “Achiel kuom gik madongo ma ne onego olos ne en nono chike ma tayo yiero kod arita kue, moriwo nyaka migepe ma polis nigo e kinde yiero, mondo gigeng' moko kuom gik maricho ma notimore e kinde yiero moko ma notim machiegni. Kae to wabiro nono paro mag joma nigi lony e weche BBI Bill.”
He added that the Independent Electoral and Boundaries Commission (IEBC) should be fully constituted one year to the General Election. He added they would also seek to have the Constituency Development Fund (CDF) in the law.	Nomedo wacho ni migawo mar Independent Electoral and Boundaries Commission (IEBC) onego oket e chenro mag Yiero Maduong' kuom higa achiel. Bende nomedo ni gibiro kwayo mondo oket  Constituency Development Fund (CDF) e chik.
Justice George Odunga, presiding Judge, Justice Joel Ngugi and Justice Jairus Ngaah during the delivery of Judgement by a five-Judge Bench on the Constitutionalism of BBI and Petition seeking to stop IEBC from conducting a referendum to implement the BBI Bill. 	Justice George Odunga, presiding Judge, Justice Joel Ngugi kod Justice Jairus Ngaah e kinde ma ne ing'ado Bura gi Jong'ad Bura abich e wi Chike mataup BBI kod Kwayo margi mar chungo IEBC mondo kik ota weche mag referendum mondo BBI Bill oyud thuolo mar tiyo.
Makueni Senator Mutula Kilonzo Junior told TheSunday Standard that apart from restructuring the IEBC, they would review other electoral laws, including conduct of elections, nominations, and dispute resolution.	Makueni Senator Mutula Kilonzo Junior nonyiso jo gaset mar The Sunday Standard ni mopogore gi chano migawo mar IEBC, gibiro nono chike ma moko ma tayo weche kura, moriwo nyaka kaka itimo yiero, nomination, kod kaka iloso ywaruok ma nitie.
He said they were still mulling over bringing the Executive into Parliament and whether it would need a referendum.	Nowacho ni ne pod giparo e wach keto Executive e Parliament kod ka be biro dwarore ni otim referendum.
“We will look at all the issues and review what can pass and avoid those that need a referendum because it is not easy to hold it before elections,” he said.	Nowacho niya: “Wabiro nono weche duto kendo neno ni gik mage ma owinjore okal mondo wageng' gik monego otimnegi referendum nikech timogi ka pok kinde yiero maduong' ochopo ok yot.”
The group brings together senators Kilonzo Jr, James Orengo (Siaya), Mithika Linturi (Meru), Johnson Sakaja (Nairobi) and Aaron Cheruiyot (Kericho).	Grubno biro miyo senators Kilonzo Jr, James Orengo (Siaya), Mithika Linturi (Meru), Johnson Sakaja (Nairobi) kod Aaron Cheruiyot (Kericho) oti kanyachiel.
Legislators include Gatundu South’s Moses Kuria, Abdulswamad Nassir (Mvita), Sakwa Bunyasi (Nambale), Shadrack Mose (Kitutu Masaba), Soipan Tuya (Narok Woman Rep), Cecily Mbarire (nominated) and Otiende Amolo (Rarieda).	Joma ni e migawo ma loso chike oriwo Moses Kuria ma Gatundu South, Abdulswamad Nassir (ma Mvita), Sakwa Bunyasi (ma Nambale), Shadrack Mose (ma Kitutu Masaba), Soipan Tuya (ma Narok Woman Rep), Cecily Mbarire (nominated) kod Otiende Amolo (ma Rarieda).
Kuria said the creation a Prime Minister’s position through a parliamentary process was feasible given that all they need is to create a position of a chief minister and rename it.	Kuria nowacho ni loso migawo mar Prime Minister kitiyo gi chenro mar parliament en gima yot  ka po ni gik ma dwarore en mana loso migawo mar chief minister kae to ilokone nying.
“There is nothing that stops Parliament from creating the position,” said Kuria.	Kuria nowacho niya: “Onge gima nyalo mono Parliament loso migawono.”
The BBI process had sought to change at least 78 clauses of the Constitution but Sakaja said they had isolated those that were controversial and would ask different stakeholders what their irreducible minimums were.	Chenro mar BBI nochano mar loko paragraf 78 mag Constitution kata kamano Sakaja nowacho ni ne giseketo tende paragraf ma kelo ywarruok kendo ni obiro penjo party mopogore opogore paro ma gin go e wi wech ma ok nyal loki.
“Issues like doing away with an Ombudsman in the Judiciary, creation of 70 constituencies, two-thirds top up in the National Assembly and Senate and the issue of male and female senator reverting to woman representative as it was are controversial but we will navigate through them,” Sakaja said.	"Sakaja nowacho niya: “Weche kaka golo Ombudsman e Judiciary, loso constituencies 70, kwan mar ariyo kuom adek e migawo mar National Assembly kod Senate kaachiel gi wach mar golo chenro mar bedo gi chwo kod mon ma gin seneta mondo ji odog e chenro mar bedo gi mine ma ng'iyo dwach joma mon mong'ere kaka woman representatives, gin weche ma kelo ywaruok kata kamano ibiro non wachgi."""
The strengthening of provisions on the formula of creating constituencies in Article 89 to ensure equality of vote and increase constituencies by 70 and let IEBC determine the distribution in strict adherence to the formula was also on the table.	Bende achiel kuom weche ma ne opedhi ne en wach medo bero chike miluwo e loso constituencies ma yudore e Article mar 89 e yo ma biro miyo romruok obedie e kura kendo medo constituencies70 ka koni omiyo IEBC thuolo mar neno kaka gibiro pogogi ka giluwo machiegni ahinya chike moketigo.
“This will be a deliberative and consensus-building process over the next two weeks that will have people sitting together. A Constitution is about the people and should ideally be a consensus document,” said Sakaja.	Sakaja nowacho niya: “Mae en chenro mar gudo paro ma ji biro bedoe piny kanyachiel ka giloso weche kuom jumbe ariyo mabiro. Chike miketo onego oket dwaro mag raiya motelo kendo chutho chutho chikego onego okel winjruok e kind ji te.”
However, Ugunja MP Opiyo Wandayi accused a section of leaders in government and Opposition of scheming to scuttle the BBI reforms agenda.	Kata kamano,  MP ma Ugunja Opiyo Wandayi nodonjo ne jotelo moko ma nie sirkal kod joma kwedo chenro mar BBI nochano mar ketho ajenda mag BBI.
“Those who cobbled together the IPPG talks did so with the objective of scuttling the clamour for comprehensive reforms and they succeeded. That is why it took us another decade to realise the reforms we were fighting for in 1997,” said Wandayi.	Wandayi nowacho niya: “Joma noloso twege mag migawo mar IPPG nolosogi ka girikni kendo gigoyo koko nikech ne gidwaro ni golok kaka otiyo, to mano e gima notimore. Mano e ma omiyo nokawowa higni mang'eny mondo wafweny ni lokruogego ne otim nikech higa mar 1997.”
Wandayi, also the ODM secretary for political affairs, said they were wary of the new move.	Wandayi, ma en sekretari mar ODM, nowacho ni ne giparo ni yo manyienno nyalo kelo chandruoge moko.
“We are going to reject those attempts until the matter of BBI is concluded in the courts,” He added that any attempts to dismember the BBI through the IPPG would be rejected.	 Nomedo ni gibiro kwedo gimoro amora ma ng'ato timo mondo otiek BBI kotiyo gi migawo mar IPPG,  kowacho niya: “Ok wabi yie gi wechego nyaka wach BBI rum e kot.”
Prof Hassan Mwakimako, a board member of Muhuri, which also petitioned the BBI process in court, said Parliament slept on the job.	Prof Hassan Mwakimako, jakanyo mar bod mar Muhuri, ma bende nondiko ka gioro kwayo mar tero chenro mar BBI e kot, wacho ni Parliament nonindo e tich.
“They have woken up whereas we called on them from the word go to take charge of the process; now they are trying to reinvent the wheel.”	“Ne gichiewo mana nikech ne wachako luwgi mapiyo ma ok waweyonegi thuolo kata matin mondo ginon wechego;  sani koro gichako ng'iyogi kendo.”
Elegeyo Marakwet Senator Kipchumba Murkomen has challenged President Uhuru Kenyatta to visit every region in the company of his deputy to foster unity in the country.	Elegeyo Marakwet Senator Kipchumba Murkomen nonyiso Ker Uhuru Kenyatta ni odhi e alwora duto mondo okel kue e piny.
Elgeyo-Marakwet Senator Kipchumba Murkomen on Saturday, May 29, told President Uhuru Kenyatta that elected leaders don’t have to be his friends to be recipients of development.	Elgeyo-Marakwet Senator Kipchumba Murkomen nonyiso Ker Uhuru Kenyatta chieng' Ngeso tarik 29 Mei ni ok ochuno ni jotelo moyier obed osiepene e ka giyudo ber ma dongruok kelo.
Murkomen termed as “unfortunate” remarks by President Kenyatta during his meeting with Luo Nyanza leaders on Friday, where he urged them to “take advantage of the Handshake” to get development projects.	"Murkomen nowacho ni weche ma Ker Kenyatta nowacho e romo ma notimo gi jotelo mag Luo Nyanza Tich Abich, kama nojiwogie ni “giti maber gi thuolo mar Handshake” mondo gitim gik ma kelo dongruok e alworagi, gin mana ""kuong'"" lilo."
Kenyatta met the Luo Nyanza leaders at State House, Nairobi ahead of Madaraka Day celebrations to be held in Kisumu on Tuesday, June 1.	Kenyatta ne nie romono gi jotelo mag Luo Nyanza e State House, Nairobi motelo ne nyasi mar Madaraka ma ne idhi tim Kisumu Tich Ariyo tarik 1 Jun.
Murkomen said development projects initiated by the national government should be independent of political alignments.	Murkomen nowacho ni tije ma kelo dongruok ma sirkal timo ok onego otud gi weche siasa.
“Why should development of any part of Kenya be dependent on personal relationships with the President?” the senator posed on Twitter on Saturday.	Senatano nondiko e Twitter chieng' Ngeso niya: “Ang'o momiyo dongruok mitimo e piny Kenya otudore gi winjruok ma ng'ato nigo gi Ker?”
Murkomen said uncompleted development projects in Rift Valley are likely to be abandoned because of the tense relationship between President Kenyatta and his deputy, William Ruto.	Murkomen nowacho ni tije ma nochak to pok orumo e provins mar Rift Valley nenore ni ok bi dhi nyime nikech winjruok ma ni e kind Ker Kenyatta gi jalupne, William Ruto nokethore.
“No wonder projects like Arror, Kimwarer, Itare, Bosto, Keben, Londiani Hospital have been killed,” he alleged.	Nowacho niya: “Mano e ma omiyo tije kaka Arror, Kimwarer, Itare, Bosto, Keben, Londiani Hospital nochung'.”
The lawmaker urged President Kenyatta to meet leaders from all regions in the company of his deputy to symbolise that the Executive arm of government is united.	Jalos chikeno nojiwo Ker Kenyatta ni ochan romo gi jotelo ma wuok e alwora duto mag jalupne mondo okonygi ng'eyo ni bad sirkal ma neno ni chike oluw pod nigi wijruok achiel.
Since independence, areas perceived to be opposed to the government of the day have been starved of development.	Chakre ne pinywa yud ohuru, alwora duto ma ne kwedo sirkal obedo ka onge gi dongruok moro amora.
This has led to uneven development across the regions with regions that have produced presidents more developed compared to regions that have not.	Mano osemiyo ongelore e pinywa ka alwora ma ji osewuokie mobedo Ker nigi dongruok moloyo alwora ma ng'ato pok owuokie mobedo Ker.
President Uhuru Kenyatta and Former Prime Minister Rt. Hon. Raila Odinga lead Kenyans in signing the BBI form during the National launch of the BBI signatures collection exercise at KICC in Nairobi County.	Ker Uhuru Kenyatta kod Former Prime Minister Rt. Hon. Raila Odinga notelo ne Jo-Kenya e pong'o fom mar BBI e kinde ma ne iketo ayanga National launch of the BBI signatures collection exercise ma notim KICC e kaunti ma Nairobi.
Even as the Court of Appeal hears the case against the determination of the five-judge Bench that paralysed the Constitution of Kenya (Amendment) Bill 2020, on May 13, Kenya is racing against time in its preparation for the next General Election.	Kata mana ka Court of Appeal ne winjo kes ma ne jong'ad bura abich ong'ado tarik 13 Mei ma ne paralysed Constitution of Kenya (Amendment) Bill ma 2020,  Jo-Kenya lawo sa ka giikore ne goyo ombulu (General Election).
Sustained focus on the Building Bridges Initiative (BBI), has however made it look as if the normal electoral processes and timelines were on hold.	Wach maduong' ma Building Bridges Initiative (BBI) oketo e pachgi miyo nenore ka gima yore mapile mag goyo ombulu oket tenge.
The country could easily find itself in a time bind, if key players do not begin paying attention to the elections, separate from the amendment Bill.  	Ne yot ahinya mondo piny oyudre ka gin e thuolo mar rito, po nono joma otelo e wechegi ok oketo pachgi e wi yiero, mopogore mana gi ng'iyo lokruok mag BBI monego otim.
Both the Constitution and the Elections Laws (Amendment) Act 2017 expect that in less than 12 months’ time from now, the country will be on the final lap of electing a new President, the 13th Parliament, as well as County Government bosses and the assemblies. 	Weche ma tayo Chike mag Kenya kod Chike mag Yiero ma 2017, dwaro ni kodong' dweche matin ne 12 kochakore sani, piny Kenya biro bedo e ondamo mogik mag yiero Ker manyien, Parliament mar 13, kaachiel gi jotelo mag County Government kod dwond buche mopogore opogore.
It is possible this consideration has occasioned Catholic Bishops to call for a shift of focus from BBI to the General Election.	Nenore ni Bishops mag Katholic nigi nyalo mar miyo ji ogol pachgi e BBI kae to giket motelo wach Yiero Maduong'.
The Elections Laws (Amendment) Act 2017 requires that political parties shall nominate their candidates by May 9, 2022.	Migawo mar Elections Laws (Amendment) Act ma higa 2017 dwaro ni chop tarik 9 Mei higa 2022 obi oyud ka parties mag siasa oseyiero joma gidwaro ni olar kom mar Ker.
The systems must gather organised pace before close of this year, both at the IEBC and in political parties, if the country will have an orderly election in August next year. 	Migawo mar IEBC kod dwond buche mag siasa onego bed ni osechano maber kaka ibiro tim yiero ka pok higani orumo, ka po ni gidwaro ni ji obi ogo ombulu e yo mochanore chop Agost higa manyien.
Section 13(1) of the amended law reads, “A political party shall nominate its candidates for an election under this Act at least ninety days before a General Election under this Act, in accordance with its nomination rules.” 	Kare mar 13(1) mar chike moselok wacho ni, “Dwond bura mar siasa ma luwo chik ma higa 2017 onego obed ni oseyiero ng'ama gidwaro ni okaw kom Ker kodong' ndalo piero ochiko ka pok kinde Yiero Maduong ochopo, ka luwore gi chike mag yiero.”
Because the next election falls on August 9, 2022, parties must hold their primaries by May 9 at the latest. This means they have 11 months to get their act together.	Nikech kinde yiero maduong' ma luwo en tarik 9 Agost, 2022, dwond buche onego ong'e joma gibiro goyonegi ombulu chop tarik 9 Mei kolewo ahinya. Mano nyiso ni gidong' mana gi dweche 11 e timo kamano.
Among other things, this entails polishing up their membership registers and sprucing up nomination rules for submission of both to IEBC within the statutory timelines.	E wi gik ma moko, mano oriwo loso rigista kendo neno ni chike ma tayo yierogo ne migawo mar IEBC e kinde moketi.
According to Section 28(a) of the Act, membership lists must be with IEBC at least 120 days before the election.	Kaluwore gi chikego e Kare mar 28(a), IEBC onego oyud list mar joma ibiro gonegi ombulu kodong' ndalo 120 to chieng' goyo ombulu chopo.
This places the last day of submitting the lists on March 19, next year. 	Mano nyiso ni tarik 19 Mach higa ma biro, e ma biro bedo tarik mogik mar chiwo listgo.
Nomination rules for party primaries, on the other hand, must be with IEBC six months before the election day, in line with Section 27 of the Act.	Mopogore gi mano, migawo mar IEBC onego oyud chike ma nyiso kaka oyier jogo kodong' dweche auchiel to ji goyo ombulu, kaluwore gi Kare mar 27 mar Chik.
The rules will, accordingly, be with the commission by February 9. 	Mano nyiso ni onego giyud chikego tarik 9 Februar.
It is a rat race for political parties to get their own houses in order, barring which they could find themselves locked out of the elections. 	Dwond buche mag siasa nyaka rire mondo gine ni giikore moromo, nono to ok gibi yudo thuolo mar chiwo ng'at ma gidwaro goyone ombulu.
Nomination rules not with IEBC by February 9 will not be recognised.	Ka po ni tarik 9 Februar oyudo ka pok gimiyo migawo mar IEBC chikego, mano kargi olal nono.
That means the party will not field candidates, as there will be no basis.  	Tiende ni dwond burano ok bi chiwo ng'atgi, nikech biro yudo ka oselor thuolono.
Parties will especially, note keenly that the courts are becoming very strict about processes, as the condemnation of the BBI process demonstrated.	Dwond buche biro fweyo ni kot rido chik e weche kaka mago nikech gima ne otimore ne chenro mar BBI.
A political party that decides to amend its nomination rules will have to wait for 90 days to lapse, from the day when it submitted the amendments to IEBC, in line with Section 27(b) of the Act.	Dwond buche mong'ado ni gidwaro loko chike ma tayo kaka gitimo yiero biro rito nyaka ndalo piero ochiko okal kochakore gi chieng' ma gioro ne IEBC kwayono, kaluwore gi Kare mar 27(b) mar Chik.
The last day for amending party primary rules is, therefore, May 9, 2022. 	Mano nyiso ni tarik 9 Mei higa 2022, e tarik mogik ma dwond bura moro nyalo lokoe chikegi.
But the original rules will have been submitted on or before March 19. 	Kata kamano, chike mokwongo to ibiro chiw tarik 19 Mei kata ka pok tarigno ochopo.
The advent of BBI, with the controversial political debates around it over the past three years, has skewed focus from statutory and constitutional political affairs to an extent that could push the next General Election into a tempest of a time rush, even for IEBC itself. 	Ka ne wach BBI osieko mbekni ma josiasa osebedo ka goyo e wachno kuom higni adek osemiyo ji oweyo wach nono chike ma diketi e kueyo ywaruok mag siasa ma thurka, e okang' ma nyalo kelo rikni e wach Yiero Maduong' mabiro ma en pek ma nyalo kata mana mwomo IEBC owuon.
Competitive, and often hostile, public debate within the political elite class has made it almost look like there can be no General Election before the conclusion of the BBI process.	Mbaka maliet kendo ma opong' gi weche gero ma osebedo ka dhi nyime e kind josiasa, miyo ji paro ni Yiero Maduong' ok bi timore ka pok otiek weche BBI.
Equally significant is what seems to be the assumption that if the BBI Bill is subjected to a national referendum, it will invariably sail through and everything else will follow.	Mano bende e gima ji paro ni biro timore ka po ni BBI Bill odhi nyaka e referendum, weche ok bi lokore kar mano gik mamoko duto biro dhi nyime kaka pile.
Should the Bill be defeated at a referendum, it could throw the country into a spin, if the rest of the election timelines have not been followed. 	Ka po ni olo BBI e referendum, obiro lalo piny duto, to ahinya ahiya ka ok oluw kinde moseket mag goyo ombulu.
But success could also lead to a messy set up, for there is little time left to the fulfilment of statutory electoral requirements.	To kata ka po ni olocho, pod onyalo miyo ji otim gik moko e yo ma ok ochanore, nikech odong' kinde matin ahinya mag chopo chike mag goyo ombulu.
That could explain why some political gadflies have made muffled pronouncements about extending the life of the present parliament, to make room for any subsequent legislation from BBI and give enough room to prepare for the General Election.	Mano leronwa gimomiyo josiasa moko osebedo ka umo lendo moko e wi medo ne parliament ma sani thuolo momedore mar tiyo, mondo giyud kaka ginyalo chopo chike mag BBI kendo yudo thuolo momedore mag ikruok ne Yiero maduong'.
In contemplating this, however, the political class may have to reckon with an outraged citizenry that could possibly be fatigued with the present regime, as usually happens when a regime’s tenure is ending.	Kata kamano, kuom paro matut e wi wachni, nyalo dwarore ni josiasa owuo gi jopiny ma wachno nyalo chwanyo, ma en gima jatimrega sama telo moro chopo e gikone.
In times of general economic and social hardship, the public tends to get a sense of relief from the thought that the government in power is about to give way to something new and probably more promising.	E kinde mag chandruok moro, ji ng'iyoga sirkal ma locho ka gigeno yudo konya matin kata mokalo ma giparo koa kuome.
Kenya is experiencing such times, compounded by the fallout of the Covid-19 havoc.	Kenya ni e chal ma kamano, komedore gi pek ma moko ma tuo mar Covid-19 osekelo.
