eng	nya
Sisay Sahlu, editor at The Reporter, a private newspaper based in Addis Ababa, said independent media often get stonewalled by the government. 	A Sisay Sahlu, wokonza nkhani ku nyuzipepala yoyima payokha ya The Reporter ku Addis Ababa, ati nyuzipepala zoyima pazokhazi sizimathandizidwa ndi boma maka pankhani ya mauthenga.
"My experience and the experience of my friends from public media is totally different," he said. "As a private newspaper employee, it's tough to get information for me." 	"Kagwiridwe kanga ka ntchito ndi kosiyana ndi anzathu ogwira ntchito m'boma. Ngati wogwira ntchito ku nyuzipepala yoyima payokha, ndikovuta kuti ndipeze uthenga woyenera," iwo anatero.
Sisay said that for a simple story, he might call 10 officials, who all may be unwilling to answer his questions. 	A Sisay ati ngakhale pa nkhani zazing'ono, amatha kuyimbira lamya adindo khumi omwe samafuna kuyankha mafunso awo.
"When you call them, they don't give us any clue," he said. "We write a letter to them, they are not talking. Finally, when we publish [the story], they are coming to our office. Sometimes they are on the phone and start a verbal fight. Either they are giving us information or not." 	"Tikawayimbira lamya, samanena kalikonse. Iwo anatero. "Tikawalembera kalata, samayankha. Pamapeto pake tikasindikiza nkhaniyo ndi pamene amabwera ku ma ofesi athu. Nthawi zina amalalata pa lamya, ngakhale akutipatsa uthenga kapena ayi."
A government spokesman was not immediately available for comment. 	M'neneri wa boma sanapezeke kuti ayankhulepo pa nkhaniyi.
In the latest World Press Freedom Index, Ethiopia is ranked 114th, down 13 places from its ranking in 2021. 	Mu ndandanda wa ufulu wa atolankhani pa dziko lonse, dziko la Ethiopia lili pa nambala 114 kutsika ndi malo 13 m'chaka cha 2021.
Editor's note: The story has been updated with additional information about the arrests of journalists. 	Zoyenera kudziwa: Nkhaniyi yasinthidwa powonjezera uthenga wa za kumangidwa kwa wolemba nkhani.
	
	
As Tigray Aid Blockade Continues, Nearby Areas Also in Desperate Need of Food, Medicine 	Pamene Tigray yasiya kuthandizidwa, madera ena ozungulira akusowanso chakudya ndi mankhwala.
Despite Ethiopias declared humanitarian cease-fire with Tigrayan rebels, aid groups said they are struggling to get food and medicine to those in need. Even outside the worst affected areas in Tigray, which are off limits to reporters, providing aid is fraught with risks and challenges. 	Ngakhale dziko la Ethiopia linalengeza kuti gulu lowukira la ku Tigray lithetse ziwawa, magulu othandiza ati akuvutika kupeza chakudya ndi mankhwala zothandizira omwe akuvutika. Ngakhale kunja kwa malo okhudziwa ku Tigray, komwe atolankhani sakuloledwa kupita, kutumiza chithandizo kukukumana ndi mavuto ambiri.
In Ethiopias northern Amhara region, burned tanks and other ruined military equipment lie at the roadside four months after occupying forces of the Tigray Peoples Liberation Front, or TPLF, left the area. As the region recovers from a brutal civil war, the U.N. said some 9.4 million people in the Amhara region and neighboring Afar and Tigray regions need humanitarian assistance. But aid has been slow to arrive. 	Kumpoto kwa dziko la Ethiopia, ku Amhara, akasinja omwe anawotchedwa komanso zida zina za nkhondo zomwe zinawonongedwa, zakhala zili m'bali mwa nsewu kwa miyezi inayi tsopano, chichokereni gulu la chipani cha Tigray People's Liberation Front, TPLF. Pamene nkhondo yapachiweniweniyi ikutha, U.N yati anthu okwana 9.4 miliyoni m'chigawo cha Amhara, Tigray ndi zigawo zina zakutali ndiwo akufunika chithandizo. Koma thandizoli likuchedwa kufika.
Seventeen-year-old Ahmed Nuru was living in the Oromia region, but said he had to flee after facing persecution for his Amhara ethnicity. He lost his mother when he was young. Last year, his father died after being unable to get lifesaving treatment due to the wars impact on the local health care system. 	Mnyamata wa zaka 17, Ahmedu Nuru, yemwe amakhala ku Oramia wati anathawa chifukwa cha nkhanza zomwe amakumana nazo kamba kokhala wa mtundu wa chi Amhara. Mayi ake anamwalira ali wachichepere . Bambo ake amwalira chaka chatha chifukwa chosowekera thandizo la mankhwala kamba ka zotsatira za nkhondo pa chipatala chaching'ono .
Now, Nuru is left to take care of his sisters, ages 10 and 8. He said life is very difficult and doesnt know how he will be able to raise his sisters. 	Tsopano Nuru ndi yemwe akusamalira azichemwali ake awiri; wa zaka 10 ndi 8. Iye wati moyo ukuvuta ndipo sakudziwa kuti akwanitsa bwanji kulera azichemwali akewa.
Daniel Tigabu, a public health officer based in the camp for the displaced where Ahmed lives, said there is not enough medical equipment or medicine. The center is running out of basic medical kits, as well as a shortage of kits for malaria, hepatitis and HIV testing. 	Daniel Tigabu, wazaumoyo ku malo omwe anthu othawa kwawo komanso komwe Ahmed akukhala wati kumalowa kulibe mankhwala ndi zipangizo zachipata zokwanira. Zida zogwilira ntchito zikutha komanso zida zoyezera matenda a malungo, matenda a chiwindi ndi HIV, zikuchepa pa malowa 
Tens of thousands live in camps for the displaced in the Amhara region. Others live in host communities, like Tsgenet Tibebu, who lost her husband during the conflict with the TPLF. 	Anthu mazana makumi makumi akukhala ku malo osungirako anthu othawa kwawo m'chigawo cha Amhara. Anthu ena, akukhala m'midzi ina, monga a Tsgenet Tibebu, omwe mwamuna wawo anamwalira pamene amatsutsana ndi TPLF.
Tibebu said she and her son rely on what her husbands friends provide as charity, which includes a room to stay in. As tears begin to flow, she said she is a housewife who has nothing and is waiting for support to help her raise her two children. She believes she should pay rent even though the owners have given her a place to stay. She wonders how she can plan for the future when she has nothing. 	Tibebu wati iye ndi mwana wake akudalira thandizo lomwe anzawo a mwamuna wake amawapatsa kuphatikizapo chipinda chokhala. Misonzi ikutsika, iwo anati ndi mayi wapakhomo yemwe alibe kalikonse ndipo akudikira thandizo kuti athe kulera ana ake awiri. Iwo atinso akukhulupilira kuti akuyenera kulipira lendi ngakhale anapatsidwa malo okhala. Iwo sakudziwa kuti akonzekera bwanji tsogolo lawo pamene alibe kalikonse.
Mulugeta Kebede, an aid worker who works in the Hayk camp, spoke to VOA and said stories like Nurus and Tibebus are not uncommon across Amhara. 	Muguleta Kedebe, wogwira ntchito yothandiza anthu ku malo omwe anthu othawa kwawo amakhala ku Hayk, anayankhula ndi VOA kuti nkhani ngati za Nuru ndi Tibebu zimachitikachitika.
He said the situation makes aid workers cry day and night. He said if someone is hungry, they cant sleep because they think about their empty stomach. He said he has seen displaced people sell pans or mattresses to surved and added that the situation is at a critical stage. 	Iwo ati izi zimaliritsa ogwira ntchito yopereka chithandizo usana ndi usiku. Ngati wina ali ndi njala, iwo sangagone chifukwa amangoganizira njala yake. Kamba ka mavutowa, iwo awonapo anthu ena othawa kwawo akugulitsa miphika ndi matilesi kuti athe kudzithandiza. Zinthu sizili bwino.
About 30,000 people displaced by conflict live just north of Hayk, in Weldiya. A local government representative, Habtemariam Assefa, North Wollo Zone spokesperson, said there was a little support shortly after TPLF left, after the area had been a conflict zone for months. But, he said, aid has been distributed only twice since and the aid provided by the U.N. or the federal government is not enough. 	Pafupifupi anthu 30,000 omwe anathawa kwawo kamba ka kusamvanaku, akukhala ku mpoto kwa Hayk ku Weldiya. 
North of the Amhara region, in Tigray where journalists are banned from entering, the U.N. said the situation is worse, with famine-like conditions. Tigray is under a de facto humanitarian blockade, according to the U.N. 	U.N yati zinthu sizili bwino pamene kumpoto kwa chigawo cha Amhara ku Tigray, komwe wolemba nkhani sakuloledwa kufika, kuli njala. U.N yati Tigray siikulandila thandizo lililonse.
For now, all Ahmed Nuru and his sisters can do is try to scrape by and hope more assistance arrives soon. 	Pakali pano, chomwe Ahmed ndi azichemwali ake angachite ndi kudikira komanso kukhala ndi chiyembekez kuti thandizo lifika posachedwa.
	
	
State Group Investigates Video Allegedly Showing Abuse by Ethiopian Army 	Gulu la aboma likufufuza kanema amene akuonetsa nkhanza zomwe asilikari a ku Ethopia amachita.
The Ethiopian Human Rights Commission is investigating a video shared online that appears to show government troops abusing and shooting an ethnic Tigrayan boy. 	Bungwe loona za ma ufulu la Ethopian Human Rights Commission likufufuza kanema amene akupezeka pa intaneti woonetsa gulu la nkhondo la boma likuzunza komanso kuwombera mnyamata wa mtundu chi Tigray.
The four-minute video shows an alleged ethnic Tigray teenager being surrounded by men in Ethiopian army uniforms. The forces are seen abusing the boy, who they refer to as being from Abbi Adi, a location in the northern Tigray region of Ethiopia. 	Kanemayu yemwe ndi wa mphindi zinayi akuwonetsa anthu ovala yunifomu ya asilikari a ku Ethiopia atazungulira mnyamata wa mtundu wa chi Tigray. Asilikaliwa amazunza mnyamatayu akumutchula kuti Abbi Adi, omwe ndi malo a kumpoto kwa chigawo cha Tigray ku Ethiopia.
In response to a query from VOA, the state-run Human Rights Commission said it was "gathering information regarding the incident." 	Poyankha mafunso omwe VOA inafunsa, bungwe la boma la Human Rights Commission lati likusonkhanitsa uthenga pa zomwe zinachitikazi.
In the video, the boy, with blood on his face, is seen sitting while the men in uniform surround him and threaten him with death. One of the men in uniforms calls for the boy to suffer rather than being killed immediately. 	Mu kanemayu, mnyamatayu yemwe ali ndi magazi kunkhope yake, akuoneka atakhala pansi, asilikari atamuzungulira ndikumamuopseza kuti amupha. M'modzi wa asilikariwa anapereka ganizo loti ayambe kaye azunza mnyamatu, asanamuphe.
They tell a teenage girl to forcefully feed the boy. Finally, one man steps forward and shoots the boy, and the video ends. 	Iwo anawuza mtsikana kuti amukakamize kudya mnyamatayu. Kanemayu akuthera pamene munthu m'modzi anabwera ndikuwombela myamatayu.
VOA cannot independently verify the location of the incident or the identities of the individuals in the footage. Asked about the video, both the Ethiopian government communication minister and Ethiopian ministry of defense spokesperson declined to comment. 	VOA payokha siingathe kudziwa malo omwe izi zimachitika ngakhale mayina a anthu omwe awoneka mu kanemayu. Atafunsidwa za kanemayu, nduna yoona za mauthenga ku Ethiopia ndi m'neneri wa unduna wa chitetezo anakana kuyankhulapo pa nkhaniyi.
A similar incident was reported by rights groups in January 2021 in which Ethiopian army members were seen executing a number of civilians in Mahibere Dego, in central Tigray. 	Magulu a ufulu mu January, 2021 anatulutsa lipoti lofanana ndi zomwe zachitikazi pamene asilikali  ku Ethiopia anapha anthu a ku Mahibere Dego, m'chigawo cha pakati cha Tigray.
Rights group Amnesty International has verified the killing of 11 civilians in that incident. 	Gulu lomenyera ufulu la Amnesty International latsimikiza za kuphedwa kwa anthu khumi ndi m'modzi pa zomwe zinachitikazi.
Forces from the rebel Tigray People's Liberation Front also have been accused of committing human rights violations. In February 2022, Amnesty International reported that TPLF forces and their affiliates have killed more than a dozen people and gang raped women in towns of the Amhara region they occupied. 	Asilikari owukira a chipani cha Tigray Peoples Liberation Front ndi omwe akunenedwa kuti anaphwanya ufulu wa anthu. M'mwezi wa February 2022, Amnesty International inatulutsa lipoti loti asilikari a TPLF ndi othandizana nawo, anapha anthu oposera khumi ndi awiri komanso kugwililira azimayi m'ma tawuni a m'chigawo cha Amhara komwe amakhala. 
The Ethiopian Human Rights Commission recently reported that more than 740 civilians were killed in the Tigray war between July 2021 and March 2022. 	Bungwe loona za maufulu la Ethopian Human Rights Commission lapereka lipoti lotsimikiza kuti kuchokera July 2021 kufika March 2022, anthu 740 anaphedwa mu nkhondo ya ku Tigray.
Both the government and the TPLF deny accusations of rights violations, saying their operations do not target civilians. 	Boma ndi chipani cha TPLF akana zoti anaphwanya maufulu ponena kuti zochita zawo sizimakhudza anthu wamba.
	
	
Disinformation, Censorship, Trigger Global Retreat of Press Freedom 	Kufalitsa nkhani zabodza ndi kulamulira wofalitsa nkhani kubwezeretsa m'mbuyo ufulu wa atola nkhani pa dziko lonse.
Led by the Kremlin's example, a global rise in disinformation and propaganda is having a disastrous effect on independent news around the world, a new report finds. 	Lipoti latsopano lapeza kuti kutengera chitsanzo cha ku Kremlin, kukula kwa kufala kwa nkhani zabodza komanso kuyipitsirana mbiri kukuwononga nyuzi zoyima pazokha pa dziko lonse.
In its 2022 World Press Freedom Index released Tuesday, the Paris-based Reporters Without Borders (RSF) said Russia's invasion of Ukraine has contributed vastly to the spread of fake news and propaganda. 	Mu ndandanda wa 2022 wa ufulu wa atolankhani pa dziko lonse womwe unatulutsidwa lachiwiri, atolankhani a ku Paris otchedwa Reporters Without Boarders (RSF) ati nkhondo ya pakati pa Russia ndi Ukraine ndiyomwe kukupititsa patsogolo kufala kwa nkhani zabodza komanso kuyipitsirana mbiri.
The journalism watchdog group said its findings are worrying, as they show deep divisions among media within countries and between countries at the international level. 	Gulu loyang'anira wolemba nkhani lati izi ndi zodandaulitsa chifukwa zikuwonetsa kugawanika kwa atolankhani m'maiko komanso pakati pa mayiko.
"In 2022, it's really undeniable that media polarization and information chaos are really fueling social divisions in ways that are pretty new," said Clayton Weimers, deputy director of RSF for the United States, told VOA. He said the prevalence of partisan news around the world has come at the expense of authentic journalism. 	"M'chaka cha 2022, sitingatsutse kuti kugawanikana pakati pa wofalitsa nkhani komanso chisokonezo pa mauthenga ndi zomwe zikusokoneza maubale mu njia zatsopano," a ClaytonWeimers , wachiwiri kwa mkulu wa RSF ku United States anawuza VOA. Iwo anati kuchuluka kwa nkhani zokomera mbali imodzi padziko lonse kwabisa utolankhani weniweni.
The group's annual report ranks 180 countries based on the environment for independent journalism. This year, however, RSF said it used a new method that blends each country's political, legal, economic, sociocultural and security conditions. 	Lipoti la pachaka la gululi lili ndi ndandanda wa mayiko 180 kutengera ndi mmene wolemba nkhani amagwilira ntchito. Chaka chino, RSF yati yagwiritsa ntchito njira yatsopano yomwe ikuphatikiza kayendetsedwe ka ndale, malamulo, chuma, maubale komanso chitetezo cha dziko lililonse
Now, the index classifies a record 28 countries as "having very bad media freedom." That group includes China, which is exporting censorship beyond its borders while also amplifying the Kremlin's propaganda on Russia's devastating war against Ukraine. 	Ndandandayu wapeza kuti mayiko 28 samapereka ufulu kwa wofalitsa nkhani. Dziko la China ndi limodzi mwa mayiko omwe ali m'gululi pamene likulamula wolemba nkhani ngakhale a m'mayiko ena komanso kupitiliza kuyipitsa mbiri ya ku Kremlin pa nkhondo ya ku Russia ndi Ukraine.
Russia, China among worst 	Russia ndi China ali pakati pa mayiko oyipitsitsa
Since its invasion of Ukraine on February 24, Russia has sought total control over news coverage, passing a new law that carries 15-year prison terms for reporting "false news" on the military, and even forbids calling the conflict a "war." 	Kuchokera 24 February pomwe dziko la Russia linalowa mu dziko la Ukraine mwa upandu, dziko la Russia likulamula nkhani zoyenera kulembedwa pobweretsa lamulo loti wolemba nkhani zabodza zokhudza asilikari akakhala kundende kwa zaka khumi ndi zisanu. Dziko la Russia likukananso kutchula kusagwirizanaku kuti ndi nkhondo.
That has forced most remaining independent news outlets, including the renowned Novaya Gazeta newspaper, Ekho Moskvy radio and Dozhd TV, to shut down or move outside Russia to continue operating. 	Izi zachititsa kuti nyumba zowulutsa mawu komanso nyuzipepala zoyima pazokha kuphatikizapo nyuzipepala yotchuka ya Novaya Gazeta, wayileis ya Ekho Moskvy ndi kanema wa Dozhd zitseke ma ofesi awo kapena kusamuka ku Russia kuti akapitilire kugwira ntchito yawo.
With independent voices absent, experts say, the Russian government has been able to flood state-run airwaves with propaganda that downplays the war and spreads false or misleading justifications for the Kremlin's invasion. 	Popanda nyumba zowulutsa mawu zoyima pazokha, dziko la Russia likufalitsa nkhani zosokoneza makamaka pa upandu wa ku Kremlin kudzera m'ma wayilesi oyendetsedwa ndi boma.
Russia's media repression stands at 155 out of 180 countries included in RSF's index, where one is the most free and 180 the least. 	Kuzunzidwa kwa wofalitsa nkhani kwapangitsa kuti dziko la Russia likhale pa nambala 155 pa mayiko 180 omwe ali pa ndandanda wa RSF. Pa nambala yoyamba pali dziko lomwe limapereka ufulu wonse kwa atola nkhani pamene pa nambala 180 pali dziko lomwe silipereka ufulu wonse.
"It's safe to say at this point that the free press is a thing of the past in Russia," Clayton said. 	"Pakali panopa tikhoza kunena kuti ufulu wa atolankhani ku Russia ndi mbiri yakale," anatero a Clayton.
Throughout Russian President Vladimir Putin's 22 years in power, Moscow has been targeting journalists and the independent press, he said. 	Mu ulamuliro wa zaka 22 wa pulezidenti wa ku Russia, Vladimir Putin, Moscow yakhala ikulimbana ndi wolemba nkhani komanso atola nkhani omwe si a boma.
"But since the invasion of Ukraine, it seems that Putin has really finished off the independent media once and for all in Russia," Clayton said. "At this point, it is impossible to accurately report on the war in Ukraine." 	"Kuchokera pomwe dziko la Russia linalowa m'dziko la Ukraine mwa upandu, zikuwonetsa kuti a Putin athana ndi nyumba zonse zowulutsa mawu zoyima pazokha ku Russia," anatero a Clayton. "Panopa ndi zosatheka kutulutsa lipoti lolondola lokhudza nkhondo ya ku Ukraine."
China ranked 175th in the new report. And now that it is firmly under Beijing's influence, Hong Kong also registered a dramatic decline, ranking 148th out of 180 following a lengthy series of raids and arrests that shuttered pro-democracy news sites. 	Dziko la China lili pa nambala 175 mu lipoti latsopano. Kutengera zomwe zikuchitika ku Beijing, Hong Kong nayo yatsika pa ndandandawu kufika pa nambala 148 mwa 180 kutsatira ziwawa zomwe zakhala zikuchitika kwa nthawi yaitali komanso kumangidwa kwa anthu zomwe zachititsa kuti malo atsopano ogwirizana ndi ulamuliro wa demokalase atsekedwe.
RSF's country file on China says it is the world's biggest jailer of journalists, with 120 in detention. The regime uses coercion, harassment, intimidation and surveillance to keep independent and foreign journalists from reporting on issues deemed "sensitive." 	RSF, mu lipoti la sabata iliyonse yati, pa mayiko onse, dziko la China ndi lomwe limapititsa atolankhani ambiri kundende. Pakali pano atolankhani 120 ali kundende. Ulamulirowu umagwiritsa ntchito mphamvu, nkhanza, kuopseza komanso kuwonetsetsa kuti atolankhani omwe si a boma komanso a kunja sakulemba nkhani zokhudzana ndi zomwe zikuchitika.
"President Xi Jinping, in power since 2013, has restored a media culture worthy of the Maoist era, in which freely accessing information has become a crime and to provide information an even greater crime," RSF's country file states. 	Pulezidenti Xi Jinping, yemwe wakhala pampando kuchoka m'chaka cha 2013, wabwezeretsa ulamuliro wakale wa mu nthawi ya Maoist pamene kupeza nkhani ndi mlandu ndipo kupereka uthenga ndi mlandu wawukulu, lipoti la sabata la RSF latero.
Rising authoritarianism 	Kukula kwa ulamuliro wankhanza.
North Korea remains the worst country in the rankings at 180th. Elsewhere in the Asia-Pacific region, political turmoil, conflict and rising authoritarianism have wiped out years of progress. 	Dziko la North Korea ndi lomwe lili pamapeto pa nambala 180. Mbali ina ya chigawo cha Asia-Pacific, chisokonezo pankhani zandale, kusamvana komanso kukula kwa ulamuliro wa chipani chimodzi ndi zomwe zikubwezeretsa chitukuko m'mbuyo.
The 2021 coup in Myanmar marked a 10-year setback for media rights, with journalists detained, media licenses revoked, and many news outlets returning to exile. Under the military junta, Myanmar, ranking 176th, is one of the world's biggest jailers of journalists. 	Kulanda boma mwaupandu komwe kunachitika ku Myanmar mu 2021 kwawonetsa kuti kwa zaka khumi tsopano ufulu wa wofalitsa nkhani unabwerera m'mbuyo pamene atolankhani ena anamangidwa, wofalitsa nkhani kuletsedwa kugwiritsa ntchito ziphaso zawo komanso nyumba zowulutsila mawu zina zinathawa m'dzikomo. Pansi pa ulamuliro wa asilikari a jinta, Myanmar ili pa nambala 176 ndipo ndi limodzi mwa omwe amapititsa atolankhani ambiri kundende.
In Afghanistan, the Taliban insurgents pledged to uphold press freedom when they took power in August 2021. Instead, RSF said the "Taliban's seizure of power has further worsened conditions for reporters and news organizations, who are the targets of all forms of intimidation and violence." Afghanistan ranked 154th. 	Zigawenga za Taliban ku Afghanistan zinalonjeza kuti zikadzatenga boma mu August 2021, ufulu wa atolankhani udzalemekezedwa. Koma RSF yati kutenga boma kwa Taliban kwawonjezera mavuto a atolankhani komanso mabungwe a wofalitsa nkhani omwe akuchitidwa chipongwe ndi upandu. Dziko la Afghanistani lili pa nambala 154.
Across Africa, laws criminalizing online journalism have dealt a new blow to the right to information, RSF said, while the spread of rumors, propaganda, and disinformation has contributed to undermine access to quality information. 	Mu Africa, malamulo otsegulira mulandu utolankhani wa pa intaneti akutsekereza ufulu wopeza uthenga mu Africa, inatero RSF, pamene kufala kwa mphekesera, nkhani zabodza ndi kuyipitsirana mbiri kukuchititsa kuti kupeza uthenga woyenera kuzivuta.
In Ethiopia, the war in the Tigray region, with its communication blackouts and restricted access, were the main factors that placed the country 114 on the index. Neighboring Eritrea and Djibouti are far worse, ranking near the bottom at 179 and 164, respectively. 	Nkhondo ya m'chigawo cha Tigray ku Ethiopia komanso kutsekereza mapezedwe a mauthenga ndi komwe kwapangitsa kuti dzikoli likhale pa nambala 114 pa ndandanda. Mayiko oyandikana nawo a Eritrea ndi Djibouti alinso kumapeto pa ndandandawu pomwe ali pa nambala 179 ndi 164.
African media continue to struggle economically, RSF said it its accompanying analysis. 	Wofalitsa nkhani a mu Africa akupitilira kukumana ndi mavuto a zachuma, inatero RSF potsatira kafukufuku wawo.
"Despite a wave of liberalization in the 1990s, there are still, too often, cases of arbitrary censorship, especially on the internet, with occasional network shutdowns in some countries, arrests of journalists and violent attacks," the group said. 	"Ngakhale panali ufulu mu zaka za mma 1990, pali nkhani zomwe zikuchitika zokhudza kulamulila wofalitsa nkhani, makamaka pa intaneti pamene kawirikawiri netiweki zikutsekedwa m'mayiko ena, atolankhani akumangidwa komanso kuchitidwa upandu," linatero gululi.
Clayton said the rising authoritarianism feeds on itself. 	A Clayton ati palibe chomwe chikuyambitsa ulamuliro wankhanza.
"When we allow a culture of impunity to exist where authoritarians are allowed to go after journalists, harass them, arrest them, beat them in the streets and kill them, it has a knock-on effect," he said. "It emboldens that same authoritarian to do it again next time, and it emboldens other authoritarians who are watching to do the same." 	"Tikamapanda kupereka chilango kwa akuluakulu omwe amalimbana ndi atolankhani powachita nkhanza, kuwamanga, kuwamenya m'misewu komanso kuwapha zotsatira zake ndi zoti akuluakuluwa azichita izi mobwereza-bwereza ndipo alimbikitsa akuluakulu ena kuchita chimodzimodzi," iwo anatero.
US not perfect 	US nayo ili ndi mavuto ake
After a period of seeing its media attacked as "fake news" by former President Donald Trump, the United States retained a relatively high ranking of 42 in RSF's index. That is largely thanks to the return of regular White House and federal agency press briefings. 	Patapita nthawi pamene pulezidenti wakale, a Donald Trump, anati wofalitsa nkhani amafalitsa nkhani zabodza, dziko la United States likafika pa nambala 42 mu ndandanda wa RSF. Izi zachitika kamba ka misonkhano ya atolankhani yomwe imachitika-chitika yofotokoza zochitika  ku White House ndi nthambi za boma.
But RSF said problems persist, including "the disappearance of local newspapers, the systematic polarization of the media, and the erosion of journalism by digital platforms amid a climate of animosity and aggression toward journalists, among others." 	Koma RSF yati mavuto alipobe monga nyuzipepala zina kuasiya kugwira ntchito, kugawanika kwa wofalitsa nkhani komanso intaneti kutenga malo a utolankhani pamene udani ndi kuzunzidwa kwa atolankani zikupitilira.
Barriers exist, for instance, when it comes to covering state governments and protests. 	Zotchinga zimadza panthawi yofuna kufalitsa uthenga wa zochitika ku boma komanso zionetsero.
"We typically find that this is either due to just a blatant disregard for the laws governing open records or meetings, or they're simply misinterpreting them. An individual is misinterpreting whether a journalist can be present at a particular event," said Beth Francesco, senior director of the National Press Club Journalism Institute. 	"Timapeza kuti izi zimachitika chifukwa chosasamala kapena kutanthauzira molakwika malamulo obweretsa poyera misonkhano. Munthu akhoza kusamvetsa kuti atolankhani akuyenera kupezeka pa zochitika zina," a Beth Francesco, mkulu wa National Press Club Journalism Institute ndiwo ananeza izi. 
A few bright spots 	Pali chiyembekezo.
Despite an overall trend of decline, Clayton said there are positives. 	Ngakhale pali kubwelera m'mbuyo, a Clayton ati pali chiyembekezo.
Some governments provide funding for news media without interfering in their operations, to ensure independence from political influence. 	Ma boma ena amapereka thandizo la chuma kwa wofalitsa nkhani opanda kulowelera kagwiridwe ka ntchito yawo kuti wofalitsa nkhaniwa akhale oyima pawokha, osaphatikiza ntchito yawo ndi ndale.
"If you look at the top of our list, some of the things that stand out are these are countries that have robust public funding for media," he said, noting that "it's always important to separate state funding for media and state-controlled media." 	"Mukayang'ana pa ndandanda wathu mupeza kuti mayiko omwe amathanziza wofalitsa nkhani pa chuma ndi omwe ali patsogolo," iwo anatinso, "ndikofunika kukhala ndi thumba lothandiza wofalitsa nkhani oyima pawokha komanso a boma."
Three Scandinavian countries — Norway, Denmark and Sweden — respectively come at the top of RSF's index. Estonia, a former Soviet Union republic, ranked 4th. 	Mayiko atatu a mtundu wa chi German - Norway, Denmark ndi Sweden - ndi omwe akutsogolera ndandanda wa RSF. Dziko la Estonia lomwe linali mu Soviet Union ndi lomwe lili pa nambala yachinayi.
RSF said the free exercise of journalism plays a major role in emerging democracies such as East Timor, ranked 17, Bhutan, ranked 33, and Mongolia, ranked 90. 	RSF yati kuchita utolankhani mwaufulu kumatenga gawo lalikulu poyambitsa ulamuliro wa demokalase monga dziko la East Timo lomwe lili pa nambala 17, dziko la Bhutan panambala 33 ndi dziko la Mongolia pa nambala 90.
East Timor was one country whose ranking skyrocketed, rising 54 places. But RSF cautioned that because of its change in methodology this year, "care should be taken when comparing the 2022 rankings and scores with those from 2021." 	East Timor ndi limodzi mwa mayiko omwe anakwera pa ndandandawu ndi malo 54. RSF yachenjeza kuti kamba ka kusintha mmachitidwe a zinthu, ndi pofunika kusamala pofananitsa ndandanda wa 2022 ndi wa 2021.
	
	
UN’s Guterres Meets with Nigerian Leaders After Visiting Volatile Borno State  	Mlembi wa UN akumana ndi atsogoleri a ku Nigeria atayendera ku Borno State komwe kunachitika za upandu.
U.N. Secretary General Antonio Guterres met with Nigerian leaders Wednesday at the end of a two-day visit to Nigeria and three-nation trip to Africa. On Tuesday, he visited internally displaced people (IDPs) in northeast Nigeria and called for them to be safely returned to their homes. Nigerian authorities plan to close all IDP camps in the next few years despite security concerns.  Antonio Guterres arrived the United Nations house in Abuja around 9 a.m. Wednesday and met with U.N. local coordinators before holding talks with Nigerian womens representatives. 	Mlembi wa U.N a Antonio Guterres anakumana ndi atsogoleri a ku Nigeria lachitatu pamene anali paulendo woyendera dziko la Nigeria kwa masiku awiri komanso mayiko atatu a mu Africa. Lachiwiri, mlembiyu anayendera anthu omwe anathawa kwawo, Internally Displaced People (IDPs,) ndipo wapempha kuti anthuwa abwelere kwawo alibwino. Akuluakulu a ku Nigeria ali ndi chikonzero chofuna kutseka malo onse omwe anthu othawa kwawo amakhala ngakhale kuti izi zikhoza kuyika miyoyo yawo pachiopsezo. Antonio Guterres anafika kunyumba ya United Nations ku Abuja lachitatu nthawi ya 9 koloko m'mawa ndipo anayamba kukumana ndi oyang'anira UN asanayankhule ndi nthumwi ya azimayi ku Nigeria.
The delegates, led by Nigeria's minister for womens affairs, Pauline Kedem Tallen, discussed gender equality and the inclusion of women in politics with the U.N. secretary-general. 	Mnthumwizi motsogozedwa ndi nduna yowona za azimayi a Pauline Kedem Tallen, anakambirana ndi mlembi wa U.N za kusasiyanitsa pakati pa amayi ndi abambo komanso ubwino wophatikiza azimayi pandale.
"His coming to Nigeria today has given us hope, because we know that he will lend his voice to all the issues affecting women, gender-based violence, early marriage, lack of implementation of some of our laws," said Tallen. 	"Kubwera kwawo kwatipatsa chiyembekezo chifukwa tikudziwa kuti atiyankhulira pa nkhani zokhudza azimayi monga nkhanza zochitira amayi, kukwatiwa nsanga komanso kusagwiritsa ntchito malamulo ena," anatero a Tallen.
Guterres afterwards met with Nigeria's religious leaders and later attended a wreath-laying ceremony at the U.N. house to remember the 23 people killed during the 2011 bombing of the building. 	A Guterres anakumananso ndi atsogoleri a mipingo ku Nigeria komanso anakhala nawo pa mwambo woyika nkhata ku nyumba ya U.N pokumbukita anthu 23 omwe anafa bomba litaphulitsidwa pa nyumbayi.
He began his three-nation Africa visit Sunday in Senegal as part of his Ramadan solidarity tour, and later went to Niger. 	Iwo anayamba ulendo wawo woyendera mayiko atatu a mu Africa lamulungu ndipo anayambira kupita ku Senegal ngati gawo la mwambo wa Ramadan kenako anapita ku Niger.
On Tuesday, he visited northeastern Borno state and met with the state governor as well as IDPs and families impacted by the Boko Haram conflict. 	Lachiwiri, iwo anayendera kumadzulo kwa chigawo cha kumpoto ku Borno State komwe anakumana ndi ma gavanala, IDPs komanso maanja onse omwe anakhudzidwa ndi ziwawa za Boko Haram.
