eng	pcm
Each and every member of this special committee was appointed based on track record and wealth of experience.	All members dem for dis special committee collect appointment based on track record and wealth of experience
The NFF has high confidence in you and your ability to enhance the technical prowess of our National Teams by fashioning brilliant and workable policies.	Di NFF get high confidence in you and una ability make una enhance di technical prowess of awa National Teams make dem fashion brilliant and workable policies
Without any gainsaying, the Technical and Development Committee is the engine room of the NFF.	witout any sweet tok, di technical and Development Committee na di engine room of di NFF
We know what you can contribute individually and collectively to uplift the standard of the Nigeria game.	We sabi wetin you fit contribute individually and collectively to uplift di standard of di Nigeria game
On our part, we will give all the support you need to succeed in this mission,Alh.	On awa part, we go give all di support wey you need to succeed for dis mission
Ibrahim Musa Gusau, Chairman of Chairmen who represented Mr Pinnick, said at the inauguration in Abuja.	Ibrahim Musa Gusau, Chairman of Chairmen wey represent Mr Pinnick, tok for di inauguration for Abuja
The committee has as Chairman, Alhaji Ahmed Yusuf Fresh, with Chief Felix Anyansi-Agwu as Vice Chairman.	Di committee get Chairman, Alhaji Ahmed Yusuf Fresh, wit Chief Felix Anyansi-Agwu as Vice Chairman
Members are Etubom Paul Bassey, Alhaji Aminu Balele Kurfi, Barr.	Members be Etuburn Paul Bassey, Alhaji Aminu Balele Kurfi, Barr
Isaac Danladi, Alhaji Dahiru Sadi, Mr Victor Ikpeba and Alhaji Mutiu Adepoju.	Isaac Danladi, Alhaji Dahiru Sadi, Mr Victor Ikpeba and Alhaji Mutiu Adepoju
The NFF Technical Director, Mr Austin Eguavoen is the Secretary.	Di NFF Technical Director, Mr Austin Eguavoen na di Secretary
	
Understanding Nigerias democracy, dictatorship and spirit of nationalism in Chad	Understand Nigeria democracy, dictatorship and spirit of nationalism for chad
Khalid Yusuf Tebo	Kalid Yusuf Tebo
The operation of political parties in democracy is systematic, flexible and elastic when compared with political parties outside democracy.	Di operation of political parties for democracy na systematic, flexible and elastic wen dem compare am wit political parties outside democracy
However, political parties in democratic states are distinctive with those in non-democratic states, especially by their mode of operations.	Howeva, political parties for democratic state dey distinctive wit dose for non-democartic states, especially for dia mode of operations
Sometimes, they share partial similarities and roles.	Sometimes, dem share partial similarities and roles
Yet, the roles of those in democracy are not distinguishable from advocating transparency, accountability, integrity and quality of choosing representatives in favour of national interest.	Yet, di roles for dose wey dey democracy no dey distinguishable from to advocate transparency, accountability, integrity wit quality of choosing representatives for favour of national interest
Nevertheless, in Nigeria, Buhari is the president and commander-in-chief of the armed forces.	Nevadiless, for Nigeria, Buhari na di president and commander-in-chief for di army forces.
He had to go through a rigorous democratic political partys process before he would emerge victorious in pre-primary, primary and post primary elections.	Him been go through rigorous democratic political parti process before him go emerge victorious for pre-primary, primary and post primary elections
As a member of a political party, he is like any other member and possesses no legal proceedings to influence the serving governor, serving senator and member house of reps under the impression of the same political party in democracy as far as good governance is the matter of the day.	As member of political parti, him be like any oda member and possess no legal proceedin use influence di servin governor, servin senator and member house of reps for under di impression of di same political parti for democracy as far as say good governance na di mata of di day
This has to do with a partys political exercise in ruling over the affairs of its members when the need arises.	Dis gats do wit parti political exercise for rulin ova di affairs of hin members wen di need kom
Contrastingly, Buharis participation in decision making is minimal compared to the late DÃ©by of Chad because of their political system differences and leadership modus operandi.	Contrastingly, Buhari participation for decision to make hin minimal compare to di late by Chad bikos of dia policital system differences and leadership modus operandi
Buhari is less sensitive in governance, less powerful over some national affairs and less effective legislatively.	Buhari dey less sensitive for governance, hin dey less powerful over some national affairs and hin dey effective legislatively
Not like DÃ©by who was more sensitive, very powerful and strong because of his non-democratic identity and political ideology.	No be like by pesin wey dey sensitive, wey dey powerful and wey dey strong bikos of hin non democratic identity and policitical ideology
Moreover, the edge of governance in Chad is said to have self-centered features without collective effort made by the people who are being ruled.	make we say, di edge of governance for Chad na e dey say e get sef center feature witout collective effort wey di pipo make wey dem dey rule
In fact, the system accommodates a larger portion of corruption and manipulation of single interest, meanwhile silencing the voices of its members during political discourse, public opinions and decision making.	In fact, di system allow larger portion of corruption and manipulation of single interest, meanwhile silencin di voice of dia member durin policital tok, public opinion and to dey make decision
For the sake of democracy and a sense of nationalism in Nigeria, no one can or will  personally decide to do anything between executive, legislature and judiciary	for di sake of democracy, and sense  of nationalism for Nigeria, no one fi or go personally decide to do wetin anythin between executive, legislature and judiciary
no matter how patriotic someone is.	no mata how patriotic di persin fit be
One must act according to the constitutional guidelines as well as passing his ideas to the three tiers of government for critique, suggestions and support.	one most act accordin to di constitutional guideline as well as to dey pass hin idea to di three tiers of goment for critique, suggestion and support
For instance, If Buhari is eager to die in the battlefield; he must first identify the legality of sacrificing his life constitutionally as a president of Nigeria who wants to fight Boko Haram in favour of national interest.	for example, if Buhari dey eager to kpeme for di battlefield, hin must first identify di legality of sacrificin hin life constitutionally as President of Nigeria wey wan fight Boko Haram in favor of national interest
He must understand his eligibility politically and democratically before he pays the price.	Hin must understand say hin ability politically and democratically before hin go pay di price
Anyway, Nigeria is not like Chad; here, we operate democracy not militarism and dictatorship.	Anyway, Nigeria no be Chad, for here we dey operate democracy no be military and dictatorship
In Chad, DÃ©by adopted a political party in a unitary system of government that is linked to dictatorship.	for Chad, by say dem adopt political parti for unitary system of goment wey dey link to dictatorship
By the way, the system he enjoyed deliberately lacked check and balanceif compared with the bicameral legislature.	By di way, di system wey hin enjoy delibrately lack  check and balance if dey compare wit di bicameral legislature
If you may recall, the DÃ©bys political party is Patriotic Salvation Movement; the party is built on a spirit of nationalism and the aim is to produce patriotic mindsets with sophisticated ideology and spiritual high sense of nationalism.	If you fit remember, di Dbys political party na Patriotic Salvation Movement; di party dey built on spirit of nationalism and di aim na to produce patriotic mindsets wit sophisticated ideology and spiritual high sense of nationalism.
Astonishingly!	wetin dey surprise
DÃ©by remained one; and he answered the clarion call of his party, MPS.	by di one wan remain and hin answer di clarion call of hin parti MPS
A true nationalist indeed!	True nationalist for tru tru
Khalid Yusuf Tebo writes from Yobe.	Khalid Yusuf Tebo na hin write from Yobe
	
Why we must address food price instability “ CBN	why we go address food price instability CBN
The Central Bank of Nigeria (CBN) has warned that its economic and financial policies would amount to nothing if the issues around food prices volatility could not be addressed as a nation.	Di Central Bank of Nigeria(CBN) don warn say hin economic and financial policies go amount to nothin if di problem wey dey around food price volatility fit no address as nation
The governor of the apex bank, Mr Godwin Emefiele, made this remark in a message to the input distribution flag-off and loan recovery drive under the RIFAN-CBN Anchor Borrowers Programme (ABP).	Di governor of di bank wey high pass, Mr Godwin Emefile,make ham for remark for message to di input distribution flag off and loan recovery drive under di RIFAN-CBN Anchor Borrower Programme (ABP)
Emefiele, whose message was delivered by Mr Edward Adamu, CBNs Deputy Governor, Corporate Services, noted that With a population of about 200 million people, importation of any major food item will continually drain the countrys external reserves, export our jobs to countries where those food items are produced and distort our commodity value chains as we will not be able to guarantee the supply of raw materials for the agro-allied companies.	Emefiele, Mr Edward Adamu deliver hin message, CBN Deputy Governor, Corporate Services, note say wit population of about 200 million people, to dey import any major food item will continue to dey drain di kontri external reserves, export our jobs go kontris dem wer dem dey produce di food items and spoil our commodity value chains as we no go dey able to guarantee di supply of raw materials for di agro-allied companies.
The CBN governor, who stressed the commitment of the present administration to attain self-sufficiency in rice production by the end of 2020 dry season, noted that the Anchor Borrowers Programme has proven to be a game-changer in the financing of smallholder farmers in Nigeria as it has revolutionised agricultural financing and remained the fulcrum of the countrys agricultural transformation initiatives.	The CBN governor, wey dey stress di commitment of di present administration make dem get sef-sufficiency for rice production by di end of 2020 dry season, note say di Anchor Borrowers Programme don prove to be game-changer for di financin of smallholder farmers for Nigeria as e don change agricultural financin and e still be di heart of di kontri agricultural transformation initiatives.
He said the programme, beyond being a tool for economic empowerment, job creation and wealth redistribution, has also galvanised financial inclusion in rural communities.	Hin tok for di programme say, pass to dey be tool for economic empowerment, job creation and weak redistribution, don galvanise financial inclusion for rural communities
On loan recovery, Emefiele said despite the devastation caused by numerous flood incidents in the 2018 wet season, farmers have been submitting produce and cash as part of their loan repayment but pleaded with the association to intensify efforts in that regard in the spirit of the partnership and sustainability of the programme.	On loan recovery, Emefiele tok say despite di devastation wey plenti flood incidentsfor di 2018 wet season kos, farmers been dey submit produce and cash as part of dia loan repayment but dem beg di association make dem intensify efforts for dat side sake od di partnership and sustainability of di programme.
The CBN governor said beyond rice, the Commodity Association Window has been expanded to cover more commodities like maize, cassava, sorghum, soybean, ginger etc and hoped that the efforts would contribute to the national aggregates and galvanise its drive to economic diversification.	The CBN governor tok say afta rice, the Commodity Association Windowdon expand to cover more commodities like maize, cassava, sorghum, soybean, ginger etc and e hopesay di efforts go contribute to the national aggregates and hep hin drive go economic diversification.
	
We all can be forces for good in the space of gender equality	Dem fit force all of us for good for di space of ginger equality
Femi Adeyomo	Femi Adeyemo
It is an undisputed fact that for the most part of history, women have not enjoyed equal rights.	Na undisputed fact say for di history part wey plenti pass, women neva enjoy equal right
Only several decades back, the general belief surrounding womens roles were restricted to duties at home, childbearing, and work in the kitchen.	Na only sevaal decades wey don pass, di general belief wey dey surround women role dey restricted to duties for house, to dey born pikin and to dey work for kitchen
This perception brought a tremendous amount of disregard and prejudice against women, not only at the family and community level, but glaring misrepresentations and stereotypical portrayals in mainstream media.	Dis perception bring plenti amount of disregard and prejudice against women, no be only for di family and community level, but glarin misrepresentation and stereotypical portrayals for mainstreal media
Above all, women were prohibited from important decision-making, leadership positions; access to higher education and professional aspiration.	Pass all, dey no allow women to dey make important decision makin, leadership position, access to high education and professional aspiration
Perhaps one of the most notable shifts in the movement for womens rights was the Womens Strike for Equality on August 26, 1970.	Make we say one of di notable shifts for di movement for woman right na di Women Strike for Equality for August 26, 1970
The strike took place in the United States to celebrate the 50th anniversary of the passing of the 19th Amendment, which effectively gave women in America the right to vote.	Di strike wey take place for di United State to celebrate di 50th anniversary of di passin of di 19th Amendment, wey effectively give women for America di right to vote
About 50,000 women gathered for the protest, and at that time, it was noted to be the largest gathering on behalf of women in history.	Na like 50,000 woman gadther for di protest, and for dat time, e dey noted to be di largest gatherin wey dey represent  women for history
The strike had specific goals, including equal opportunity in the workforce and free child care.	Di strike get specific goal, wit equal opportunity for di workforce and free child care
Today, it is viewed as a movement responsible for political rights for women, social equality in relationships and income equality in the United States and all over the world.	For today, movement wey dey respoonsible for political rights for women na hin dey use view ham, social equality for relationship and inkom equality for di United State and for di world
In Nigeria, gender inequality has heavily pervaded society.	For Nigeria, gender inequality don heavily pervaded society
Women constitute about 49.33 per cent of the Nigerian population, approximately 99.13 million in total.	Woman carry like 49:33 per cent of di Nigeria population, wey dey approximate to 99.13 million for total
However, female participation in formal and informal structures, processes and key decision making remains insignificant.	Howeva, female participation for formal and informal structure, get and kom carry key decision makin remain insignificant
This is largely because of discriminatory social norms, marginalization and economic disparity, which dictates the lives of women in Nigeria.	Dis dey largely bikos of discriminatory social norms, marginalization and economic disparity, wey dictate di live of women for Nigeria
According to NOI Polls, which sought to identify socio-economic challenges faced by women, the results revealed that 42 per cent lacked financial empowerment, 35 per cent were poor, 33 per cent lacked access to quality education , 19 per cent had experienced domestic and sexual abuse, and 17 per cent faced gender discrimination in employment.	Accordin to NOI Polls, wey wan identify socio-economic challenges wey women dey face, di result show say 42 per cent no get financial empowerment, 35 per cent no get moni, 33 per cent no get access to good education , 19 per cent don dey domestic and sexual abused, and 17 per cent face gender discrimination for employment.
However, recent developments in Nigeria and across the globe, are proof that things are changing.	howeva, recent development for Nigeria and pass di world, na proof say thins dey change
A few years ago, if you had told people that a woman would hold executive positions in organizations or political institutions, many would have shown disbelief.	year wey pass, if u don tell pipo say woman do hold executive position for organisation or political institution, plenti go don show disbelief
On March 1, 2021, Dr Ngozi Okonjo-Iweala, a Nigerian political figure and economist, became the first woman and first African to serve as the Director-General of the World Trade Organization, a landmark achievement for women and Africans all over the world.	On March 1, 2021, Dr Ngozi Okonjo-Iweala, wey be one Nigeria political figure and economist, bikom di first woman and first African wey go serve as di Director-General of di World Trade Organization, na landmark achievement for women and Africans evriwer for di world.
This victory, and many others, have become a clear sign that female empowerment, equality, and leadership are necessary to foster positive change in society.	Di victory,and plenti oda, don bikom clear sign say female empowerment, eqality, and leadership dey necessary to foster positive change for society
We need all hands on deck to close gender gaps.	we need all hand for deck to close gender gap
We have made great progress on gender equality and we cant allow it to be eroded.	We don make great progress for gender equality and we no fit allow ham make e erod
We need to act now to ensure that while we continue responding to the health and economic crisis, we find ways to progress womens economic empowerment and equality, in education, in the home and in the workplace.	we need act now to ensure say wen we continue to dey respond to di health and economic crisis, we go kom find way to progress women economic empowerment and equality, for education, for house and for workplace
At P&G, we will keep using the voice of our company in forums such as #WeSeeEqual to drive discussion and action on the issues that matter.	For P&G, we go kip to use di voice of awa company for forum as we see equal to drive tok and action for issue wey mata
Those were the words of Adil Farhat, the Managing Director of Procter & Gamble Nigeria, during the company flagship gender equality summit, #WeSeeEqual Summit, in partnership with the UNWomen.	Na wetin Adil Farhat tok, di Managin Director pf Procter and Gamble Nigeria, for di company flagin of gender equality summit, WeSeeEqual Summit, wey dem dey partnership wit di UN Women
During the summit, Dr Zainab Bagudu, the First Lady of Kebbi State described the #WeSeeEqual Summit as an inspiring platform to motivate change in Nigeria towards gender inequality, stating the importance of collaboration between private and public institutions in the fight against gender inequality.	During di summit, Dr Zainab Bagudu, di First Lady of Kebbi State describ di #WeSeeEqual Summit as platform wey dey inspire to motivate change for Nigeria towards gender inequality, as she dey tok di importance of collaboration between private and public institutions for di fight against gender inequality.
It is important for individuals and organizations to recognize that we can all be forces for good in the space of gender equality.	E dey important make individual and organization make dem recognize say we fit dey force for good for di space of gender equality
Our combined efforts as citizens, neighbours and humans will ensure that the opportunities and resources needed to secure and preserve gender equality.	awa joint effort as citizen wey we be, neighbours and humans go ensure say di opportunity and resource wey we need to secure and preserve gender equality
We need new, radical collaborations that dont just focus on the financial sources, but bring together all partners at the start.	We need new, radical collaboration wey fi focus on di financial source, but make dem bring all awa partners for di start
Looking at the 70s, 80s and even a large part of the 90s, it can be said that there is now a significant improvement in reducing gender inequalities in Nigeria, no denying that we are still well behind it.	make we  look 70s, 80s and even large part of di 90s, we fit tok am as say na significant improvement to dey reduce gender inequality for Nigeria, no delay  we still dey for back
When you look at the 17 action points of the Sustainable Development Goals, which is the most comprehensive global roadmap to shared human progress, it is impossible to overlook the centrality of its call for gender equality and reducing inequalities.	Wen you luk di 17 action points of di Development Goals wey dey fit sustain, wey be di global roadmap wey you fit understand pass to shared human progress,e dey impossible to overlook di centrality of hin call for gender equality and to dey reduce inequalities.
Indeed, it is improbable that the world could attain significant success in almost any action area of the SDGs “ from ensuring quality health care, education and sanitation for all to reducing poverty, ending hunger, providing productive employment or enabling strong institutions “ without achieving strongly in gender equality and reducing inequalities.	Indeed,E no dey probable say di world fit reach significant success for almost any action area of SDGs “ as dem dey ensure quality health care, education and sanitation for evribodi to reduce poverty, end hunger, provide productive employment or enable strong institutions “ witout say dem achieve wella for gender equality and dey reduce inequalities.
Private organisations must play their part in facilitating gender equality.	Private organisation gas play dia part to facilitate gender equality
Also, there is the need for everyone to take up space and amplify gender equality, to secure a better future for all women.	Also, need go dey make evribodi take space and amplify gender equality, to see say beta future for all woman
Mr Femi writes from Lagos	Mr Femi na hin write from Lagos
	
EU leaders sign Brexit deal as UK MPs debate ratification	EU leader na hin sign Brexit deal as UK MPs debate ratification
European Union leaders have signed have their post-Brexit trade deal with Britain and dispatched it to London on an RAF jet Wednesday, setting their seal on a drawn-out divorce just hours before the UK brings its half-century European experiment to an end.	European Union leaders dem don signed, get dia post-Brexit trade deal wit Britain and dey send am go London on top one RAF jet on Wednesday,as dey put dia seal on one drawn-out divorce hours before di Ukend dia half-century European experiment.
EU chiefs Ursula von der Leyen and Charles Michel, the heads of the European Commission and European Council, smiled at a brief televised ceremony to put their names to the 1,246-page Trade and Cooperation Agreement.	Ursula von der Leyen and Charles Michel wey dia two be UE chiefs, di head of di European Commission and European Council, smile for one brief televise ceremony to put dia name to di 1,246 page Trade and  Cooperation and agreement
It has been a long road.	Di road too far
Its time now to put Brexit behind us.	Time don reach make we put Brexit  for awa back
Our future is made in Europe,von der Leyen said.	 Von der Leyen na hin tok say; Na for Europe dem make awa future
Britain will leave the European single market and customs union at 11:00pm (2300 GMT) on Thursday, the end of a difficult year and of a post-Brexit transition period marked by intense and tortuous trade negotiations.	Britain go comot for Europe single market and custom union by 11:00pm(2300GMT)for Thursday, di end of hard year and of post-Brexit transition period wey dey mark by serious and tortuos trade negociation
But first the hefty document, bound in blue leather, was flown by the Royal Air Force to London for Prime Minister Boris Johnson to add his signature, as the UK parliament began a rushed debate on the deal before the looming deadline.	but first di hafty document, wey dem bound for blue leather, na hin dey fly wit Royal Air Force go London for Prime Minister Boris Johnson to join hin signature, as di UK parliament begin rush debate on top di deal before dey rish deadline
Introducing the legislation to ratify it, Johnson told lawmakers it heralded a new relationship between Britain and the EU as sovereign equals, joined by friendship, commerce, history, interests and values.	Introducin di legislature make dem ratify ham, Johnson tell lawmaker hin herald new relationship wey dey between Britain and EU as sovereign equal, wey friendship join dem, commerce, history, interest and value
With this bill we are going to be a friendly neighbour, the best friend and ally the EU could have,he said.	 Hin tok say; Wit dis bill we dey go be friendly neighbour, we go be friend and ally di EU fi have
London and Brussels would work hand in glove whenever our values and interests coincide, while fulfilling the sovereign wish of the British people to live under their own sovereign laws made by their own sovereign parliament, he added.	He add say; London and Brussels go work togeda weneva our value and interests na di same, as we dey fulfil di sovereign wish of di British pipo make dem stay under dia own sovereign laws wey dia own sovereign parliament do.
Anxious wait	dem dey anxious as dem dey wait
Michel echoed the sentiment in Brussels, vowing the two sides would work shoulder to shoulderon major issues, including climate change and future health pandemics.	Michal echo di sentiment for Brussels, as he dey vow say two side go work shoulder to shoulder on top major issues, includin climate change and future health pandemic
Johnsons government only published the accompanying UK legislation on Tuesday afternoon, less than 24 hours before the debate began in parliament and an hour after the EU signing.	Johnson goment only publish di accompanyin UK  legislation for Tuesday afternoon, e no reach 24 hours before dey start di debate for parliament and one hour afta wey EU sign
The government intends to ram all stages of the 85-page European Union (Future Relationship) Bill through the Commons and the House of Lords in one day, before Queen Elizabeth II formally signs it into law.	Di goment wan ram all stage of di 85 page Europe Union(Future Relationship) Bill through di Commons and House of Lord for one day, before Queen Elizabeth II go formally sign am for law
The last-ditch deal averted the prospect of a cliff-edge separation which would have seen quotas and tariffs slapped on all cross-Channel trade, exacerbating strains in the middle of the coronavirus pandemic, which has hit Britain harder than most.	Di last-ditch deal comot di prospect of one cliff-edge separation wey go don see quotas and tariffs slapped on top all cross-Channel trade, exacerbatin strains for di middle of di coronavirus pandemic, wey hold Britain pass most oda place dem.
But British fishermen have accused the government of selling them out, while services ” accounting for 80 percent of the UK economy ” were largely omitted.	But di British fisherman don accuse di goment say dem sell dem out, as service wey dey account for 80 percent  of di UK economy dey largely omitted
The City of London faces an anxious wait to learn on what basis it can continue dealing with Europe in the future.	Di city of London don face anxious wait to learn on di kind basis wey e fit continue to deal wit Europe for di future
Theresa May, whose three-year Brexit-dominated premiership ended in 2019 after she failed to win support for a closer future relationship with the bloc, voiced her unease at the agreement.	Theresa May, wey for three year Brexit dominate premiership end for 2019 afta wey she fail to win support for close future relationship wit di bloc, wey she voice her unease for di agreement
We have a deal in trade which benefits the EU, but not a deal in services which would have benefited the UK,she told MPs.	We get deal for trade wey  benefit di EU, but no be all deal for service go benefit di UK na hin she tell MPs
Thin deal	Deal wey dey thin
The legislation is set to pass, however, after an influential faction of arch-Brexiteers in Johnsons	Di legislation don dey ready to pass, as e go be, afta wey influential faction of arch-Brexiteers for Johnson
ruling Conservatives gave their blessing to the EU agreement on Tuesday, and the main opposition Labour party signalled its reluctant backing.	ruling Conservative give dia blessin to di EU agreement for Tuesday, and di main opposition Labour parti give signal to hin reluctant backin
Despite misgivings among some of his own MPs, who plan to abstain or vote against the agreement, Labour leader Keir Starmer said neutrality was not an option given the stakes for Britain.	upon say misgivin wey dey among sone of hin own MPs, wey plan to comot or vote against di agreement, Labour leader Keir Starmer tok say neutrality no be option to give stake for Britain
This is a thin deal, its got many flaws, but a thin deal is better than no deal,Starmer told MPs.	Dis na thin deal, I get plenti flaw, but thin deal dey beta pass make deal no dey. Starmer tell MPs
Lawmakers from the pro-European Liberal Democrats and Scottish National Party (SNP) said they would vote against it ” with the SNP using the issue to push for a fresh referendum on independence for Scotland.	Dem lawmaker wey kom from di pro-Europe Liberal Democrat and Scottish National parti(SNP) tok say dem go vote against am wit di SNP using di issue to push for fresh referendum for di independence of dem Scotland
The only way to regain the huge benefits of EU membership is to become an independent state at the heart of Europe once more,its leader in the UK parliament, Ian Blackford, said.	Di only way to regain di plenti benefit of EU membership na to bikom independent state for di art of Europe one more time, dia leader for UK parliament, Ian Blackford na hin tok ham
The agreements impact will play out in the coming months, with UK businesses braced for customs red tape they have avoided for decades in cross-Channel trade.	Di agreement impact go play out for di comin month, wit UK business brace for custom red tape wey dey don avoid for decade for cross-Channel trade
Meanwhile from January 1, there will no longer be free movement of people from Britain to the EU or vice versa.	Meanwhile from January 1, free movement of pesin from Britain to di EU or kom Britain no go dey again
Under the compressed legislative calendar, the European Parliament will debate the Brexit deal after the New Year, but they are expected to eventually nod it through.	For under di compress legislative calender, di European Parliament go debate di Brexit deal afta New Year, but dem expect dem make dem nod am pass
Pending that, EU member states gave their green light on Monday for the accord to take provisional effect before Thursdays deadline.	Pendin dat wan, EU member state give dia green light for Monday for di accord to take provisional effect before e rish Thursday deadline
	
FG launches new national policy on virtual meeting	FG don launch new national policy on top virtual meetin
The Federal Government on Monday formally launched the national policy on virtual engagements in public institutions.	Di Federal goment for Monday don formally launch di national policy on top virtual engagement for public insttution
It also commissioned an Emergency Communications Centre and four more digital economy centres across the country.	E even commission Emergency Communication Centre wit four digital economy centre pass di kontri
The Minister of Communications and Digital Economy, Isa Ali Ibrahim Pantami, who launched the new policy and commissioned the projects virtually in Abuja, said the paradigm shift to virtual engagements in official circles globally, occasioned by the COVID 19 pandemic, necessitated the need for a policy to give legal impetus to the practice in public institutions.	Di Minister of Communications and Digital Economy, Isa Ali Ibrahim Pantami, wey launch di new policy, kom commission di projects virtually for Abuja, tok say tins don shift to virtual engagements for official circles dem for di world, bikos of COVID 19 pandemic, e kom make dineed for a policy make dem give legal impetus to dey thins virtually for public institutions dey necessary.
The policy which was approved by the Federal Executive Council on the 14th of October, 2020 was developed in collaboration with the Office of the Head of the Civil Service of the Federation, Pantami said.	Di policy wey dem approve by di Federal Executive Council for 14th of Octomber, 2020 na hin dey develop wit collaboration wit di office of di Head of di Civil Service of di Federation na hin Pantami tok
He said that the policy would institutionalise frameworks and standards within Ministries, Departments and Agencies of governments as well as	Hin tok say di policy go institutionalise framework and standard wey dey witin Ministry, Deparment and Agencies of goment as well
government -owned companies using virtual engagement as an administrative procedure in service and significantly reduce the cost of governance.	Companies wey goment get wey dey use virtual engagement as administrative procedure for service and significantly reduce bcause of governance
He said in line with the National Digital Economy Policy and Strategy, the facilities commissioned under the auspices of the National Information Technology Development Agency and the Nigerian Communications Commission would enhance security, create digital jobs, promote knowledge-based economic growth, increase productivity and enhance commercial and administrative methods.	He tok say in line wit National Digital Economy Policy and Strategy, di facilities wey dey commission under di National Information Technology Development Agency and the Nigerian Communications Commission supervision go enhance security, create digital jobs, promote knowledge-based economic growth, increase wetin pipo dey produce and e go improve commercial and administrative methods.
He said all digital economy projects are carefully thought out and executed efficiently with a view to ensure the sustainable growth of Nigerias digital economy.	Hin tok say digital economy project na hin dem dey carefully teach and execute efficiently wit view to see say di sustainable growth  of Nigeria digital economy
	
Activists fight dirty over mismanagement of millions meant for Odumakins burial	Dem activist don fight dirty on top mismanagement of millions wey dey for Odumakin burial
The controversy over the burial funds of late activist, Mr. Yinka Odumakin, deepened on Thursday as the memorial committee slammed members of the accountability committee over alleged mismanagement of N10 million raised for the burial.	Di controversy wey dey for burial moni of late activist, Mr. Yinka Odumakin, go deep again on Thursday as di memorial committee slammed members of di accountability committee sake of di N10 million wey dem feel say dey no manage well, wey pipo raise for di burial.
The committee described the accountability committee members as self-seeking infiltrators masquerading as Civil Society Activists.	Di committee describe di accountability comitee member as say self seekin infiltrator masqueradin as Civil Society Activist
Daily Trust reports that a few days after the burial of Odumakin in Ife Moro, Osun State, some members of the burial committee questioned the management of the funds.	Daily Trust report say few days afta di burial of Odumakin for Ife Moro, Osun State, some members of di burial committee question di management on top di moni
The burial took place on April 24.	Di burial wey take place on April 24
They subsequently set up an accountability committee known as Odumakin Accountability Resolution Committee which indicted the Memorial Planning Committee (MPC) and asked it to refund N7.9m to Odumakin family.	Dey subsequent set up accountability committee wey we know as Odumakin  Accountability Resolution Committee wey indicate di memorial Plannnng Committee(MPC)  and tell am make im refund N7.9m to Odunmakin family
But reacting to the accountability committee report, Comrade Awa Bamiji of the Civil Society and Pro-Democracy Movement Memorial Initiative, 2021, dismissed the allegations.	To dey react to di accountability committee report, Comrade Awa Bamiji of di Civil Society and Pro-Democracy Movement Memorial Initiave, 2021, dismiss di allegation
He warned members of the accountability committee to desist from their divisive reactionary orchestration of disaffection within the movement or be ready to face the wrath of the majority and genuine Leaders and Elders of the Civil Society Movement.	He warn members of di accountability committee make dem stop dia divisive reactionary orchestration of disaffection wey dey witin di movement or make dem ready face di wrath of di majority and genuine Leaders and Elders dem wey dey di Civil Society Movement.
He described one Declan Ihekaire as one of the key actors behind the issue, alleging that Ihekaire specifically requested and collected N20,000 to fuel his personal car to and from Osun State.	Hin describe one Declan Iheakaire as one of di key actor wey dey behind di issue, alleging we Ihekaire specially request and collect N20,000 fuel hin personal car reach and from Osun state
Allegation of illegal disbursement of N5m	Na allegation wey be illegal disbursement wey be N5m
He also accused others of cornering and sharing N5m, saying this is part of the evidence already compiled with the help of their Legal Associates.	Him also con accuse oda cornerin and to dey share N5m, say dis na part of di evidence already wey comply wit di help of dia Legal Associate
To this end, we have already instructed our legal advisers to approach the Law Court immediately to press charges of willful defamation, Obtaining by Force under duress and Physical Assault against them and their cohorts at large if they continue in their nefarious and malicious ways of unprovoked assault and smear campaign dubbed as resolutions of their dubious accountability gang.	To reach here, we don already instruct our legal advisers maka dem approach di Law Court immediately to press charge for willful defamation, Obtainin by Force under duress and Physical Assault against dem and dia pipo sef if dey continue dia wicked and malicious ways of assault wey no get reason and smear campaign wey dem call as resolutions of dia dubious accountability gang.
As the conscience of the country, the leadership of the Civil Society and Pro “ Democracy Movement hereby vehemently condemns, disowns and distances itself from the divisive activities of these bunch of pretenders and Infiltrators who are of no significant reputation and scruples.	As di conscience of di kontri, di leadership of di Civil Society and Pro “ Democracy Movement na hin dey strongly condemn, disown and e distance hinsef from di divisive activities of dis pretenders and Infiltrators dem, wey no get significant reputation and scruples.
When contacted yesterday, Comrade Ihekaire said Awa Bamiji who signed the statement should be arrested.	wen dey contact dem yesterday, Comrade Ihekaire tok say Awa Bamji wey sign di statement na hin make dem arrest
He said he was brought into the committee as a sub-committee member	Hin tok say dem bring am kom inside di committee as sub-committee member
and he was never part of any meeting held by the Memorial Committee where issues of the disbursement of funds were raised.	and him no dey part of any meetin wey di Memorial Committee hold wey be say issue of di disbursement of funds na hin dey raise
Ihekaire noted that many people were shut out of the platform because the committee didnt want to give account of the funds received.	Ihekaire note say plenti pipo na hin dey shut comot from di platform bikos say di committee no wan give account of di fund wey dem receive
He said some of them opened Odumakin Real Accountability Platformand added Awa Bamiji and Comrade Wale Okunniyi	Him tok say some of dem open Odumakin Real Accountability Platform kon add Awa Bamiji and Comrade Wale Okunniyi
but they left.	but dey comot
But he stated that the committee did their work and found out they actually embezzled N7m plus.	But him state say di committee do dia work kom find out say dey actually embezzle N7m plus
They have gone begging people to give them soft landing and the committee members are saying, no, we are not backing down.	Dey don go to dey beg pipo to give dem  soft landin and di committee member dey say no dem no dey back down
